"PASSENGERS","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_COUNTRY","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME",
0.00,11519,"EIS","VG",15024,"STT","Charlotte Amalie, VI",
0.00,15024,"STT","US",11519,"EIS","Road Town, British Virgin Islands",
0.00,10575,"BGI","BB",13303,"MIA","Miami, FL",
0.00,10711,"BOG","CO",13303,"MIA","Miami, FL",
0.00,11618,"EWR","US",12957,"LGG","Liege, Belgium",
0.00,11888,"GEO","GY",13303,"MIA","Miami, FL",
0.00,11888,"GEO","GY",14843,"SJU","San Juan, PR",
0.00,11950,"GND","GD",13303,"MIA","Miami, FL",
0.00,11950,"GND","GD",14843,"SJU","San Juan, PR",
0.00,12010,"GUA","GT",13303,"MIA","Miami, FL",
0.00,12693,"KIN","JM",13303,"MIA","Miami, FL",
0.00,12957,"LGG","BE",11618,"EWR","Newark, NJ",
0.00,13218,"MDE","CO",13303,"MIA","Miami, FL",
0.00,13252,"MEX","MX",13303,"MIA","Miami, FL",
0.00,13269,"MGA","NI",13303,"MIA","Miami, FL",
0.00,13303,"MIA","US",10312,"ANU","St. Johns, Antigua and Barbuda",
0.00,13303,"MIA","US",10411,"AUA","Aruba, Aruba",
0.00,13303,"MIA","US",10575,"BGI","Barbados/Bridgetown, Barbados",
0.00,13303,"MIA","US",10711,"BOG","Bogota, Colombia",
0.00,13303,"MIA","US",10846,"BZE","Belize City, Belize",
0.00,13303,"MIA","US",11185,"CUR","Willemstad, Curacao",
0.00,13303,"MIA","US",11654,"FDF","Fort de France, Martinique",
0.00,13303,"MIA","US",11888,"GEO","Georgetown, Guyana",
0.00,13303,"MIA","US",12010,"GUA","Guatemala City, Guatemala",
0.00,13303,"MIA","US",12693,"KIN","Kingston, Jamaica",
0.00,13303,"MIA","US",13218,"MDE","Medellin, Colombia",
0.00,13303,"MIA","US",13252,"MEX","Mexico City, Mexico",
0.00,13303,"MIA","US",13269,"MGA","Managua, Nicaragua",
0.00,13303,"MIA","US",13306,"MID","Merida, Mexico",
0.00,13303,"MIA","US",14012,"PAP","Port-au-Prince, Haiti",
0.00,13303,"MIA","US",14210,"POS","Port of Spain, Trinidad and Tobago",
0.00,13303,"MIA","US",14278,"PTP","Pointe A Pitre, Guadeloupe",
0.00,13303,"MIA","US",14286,"PTY","Panama City, Panama",
0.00,13303,"MIA","US",14677,"SAL","San Salvador, El Salvador",
0.00,13303,"MIA","US",14681,"SAP","San Pedro Sula, Honduras",
0.00,13303,"MIA","US",14739,"SDQ","Santo Domingo, Dominican Republic",
0.00,13303,"MIA","US",15084,"SXM","Philipsburg, Sint Maarten",
0.00,13303,"MIA","US",15513,"UVF","St. Lucia, Saint Lucia",
0.00,13306,"MID","MX",13303,"MIA","Miami, FL",
0.00,14012,"PAP","HT",13303,"MIA","Miami, FL",
0.00,14030,"PBM","SR",13303,"MIA","Miami, FL",
0.00,14210,"POS","TT",13303,"MIA","Miami, FL",
0.00,14278,"PTP","GP",13303,"MIA","Miami, FL",
0.00,14677,"SAL","SV",13303,"MIA","Miami, FL",
0.00,14681,"SAP","HN",13303,"MIA","Miami, FL",
0.00,14739,"SDQ","DO",13303,"MIA","Miami, FL",
0.00,14739,"SDQ","DO",14843,"SJU","San Juan, PR",
0.00,14843,"SJU","US",10711,"BOG","Bogota, Colombia",
0.00,14843,"SJU","US",14739,"SDQ","Santo Domingo, Dominican Republic",
0.00,14843,"SJU","US",15013,"STI","Santiago, Dominican Republic",
0.00,14849,"SKB","KN",13303,"MIA","Miami, FL",
0.00,15013,"STI","DO",13303,"MIA","Miami, FL",
0.00,15052,"SVD","VC",13303,"MIA","Miami, FL",
0.00,15052,"SVD","VC",14843,"SJU","San Juan, PR",
0.00,15084,"SXM","SX",13303,"MIA","Miami, FL",
0.00,10397,"ATL","US",10711,"BOG","Bogota, Colombia",
0.00,10521,"BDA","BM",11618,"EWR","Newark, NJ",
0.00,11193,"CVG","US",11874,"GDL","Guadalajara, Mexico",
0.00,11193,"CVG","US",16078,"YHM","Hamilton, Canada",
0.00,11193,"CVG","US",16128,"YMX","Montreal, Canada",
0.00,11193,"CVG","US",16229,"YVR","Vancouver, Canada",
0.00,11193,"CVG","US",16257,"YYC","Calgary, Canada",
0.00,11618,"EWR","US",10521,"BDA","Hamilton, Bermuda",
0.00,11618,"EWR","US",16078,"YHM","Hamilton, Canada",
0.00,11874,"GDL","MX",11193,"CVG","Cincinnati, OH",
0.00,14107,"PHX","US",16078,"YHM","Hamilton, Canada",
0.00,14107,"PHX","US",16128,"YMX","Montreal, Canada",
0.00,16042,"YEG","CA",11193,"CVG","Cincinnati, OH",
0.00,16078,"YHM","CA",10397,"ATL","Atlanta, GA",
0.00,16078,"YHM","CA",11193,"CVG","Cincinnati, OH",
0.00,16078,"YHM","CA",14107,"PHX","Phoenix, AZ",
0.00,16128,"YMX","CA",11193,"CVG","Cincinnati, OH",
0.00,16229,"YVR","CA",11193,"CVG","Cincinnati, OH",
0.00,16257,"YYC","CA",11193,"CVG","Cincinnati, OH",
0.00,12016,"GUM","US",13162,"MAJ","Majuro, Marshall Islands",
0.00,12016,"GUM","US",14583,"ROR","Koror, Palau",
0.00,12016,"GUM","US",15237,"TKK","Chuuk, Federated States of Micronesia",
0.00,12173,"HNL","US",13162,"MAJ","Majuro, Marshall Islands",
0.00,13162,"MAJ","MH",12016,"GUM","Guam, TT",
0.00,13162,"MAJ","MH",12173,"HNL","Honolulu, HI",
0.00,14186,"PNI","FM",12016,"GUM","Guam, TT",
0.00,14583,"ROR","PW",12016,"GUM","Guam, TT",
0.00,10299,"ANC","US",11160,"CSX","Changsha, China",
0.00,10711,"BOG","CO",13303,"MIA","Miami, FL",
0.00,11160,"CSX","CN",10299,"ANC","Anchorage, AK",
0.00,11160,"CSX","CN",13930,"ORD","Chicago, IL",
0.00,11625,"EZE","AR",13303,"MIA","Miami, FL",
0.00,12266,"IAH","US",12876,"LAD","Luanda, Angola",
0.00,12266,"IAH","US",15455,"UIO","Quito, Ecuador",
0.00,13218,"MDE","CO",13303,"MIA","Miami, FL",
0.00,13303,"MIA","US",10209,"AGT","Ciudad del Este, Paraguay",
0.00,13303,"MIA","US",10711,"BOG","Bogota, Colombia",
0.00,13303,"MIA","US",10911,"CCS","Caracas, Venezuela",
0.00,13303,"MIA","US",12986,"LIM","Lima, Peru",
0.00,13303,"MIA","US",13218,"MDE","Medellin, Colombia",
0.00,13303,"MIA","US",14677,"SAL","San Salvador, El Salvador",
0.00,13303,"MIA","US",14717,"SCL","Santiago, Chile",
0.00,13303,"MIA","US",15455,"UIO","Quito, Ecuador",
0.00,13930,"ORD","US",14739,"SDQ","Santo Domingo, Dominican Republic",
0.00,13930,"ORD","US",16085,"YHZ","Halifax, Canada",
0.00,14717,"SCL","CL",13303,"MIA","Miami, FL",
0.00,14739,"SDQ","DO",13303,"MIA","Miami, FL",
0.00,14843,"SJU","US",10711,"BOG","Bogota, Colombia",
0.00,15455,"UIO","EC",13303,"MIA","Miami, FL",
0.00,16085,"YHZ","CA",10299,"ANC","Anchorage, AK",
0.00,10397,"ATL","US",13113,"LUX","Luxembourg, Luxembourg",
0.00,10971,"CGO","CN",10397,"ATL","Atlanta, GA",
0.00,10971,"CGO","CN",13930,"ORD","Chicago, IL",
0.00,11298,"DFW","US",13113,"LUX","Luxembourg, Luxembourg",
0.00,11298,"DFW","US",14115,"PIK","Glasgow/Prestwick, United Kingdom",
