COUNTY,STATE,Density per square mile of land area - Population,County ID,Poverty_Count,Total Population,Age 0-14 Years,Age 65 and Above,Unemployment_Rate,BEDS,Risk Factor
Autauga County,Alabama,91.8,1001.0,7587.0,55601,10669,8653,2.3,85.0,0.05703583284831543
Baldwin County,Alabama,114.6,1003.0,21069.0,218022,38738,44571,2.4,398.0,0.1459885404231653
Barbour County,Alabama,31.0,1005.0,6788.0,24881,4241,4832,3.2,74.0,-0.3136333205876989
Bibb County,Alabama,36.8,1007.0,4400.0,22400,3782,3690,2.5,35.0,-0.27410402535976924
Blount County,Alabama,88.9,1009.0,7527.0,57840,10997,10548,2.3,40.0,0.04727775057766452
Bullock County,Alabama,17.5,1011.0,3610.0,10138,1799,1661,3.6,61.0,-0.47134617328754896
Butler County,Alabama,27.0,1013.0,4731.0,19680,3639,3995,3.5,94.0,-0.35215419867977354
Calhoun County,Alabama,195.7,1015.0,21719.0,114277,20287,20247,3.0,590.0,0.3622645064804955
Chambers County,Alabama,57.4,1017.0,6181.0,33615,5795,6562,2.4,115.0,-0.11405416260370907
Cherokee County,Alabama,46.9,1019.0,4180.0,26032,4036,5980,2.5,60.0,-0.18361276980033087
Chilton County,Alabama,63.0,1021.0,7542.0,44153,8623,7411,2.3,26.0,-0.0814438619581838
Choctaw County,Alabama,15.2,1023.0,2806.0,12841,2064,2953,4.3,25.0,-0.5040710082842478
Clarke County,Alabama,20.9,1025.0,5381.0,23920,4175,4753,5.5,85.0,-0.4281399746070191
Clay County,Alabama,23.1,1027.0,2285.0,13275,2189,2751,2.7,45.0,-0.4108338654409387
Cleburne County,Alabama,26.7,1029.0,2356.0,14987,2816,2915,2.7,0.0,-0.3660906151273909
Coffee County,Alabama,73.6,1031.0,7053.0,51909,10103,8801,2.4,131.0,-0.025541504449768992
Colbert County,Alabama,91.8,1033.0,7459.0,54762,9447,10914,3.3,363.0,0.05975019926550914
Conecuh County,Alabama,15.6,1035.0,2979.0,12277,2093,2762,3.5,58.0,-0.49443602049738306
Coosa County,Alabama,17.7,1037.0,1973.0,10715,1447,2481,2.5,0.0,-0.48343454672796876
Covington County,Alabama,36.6,1039.0,7239.0,36986,6731,7790,3.0,210.0,-0.26216074882981294
Crenshaw County,Alabama,22.8,1041.0,2661.0,13824,2596,2629,2.3,93.0,-0.4114238758259721
Cullman County,Alabama,109.4,1043.0,11925.0,83442,15496,15446,2.1,185.0,0.1281239400278714
Dale County,Alabama,89.6,1045.0,7743.0,48956,9370,8270,2.6,89.0,0.050138600631097575
Dallas County,Alabama,44.8,1047.0,11841.0,38310,7470,6921,4.4,175.0,-0.18889658603470577
DeKalb County,Alabama,91.5,1049.0,14975.0,71385,14142,12322,2.4,134.0,0.061478283368303945
Elmore County,Alabama,128.2,1051.0,8559.0,81887,14899,12400,2.2,138.0,0.18664714990691234
Escambia County,Alabama,40.5,1053.0,8022.0,36748,6810,6596,3.1,142.0,-0.23289418991889763
Etowah County,Alabama,195.2,1055.0,17509.0,102501,17958,19487,2.8,458.0,0.361393084298108
Fayette County,Alabama,27.5,1057.0,3801.0,16433,2880,3472,2.7,61.0,-0.3487596657261468
Franklin County,Alabama,50.0,1059.0,5939.0,31363,6369,5296,2.4,125.0,-0.16204566758793917
Geneva County,Alabama,46.6,1061.0,5537.0,26314,4682,5341,2.4,83.0,-0.18310756619338692
Greene County,Alabama,14.0,1063.0,2459.0,8233,1508,1837,4.8,20.0,-0.5031837447376734
Hale County,Alabama,24.5,1065.0,3705.0,14726,2844,2829,3.4,39.0,-0.3793322259752123
Henry County,Alabama,30.8,1067.0,3037.0,17209,2901,3910,2.9,0.0,-0.31666331208063525
Houston County,Alabama,175.1,1069.0,17032.0,104722,19765,18639,2.5,782.0,0.3166838905856919
Jackson County,Alabama,49.4,1071.0,10046.0,51736,8783,10373,3.0,170.0,-0.1657221704202366
Jefferson County,Alabama,592.5,1073.0,103604.0,659300,125779,104547,2.3,4971.0,0.8264107356722243
Lamar County,Alabama,24.1,1075.0,2374.0,13844,2414,2998,2.7,0.0,-0.391835969396392
Lauderdale County,Alabama,138.8,1077.0,12645.0,92387,14895,18563,2.8,358.0,0.22193139132785733
Lawrence County,Alabama,49.7,1079.0,6297.0,32957,5873,6151,2.6,98.0,-0.16508331733263046
Lee County,Alabama,230.8,1081.0,30075.0,163941,29223,19481,2.2,314.0,0.4273028506500846
Limestone County,Alabama,147.8,1083.0,10633.0,96174,17749,14608,2.2,102.0,0.2446239309019856
Lowndes County,Alabama,15.8,1085.0,2474.0,9974,1882,1880,4.8,0.0,-0.49456962492116624
Macon County,Alabama,35.2,1087.0,5031.0,18439,2532,3756,3.6,0.0,-0.27862706210767785
Madison County,Alabama,417.7,1089.0,42667.0,366519,66038,55125,2.1,1178.0,0.6770238917819767
Marengo County,Alabama,21.5,1091.0,4499.0,19066,3592,3737,3.1,99.0,-0.4187388115557819
Marion County,Alabama,41.5,1093.0,5844.0,29763,5022,6321,3.0,120.0,-0.2230904440871191
Marshall County,Alabama,164.4,1095.0,17341.0,96109,20055,16375,2.1,240.0,0.2924341101804364
Mobile County,Alabama,335.9,1097.0,84539.0,413757,80336,67041,3.2,1929.0,0.5869227327190735
Monroe County,Alabama,22.5,1099.0,4560.0,21067,3688,4275,4.5,94.0,-0.4088751283746365
Montgomery County,Alabama,292.5,1101.0,43567.0,225763,44212,34173,2.6,1143.0,0.5284127110193957
Morgan County,Alabama,206.3,1103.0,15419.0,119089,22395,20803,2.2,476.0,0.383032602709823
Perry County,Alabama,14.7,1105.0,2943.0,9140,1583,1774,4.0,0.0,-0.505316421127781
Pickens County,Alabama,22.4,1107.0,4177.0,19938,3168,3793,2.7,56.0,-0.4225207711312096
Pike County,Alabama,48.9,1109.0,7315.0,33338,5305,4987,2.8,97.0,-0.1793720593655761
Randolph County,Alabama,39.5,1111.0,4375.0,22725,4002,4625,2.5,34.0,-0.24017584976848605
Russell County,Alabama,82.6,1113.0,12384.0,57781,11757,8280,2.5,118.0,0.01980724836583401
St. Clair County,Alabama,132.3,1115.0,10432.0,88690,16774,14738,2.2,40.0,0.20158528238489673
Shelby County,Alabama,248.5,1117.0,16916.0,215707,41351,33087,1.8,304.0,0.45845047017930435
Sumter County,Alabama,15.2,1119.0,4076.0,12691,2005,2286,3.8,33.0,-0.5108843352449365
Talladega County,Alabama,111.7,1121.0,14825.0,79828,13759,14370,2.9,285.0,0.13627036596222705
Tallapoosa County,Alabama,58.1,1123.0,7839.0,40497,6968,8731,2.5,127.0,-0.10568064987610892
Tuscaloosa County,Alabama,147.3,1125.0,33330.0,208911,36568,27743,2.2,933.0,0.2423071073781151
Walker County,Alabama,84.7,1127.0,11231.0,63711,11690,12311,2.8,267.0,0.03120537600253479
Washington County,Alabama,16.3,1129.0,2846.0,16378,2887,3130,4.5,25.0,-0.5031617977759331
