data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6766683,48,BHR1918,1918,31-Jan-20,2020,1,Protests,Peaceful protest,Protesters (Bahrain),,6,,,0,60,Middle East,Bahrain,Northern,,,Al Qadam,26.2156,50.5192,1,14 February Revolution Youth Coalition,Other,"On 31 January 2020, a protest was held in Qadam against Trump's Middle east plan. [size=no report]",0,1580753124,BHR
6766684,48,BHR1919,1919,31-Jan-20,2020,1,Riots,Mob violence,Rioters (Bahrain),February 14 Youth Coalition,5,,,0,50,Middle East,Bahrain,Northern,,,Buri,26.1514,50.4975,1,14 February Revolution Youth Coalition,Other,"On 31 January 2020, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Buri with burning tyres without staging a demonstration. The February 14 Youth Coalition is currently denouncing Trump's Middle East plan. [size=no report]",0,1580753124,BHR
6766685,48,BHR1920,1920,31-Jan-20,2020,1,Riots,Mob violence,Rioters (Bahrain),February 14 Youth Coalition,5,,,0,50,Middle East,Bahrain,Southern,,,Al Maamir,26.1333,50.6086,1,14 February Revolution Youth Coalition,Other,"On 31 January 2020, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Maamir with burning tyres without staging a demonstration. The February 14 Youth Coalition is currently denouncing Trump's Middle East plan. [size=no report]",0,1580753124,BHR
6766983,48,BHR1917,1917,29-Jan-20,2020,1,Protests,Peaceful protest,Protesters (Bahrain),,6,,,0,60,Middle East,Bahrain,Capital,,,Al Musalla,26.2122,50.5372,1,LuaLua TV,International,"On 29 January 2020, a protest was held in Musalla against Trump's Middle east plan. [size=no report]",0,1580753124,BHR
6721704,48,BHR1913,1913,18-Jan-20,2020,1,Riots,Mob violence,Rioters (Bahrain),February 14 Youth Coalition,5,,,0,50,Middle East,Bahrain,Northern,,,Al Diraz,26.2181,50.4706,1,14 February Revolution Youth Coalition,Other,"On 18 January 2020, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, started a fire in a street in Diraz without staging a demonstration. The February 14 Youth Coalition is currently denouncing ongoing police raids and the arrest of a number of citizens. [size=no report]",0,1579542531,BHR
6721705,48,BHR1914,1914,18-Jan-20,2020,1,Protests,Peaceful protest,Protesters (Bahrain),Shiite Muslim Group (Bahrain),6,,,0,60,Middle East,Bahrain,Capital,,,Karbabad,26.2303,50.5294,1,14 February Revolution Youth Coalition,Other,"On 18 January 2020, a Shiite crowd held a rally in Karbabad in remembrance of three Shiite men executed by the Bahraini government in January 2017. [size=no report]",0,1579542531,BHR
6721706,48,BHR1915,1915,17-Jan-20,2020,1,Protests,Peaceful protest,Protesters (Bahrain),Shiite Muslim Group (Bahrain),6,,,0,60,Middle East,Bahrain,Northern,,,Abu Saybi,26.2175,50.5069,1,14 February Revolution Youth Coalition,Other,"On 17 January 2020, a Shiite crowd held a rally in Abu Saybi in remembrance of three Shiite men executed by the Bahraini government in January 2017. [size=no report]",0,1579542531,BHR
6721707,48,BHR1916,1916,17-Jan-20,2020,1,Protests,Peaceful protest,Protesters (Bahrain),Shiite Muslim Group (Bahrain),6,,,0,60,Middle East,Bahrain,Northern,,,Ash Shakhurah,26.2147,50.5069,1,14 February Revolution Youth Coalition,Other,"On 17 January 2020, a Shiite crowd held a rally in Shakhurah in remembrance of three Shiite men executed by the Bahraini government in January 2017. [size=no report]",0,1579542531,BHR
6719778,48,BHR1908,1908,10-Jan-20,2020,1,Protests,Peaceful protest,Protesters (Bahrain),,6,,,0,60,Middle East,Bahrain,Northern,,,Abu Saybi,26.2175,50.5069,1,LuaLua TV,International,"On 10 January 2020, a protest was held in Abu Saybi in solidarity with political prisoners. [size=no report]",0,1578953034,BHR
6719779,48,BHR1909,1909,10-Jan-20,2020,1,Protests,Peaceful protest,Protesters (Bahrain),,6,,,0,60,Middle East,Bahrain,Northern,,,Ash Shakhurah,26.2147,50.5069,1,LuaLua TV,International,"On 10 January 2020, a protest was held in Shakhurah in solidarity with political prisoners. [size=no report]",0,1578953034,BHR
