Date,Handle,Total Posts,Favorites,Retweets
1/1/2016,14FebRevolution,19,41,13
1/2/2016,14FebRevolution,53,247,74
1/3/2016,14FebRevolution,73,301,77
1/4/2016,14FebRevolution,76,177,61
1/5/2016,14FebRevolution,56,104,25
1/6/2016,14FebRevolution,46,103,19
1/7/2016,14FebRevolution,51,111,17
1/8/2016,14FebRevolution,51,108,31
1/9/2016,14FebRevolution,43,87,31
1/10/2016,14FebRevolution,29,69,17
1/11/2016,14FebRevolution,41,91,21
1/12/2016,14FebRevolution,39,94,24
1/13/2016,14FebRevolution,32,75,13
1/14/2016,14FebRevolution,40,88,25
1/15/2016,14FebRevolution,34,43,9
1/16/2016,14FebRevolution,39,114,11
1/17/2016,14FebRevolution,23,70,15
1/18/2016,14FebRevolution,37,97,14
1/19/2016,14FebRevolution,43,79,11
1/20/2016,14FebRevolution,37,89,17
1/21/2016,14FebRevolution,28,78,11
1/22/2016,14FebRevolution,33,58,16
1/23/2016,14FebRevolution,26,74,9
1/24/2016,14FebRevolution,31,78,22
1/25/2016,14FebRevolution,43,72,9
1/26/2016,14FebRevolution,27,64,7
1/27/2016,14FebRevolution,43,84,13
1/28/2016,14FebRevolution,24,42,10
1/29/2016,14FebRevolution,42,78,14
1/30/2016,14FebRevolution,38,55,22
1/31/2016,14FebRevolution,29,55,4
2/1/2016,14FebRevolution,43,62,10
2/2/2016,14FebRevolution,29,37,10
2/3/2016,14FebRevolution,26,39,13
2/4/2016,14FebRevolution,29,51,10
2/5/2016,14FebRevolution,33,49,7
2/6/2016,14FebRevolution,37,58,10
2/7/2016,14FebRevolution,29,53,13
2/8/2016,14FebRevolution,41,79,13
2/9/2016,14FebRevolution,29,34,9
2/10/2016,14FebRevolution,43,51,12
2/11/2016,14FebRevolution,28,43,10
2/12/2016,14FebRevolution,53,67,25
2/13/2016,14FebRevolution,36,83,22
2/14/2016,14FebRevolution,40,94,18
2/15/2016,14FebRevolution,50,121,32
2/16/2016,14FebRevolution,52,121,29
2/17/2016,14FebRevolution,41,89,19
2/18/2016,14FebRevolution,28,56,12
2/19/2016,14FebRevolution,39,33,13
2/20/2016,14FebRevolution,36,65,16
2/21/2016,14FebRevolution,29,52,11
2/22/2016,14FebRevolution,43,84,26
2/23/2016,14FebRevolution,49,87,29
2/24/2016,14FebRevolution,54,103,30
2/25/2016,14FebRevolution,41,97,5
