Date,Handle,Total Posts,Favorites,Retweets
2016-01-01,AJArabic,57,3145,6185
2016-01-02,AJArabic,50,3281,5342
2016-01-03,AJArabic,52,4217,5661
2016-01-04,AJArabic,48,3699,6304
2016-01-05,AJArabic,48,2850,5495
2016-01-06,AJArabic,48,5526,6289
2016-01-07,AJArabic,46,12455,8124
2016-01-08,AJArabic,44,4201,6768
2016-01-09,AJArabic,48,5834,6577
2016-01-10,AJArabic,48,4439,5741
2016-01-11,AJArabic,46,3726,5159
2016-01-12,AJArabic,51,6779,6916
2016-01-13,AJArabic,40,2980,4386
2016-01-14,AJArabic,41,5593,5214
2016-01-15,AJArabic,44,4106,4958
2016-01-16,AJArabic,45,5227,5490
2016-01-17,AJArabic,48,3554,5144
2016-01-18,AJArabic,55,2969,5187
2016-01-19,AJArabic,45,3338,4457
2016-01-20,AJArabic,42,3197,4743
2016-01-21,AJArabic,48,2657,4981
2016-01-22,AJArabic,45,2891,5009
2016-01-23,AJArabic,48,2825,4985
2016-01-24,AJArabic,46,3508,5967
2016-01-25,AJArabic,43,3198,6678
2016-01-26,AJArabic,44,2611,5417
2016-01-27,AJArabic,43,2969,4725
2016-01-28,AJArabic,44,3173,4998
2016-01-29,AJArabic,47,2550,5177
2016-01-30,AJArabic,47,2535,4691
2016-01-31,AJArabic,45,2880,4622
2016-02-01,AJArabic,43,4218,5164
2016-02-02,AJArabic,46,3692,5279
2016-02-03,AJArabic,48,3497,4789
2016-02-04,AJArabic,49,3445,5131
2016-02-05,AJArabic,45,3378,5516
2016-02-06,AJArabic,42,4320,5522
2016-02-07,AJArabic,45,5301,6352
2016-02-08,AJArabic,42,2546,4346
2016-02-09,AJArabic,44,2562,4393
2016-02-10,AJArabic,40,4635,5288
2016-02-11,AJArabic,48,5706,5968
2016-02-12,AJArabic,39,2620,4470
2016-02-13,AJArabic,44,3616,5725
2016-02-14,AJArabic,45,4577,5823
2016-02-15,AJArabic,46,3961,5846
2016-02-16,AJArabic,43,5242,5323
2016-02-17,AJArabic,60,7046,8893
2016-02-18,AJArabic,52,3281,6360
2016-02-19,AJArabic,51,4394,6766
2016-02-20,AJArabic,46,2770,5175
2016-02-21,AJArabic,50,3120,5592
2016-02-22,AJArabic,48,2947,5362
2016-02-23,AJArabic,49,2662,4538
2016-02-24,AJArabic,47,2797,4470
2016-02-25,AJArabic,53,4520,5638
2016-02-26,AJArabic,66,2836,5917
2016-02-27,AJArabic,60,3341,6624
2016-02-28,AJArabic,57,3539,6363
2016-02-29,AJArabic,60,3864,6309
2016-04-01,AJArabic,54,3731,6723
2016-04-02,AJArabic,54,3712,7359
2016-04-03,AJArabic,61,5832,7989
2016-04-04,AJArabic,52,3310,5788
2016-04-05,AJArabic,55,4280,6952
2016-04-06,AJArabic,53,2995,6016
2016-04-07,AJArabic,48,3556,7117
2016-04-08,AJArabic,62,4426,7465
2016-04-09,AJArabic,50,3200,5683
2016-04-10,AJArabic,52,2907,5579
2016-04-11,AJArabic,46,3553,6432
2016-04-12,AJArabic,54,3343,6097
2016-04-13,AJArabic,54,3669,6412
2016-04-14,AJArabic,48,3440,6596
2016-04-15,AJArabic,54,5005,9031
2016-04-16,AJArabic,59,6162,9115
2016-04-17,AJArabic,60,4251,8132
2016-04-18,AJArabic,50,3041,5672
2016-04-19,AJArabic,50,4184,7039
2016-04-20,AJArabic,52,3367,5304
2016-04-21,AJArabic,54,2990,5547
2016-04-22,AJArabic,50,3107,6180
2016-04-23,AJArabic,58,3310,6414
2016-04-24,AJArabic,53,3479,5850
2016-04-25,AJArabic,54,3818,6445
2016-04-26,AJArabic,56,3297,6347
2016-04-27,AJArabic,57,3387,5506
2016-04-28,AJArabic,52,5299,6237
2016-04-29,AJArabic,56,13092,13345
2016-04-30,AJArabic,50,9900,11087
2016-05-01,AJArabic,51,6149,9171
2016-05-02,AJArabic,54,4863,8207
2016-05-03,AJArabic,51,4002,6070
2016-05-04,AJArabic,47,4327,6872
2016-05-05,AJArabic,55,4636,7061
2016-05-06,AJArabic,49,3630,6187
2016-05-07,AJArabic,48,3972,6576
2016-05-08,AJArabic,52,8200,9021
2016-05-09,AJArabic,53,2866,5175
2016-05-10,AJArabic,57,4343,6216
2016-05-11,AJArabic,45,3133,5112
2016-05-12,AJArabic,55,3990,5951
2016-05-13,AJArabic,48,2001,4399
2016-05-14,AJArabic,46,3481,5740
2016-05-15,AJArabic,46,2224,4631
2016-05-16,AJArabic,49,3590,6167
2016-05-17,AJArabic,55,2515,4788
2016-05-18,AJArabic,46,3160,4649
2016-05-19,AJArabic,47,2231,4894
2016-05-20,AJArabic,48,2957,5517
2016-05-21,AJArabic,53,3502,5911
2016-05-22,AJArabic,52,4086,6317
2016-05-23,AJArabic,46,4276,5368
2016-05-24,AJArabic,55,8540,8085
2016-05-25,AJArabic,49,4459,5980
2016-05-26,AJArabic,45,4113,6558
2016-05-27,AJArabic,47,4748,7234
2016-05-28,AJArabic,46,3942,5725
2016-05-29,AJArabic,60,4793,6945
2016-05-30,AJArabic,45,4492,5461
2016-05-31,AJArabic,52,4309,6083
2016-06-01,AJArabic,57,3518,6028
2016-06-02,AJArabic,52,4896,6237
2016-06-03,AJArabic,44,5563,6250
2016-06-04,AJArabic,39,11748,10003
2016-06-05,AJArabic,47,4375,6552
2016-06-06,AJArabic,45,7099,7062
2016-06-07,AJArabic,44,3242,4753
2016-06-08,AJArabic,44,4537,6639
2016-06-09,AJArabic,45,4844,6533
2016-06-10,AJArabic,42,6195,8926
2016-06-11,AJArabic,41,7500,7230
2016-06-12,AJArabic,54,4796,6666
2016-06-13,AJArabic,38,3141,4589
2016-06-14,AJArabic,39,4798,5850
2016-06-15,AJArabic,42,8282,7756
2016-06-16,AJArabic,36,4370,5289
2016-06-17,AJArabic,48,6841,7550
2016-06-18,AJArabic,36,3414,5321
2016-06-19,AJArabic,47,5493,7510
2016-06-20,AJArabic,48,5545,6731
2016-06-21,AJArabic,51,6429,7149
2016-06-22,AJArabic,40,3522,5665
2016-06-23,AJArabic,51,4813,6630
2016-06-24,AJArabic,45,6533,7022
2016-06-25,AJArabic,45,3677,6044
2016-06-26,AJArabic,54,6622,7329
2016-06-27,AJArabic,53,4745,7013
2016-06-28,AJArabic,43,3963,5721
2016-06-29,AJArabic,44,6112,6866
2016-06-30,AJArabic,50,3956,6050
2016-07-01,AJArabic,44,2735,5172
2016-07-02,AJArabic,40,6330,7673
2016-07-03,AJArabic,48,4349,6212
2016-07-04,AJArabic,48,4597,7099
2016-07-05,AJArabic,41,6374,8412
2016-07-06,AJArabic,42,3301,6217
2016-07-07,AJArabic,47,5110,6929
2016-07-08,AJArabic,48,6520,7834
2016-07-09,AJArabic,47,6354,8183
2016-07-10,AJArabic,43,4505,6206
2016-07-11,AJArabic,46,5231,6944
2016-07-12,AJArabic,39,3235,5750
2016-07-13,AJArabic,33,3033,4387
2016-07-14,AJArabic,46,4079,5750
2016-07-15,AJArabic,59,12940,14643
2016-07-16,AJArabic,39,14954,18150
2016-07-17,AJArabic,38,14349,16725
2016-07-18,AJArabic,34,7543,10876
2016-07-19,AJArabic,44,6994,10833
2016-07-20,AJArabic,76,15762,20592
2016-07-21,AJArabic,40,7983,9178
2016-07-22,AJArabic,40,5446,7987
2016-07-23,AJArabic,39,6274,9668
2016-07-24,AJArabic,53,7467,10635
2016-07-25,AJArabic,35,5131,7547
2016-07-26,AJArabic,44,4528,7708
2016-07-27,AJArabic,45,4345,6415
2016-07-28,AJArabic,41,2944,5173
2016-07-29,AJArabic,40,4566,7596
2016-07-30,AJArabic,35,3765,5731
2016-07-31,AJArabic,40,4457,7928
2016-08-01,AJArabic,42,5006,8350
2016-08-02,AJArabic,42,4536,8233
2016-08-03,AJArabic,48,6316,9533
2016-08-04,AJArabic,45,5466,7292
2016-08-05,AJArabic,42,3876,7138
2016-08-06,AJArabic,57,5585,10777
2016-08-07,AJArabic,39,5845,9244
2016-08-08,AJArabic,43,5064,8638
2016-08-09,AJArabic,40,3997,7367
2016-08-10,AJArabic,42,3235,6540
2016-08-11,AJArabic,41,5264,7542
2016-08-12,AJArabic,41,4150,7083
2016-08-13,AJArabic,37,3333,5679
2016-08-14,AJArabic,49,8749,10538
2016-08-15,AJArabic,46,4132,6787
2016-08-16,AJArabic,51,2790,5540
2016-08-17,AJArabic,45,3552,5719
2016-08-18,AJArabic,45,5734,7255
2016-08-19,AJArabic,40,4753,6042
2016-08-20,AJArabic,48,4894,7143
2016-08-21,AJArabic,43,4602,6222
2016-08-22,AJArabic,48,5660,7394
2016-08-23,AJArabic,42,3967,6072
2016-08-24,AJArabic,40,3606,6789
2016-08-25,AJArabic,40,5847,8179
2016-08-26,AJArabic,48,4516,7291
2016-08-27,AJArabic,45,2722,5947
2016-08-28,AJArabic,42,4366,6474
2016-08-29,AJArabic,43,5078,6886
2016-08-30,AJArabic,47,3163,5656
2016-08-31,AJArabic,44,4215,7065
2016-09-01,AJArabic,49,5455,8165
2016-09-02,AJArabic,47,8459,10134
2016-09-03,AJArabic,44,5542,8594
2016-09-04,AJArabic,44,7123,9796
2016-09-05,AJArabic,46,3811,7399
2016-09-06,AJArabic,43,2991,6090
2016-09-07,AJArabic,42,9419,10228
2016-09-08,AJArabic,49,7085,10274
2016-09-09,AJArabic,45,5457,9682
2016-09-10,AJArabic,49,5867,9604
2016-09-11,AJArabic,49,6195,11137
2016-09-12,AJArabic,46,3609,7969
2016-09-13,AJArabic,48,4760,9445
2016-09-14,AJArabic,45,3755,7738
2016-09-15,AJArabic,48,4595,9095
2016-09-16,AJArabic,43,4367,7839
2016-09-17,AJArabic,69,5499,9121
2016-09-18,AJArabic,42,2875,5812
2016-09-19,AJArabic,39,2644,4904
2016-09-20,AJArabic,44,5394,7671
2016-09-21,AJArabic,41,3563,5523
2016-09-22,AJArabic,46,4562,6832
2016-09-23,AJArabic,47,6839,8471
2016-09-24,AJArabic,51,5844,7586
2016-09-25,AJArabic,54,5603,7506
2016-09-26,AJArabic,57,4411,7209
2016-09-27,AJArabic,42,4162,6646
2016-09-28,AJArabic,44,4580,6528
2016-09-29,AJArabic,51,4978,7107
2016-09-30,AJArabic,54,6055,8587
2016-10-01,AJArabic,50,4902,7217
2016-10-02,AJArabic,51,4008,7081
2016-10-03,AJArabic,53,4686,6975
2016-10-04,AJArabic,51,3401,6293
2016-10-05,AJArabic,51,6827,7857
2016-10-06,AJArabic,49,4013,6937
2016-10-07,AJArabic,45,3837,6397
2016-10-08,AJArabic,44,5680,7227
2016-10-09,AJArabic,47,6185,7278
2016-10-10,AJArabic,44,4570,7786
2016-10-11,AJArabic,48,9321,9012
2016-10-12,AJArabic,52,7101,8682
2016-10-13,AJArabic,50,4740,7768
2016-10-14,AJArabic,46,3832,6697
2016-10-15,AJArabic,54,4331,7784
2016-10-16,AJArabic,51,3460,7400
2016-10-17,AJArabic,48,4690,7364
2016-10-18,AJArabic,50,6333,9198
2016-10-19,AJArabic,48,5442,7393
2016-10-20,AJArabic,55,6145,7760
2016-10-21,AJArabic,47,3133,5606
2016-10-22,AJArabic,50,4073,8180
2016-10-23,AJArabic,45,4949,7198
2016-10-24,AJArabic,47,2178,5849
2016-10-25,AJArabic,45,4457,6727
2016-10-26,AJArabic,46,5348,7907
2016-10-27,AJArabic,47,4121,7097
2016-10-28,AJArabic,47,3446,6597
2016-10-29,AJArabic,49,4451,8195
2016-10-30,AJArabic,50,3839,6952
2016-10-31,AJArabic,50,3502,7004
2016-11-01,AJArabic,56,4938,10276
2016-11-02,AJArabic,47,3754,8481
2016-11-03,AJArabic,46,4802,8712
2016-11-04,AJArabic,44,2973,6556
2016-11-05,AJArabic,44,4460,7626
2016-11-06,AJArabic,44,2081,4763
2016-11-07,AJArabic,46,2779,6385
2016-11-08,AJArabic,45,6969,9502
2016-11-09,AJArabic,42,2876,7517
2016-11-10,AJArabic,43,3989,7724
2016-11-11,AJArabic,41,8046,8884
2016-11-12,AJArabic,39,5033,6894
2016-11-13,AJArabic,47,5895,10275
2016-11-14,AJArabic,48,4118,7534
2016-11-15,AJArabic,45,3279,6728
2016-11-16,AJArabic,49,4336,9285
2016-11-17,AJArabic,41,2749,5470
2016-11-18,AJArabic,42,4531,6841
2016-11-19,AJArabic,40,4035,6034
2016-11-20,AJArabic,47,8156,9144
2016-11-21,AJArabic,44,3769,7765
2016-11-22,AJArabic,44,3508,6766
2016-11-23,AJArabic,48,5182,9888
2016-11-24,AJArabic,42,4922,9482
2016-11-25,AJArabic,40,8123,10887
2016-11-26,AJArabic,42,4598,8480
2016-11-27,AJArabic,52,8339,12515
2016-11-28,AJArabic,44,4705,8406
2016-11-29,AJArabic,44,5000,7389
2016-11-30,AJArabic,48,5684,7645
2016-12-01,AJArabic,42,4258,6717
2016-12-02,AJArabic,40,2873,6227
2016-12-03,AJArabic,44,7121,9453
2016-12-04,AJArabic,42,4760,8124
2016-12-05,AJArabic,44,6528,9641
2016-12-06,AJArabic,41,3146,6078
2016-12-07,AJArabic,46,5030,8162
2016-12-08,AJArabic,42,3843,7183
2016-12-09,AJArabic,40,3576,6570
2016-12-10,AJArabic,41,3626,6429
2016-12-11,AJArabic,49,3936,7940
2016-12-12,AJArabic,43,5233,7609
2016-12-13,AJArabic,41,15310,13703
2016-12-14,AJArabic,48,10714,12788
2016-12-15,AJArabic,48,11279,13908
2016-12-16,AJArabic,43,5965,9199
2016-12-17,AJArabic,43,6167,8837
2016-12-18,AJArabic,42,6840,9303
2016-12-19,AJArabic,47,8110,11352
2016-12-20,AJArabic,44,3570,7546
2016-12-21,AJArabic,48,6140,9468
2016-12-22,AJArabic,43,5347,7855
2016-12-23,AJArabic,41,2744,5406
2016-12-24,AJArabic,47,3546,6574
2016-12-25,AJArabic,49,6009,9890
2016-12-26,AJArabic,45,4009,7114
2016-12-27,AJArabic,38,3828,6903
2016-12-28,AJArabic,47,3259,6284
2016-12-29,AJArabic,43,8465,9705
2016-12-30,AJArabic,42,4033,7608
2016-12-31,AJArabic,41,2731,5291
2017-01-01,AJArabic,41,4971,8117
2017-01-02,AJArabic,42,3114,5822
2017-01-03,AJArabic,41,3925,6182
2017-01-04,AJArabic,44,3419,6980
2017-01-05,AJArabic,43,2578,5834
2017-01-06,AJArabic,41,4018,7169
2017-01-07,AJArabic,44,2761,6395
2017-01-08,AJArabic,47,7403,10098
2017-01-09,AJArabic,41,2950,6427
2017-01-10,AJArabic,44,5288,6858
2017-01-11,AJArabic,50,2756,5996
2017-01-12,AJArabic,44,2652,6096
2017-01-13,AJArabic,43,1914,5186
2017-01-14,AJArabic,42,2326,5361
2017-01-15,AJArabic,45,3696,6239
2017-01-16,AJArabic,46,2446,4958
2017-01-17,AJArabic,45,3134,6514
2017-01-18,AJArabic,41,3516,5405
2017-01-19,AJArabic,39,3723,5101
2017-01-20,AJArabic,42,4814,6569
2017-01-21,AJArabic,44,3444,6358
2017-01-22,AJArabic,46,3679,6952
2017-01-23,AJArabic,44,1887,5145
2017-01-24,AJArabic,41,2531,4640
2017-01-25,AJArabic,45,1843,4411
2017-01-26,AJArabic,48,3315,5931
2017-01-27,AJArabic,41,3236,4750
2017-01-28,AJArabic,46,5670,7034
2017-01-29,AJArabic,45,2666,5399
2017-01-30,AJArabic,44,3892,6941
2017-01-31,AJArabic,48,3578,6993
2017-02-01,AJArabic,46,3085,6211
2017-02-02,AJArabic,43,2139,4912
2017-02-03,AJArabic,42,2379,5425
2017-02-04,AJArabic,44,2403,5689
2017-02-05,AJArabic,43,2763,6135
2017-02-06,AJArabic,44,3416,6610
2017-02-07,AJArabic,50,3346,5976
2017-02-08,AJArabic,47,2724,5269
2017-02-09,AJArabic,42,2149,4937
2017-02-10,AJArabic,46,3191,5703
2017-02-11,AJArabic,44,1759,4520
2017-02-12,AJArabic,48,1757,4820
2017-02-13,AJArabic,40,2177,4742
2017-02-14,AJArabic,41,2270,4729
2017-02-15,AJArabic,49,2096,4929
2017-02-16,AJArabic,43,1797,3641
2017-02-17,AJArabic,40,4132,6042
2017-02-18,AJArabic,45,3047,6111
2017-02-19,AJArabic,51,2938,5572
2017-02-20,AJArabic,46,1409,4033
2017-02-21,AJArabic,45,2010,4369
2017-02-22,AJArabic,47,1789,4149
2017-02-23,AJArabic,50,1812,4379
2017-02-24,AJArabic,43,1571,4131
2017-02-25,AJArabic,45,2255,5212
2017-02-26,AJArabic,43,1742,4226
2017-02-27,AJArabic,42,1419,3771
2017-02-28,AJArabic,52,1882,4538
2017-03-01,AJArabic,49,1979,4541
2017-03-02,AJArabic,45,1519,3955
2017-03-03,AJArabic,45,1688,4314
2017-03-04,AJArabic,42,1264,3666
2017-03-05,AJArabic,59,2278,5252
2017-03-06,AJArabic,47,1844,4056
2017-03-07,AJArabic,45,2268,4449
2017-03-08,AJArabic,42,1715,3728
2017-03-09,AJArabic,40,2206,4136
2017-03-10,AJArabic,45,2370,4991
2017-03-11,AJArabic,47,2639,6004
2017-03-12,AJArabic,41,3392,6453
2017-03-13,AJArabic,46,1997,4667
2017-03-14,AJArabic,49,2369,5257
2017-03-15,AJArabic,51,2174,4911
2017-03-16,AJArabic,42,2443,5039
2017-03-17,AJArabic,43,2446,5496
2017-03-18,AJArabic,47,4028,6540
2017-03-19,AJArabic,50,2375,5601
2017-03-20,AJArabic,46,4824,7411
2017-03-21,AJArabic,47,2947,5684
2017-03-22,AJArabic,49,2962,5433
2017-03-23,AJArabic,40,1560,4067
2017-03-24,AJArabic,44,2924,5698
2017-03-25,AJArabic,43,3360,5958
2017-03-26,AJArabic,46,3984,5702
2017-03-27,AJArabic,43,1794,4212
2017-03-28,AJArabic,46,2264,4611
2017-03-29,AJArabic,39,1665,3884
2017-03-30,AJArabic,41,1732,4327
2017-03-31,AJArabic,40,3681,5517
2017-04-01,AJArabic,40,2813,4962
2017-04-02,AJArabic,41,2138,4713
2017-04-03,AJArabic,42,2360,5308
2017-04-04,AJArabic,40,10774,8659
2017-04-05,AJArabic,49,4809,6552
2017-04-06,AJArabic,42,3087,5278
2017-04-07,AJArabic,46,4830,8892
2017-04-08,AJArabic,45,4089,6870
2017-04-09,AJArabic,46,3983,6787
2017-04-10,AJArabic,43,3330,5920
2017-04-11,AJArabic,39,2204,4530
2017-04-12,AJArabic,44,3168,6191
2017-04-13,AJArabic,46,2364,5444
2017-04-14,AJArabic,39,2565,5737
2017-04-15,AJArabic,38,4240,7170
2017-04-16,AJArabic,47,3400,7669
2017-04-17,AJArabic,42,2202,5248
2017-04-18,AJArabic,43,2198,4922
2017-04-19,AJArabic,42,1963,4738
2017-04-20,AJArabic,43,2950,5152
2017-04-21,AJArabic,40,3591,5640
2017-04-22,AJArabic,42,1907,4266
2017-04-23,AJArabic,41,1828,3893
2017-04-24,AJArabic,44,1808,4312
2017-04-25,AJArabic,44,2031,4365
2017-04-26,AJArabic,42,3802,4764
2017-04-27,AJArabic,40,1768,3962
2017-04-28,AJArabic,44,2185,4586
2017-04-29,AJArabic,43,2171,4550
2017-04-30,AJArabic,61,2598,6002
2017-05-01,AJArabic,41,1579,3669
2017-05-02,AJArabic,39,1635,3531
2017-05-03,AJArabic,45,1952,4232
2017-05-04,AJArabic,46,1486,3462
2017-05-05,AJArabic,41,2149,4168
2017-05-06,AJArabic,41,2361,4839
2017-05-07,AJArabic,42,2410,4226
2017-05-08,AJArabic,45,2284,4335
2017-05-09,AJArabic,43,3317,4758
2017-05-10,AJArabic,47,1424,3178
2017-05-11,AJArabic,44,3031,4656
2017-05-12,AJArabic,50,4605,6851
2017-05-13,AJArabic,42,2632,4131
2017-05-14,AJArabic,63,5091,6693
2017-05-15,AJArabic,45,4354,5951
2017-05-16,AJArabic,40,3424,4624
2017-05-17,AJArabic,45,2415,3979
2017-05-18,AJArabic,42,2270,3720
2017-05-19,AJArabic,44,2839,4897
2017-05-20,AJArabic,48,5363,7517
2017-05-21,AJArabic,62,4080,6856
2017-05-22,AJArabic,47,2313,4512
2017-05-23,AJArabic,50,8421,7542
2017-05-24,AJArabic,50,11387,10858
2017-05-25,AJArabic,43,7837,9641
2017-05-26,AJArabic,45,2715,5756
2017-05-27,AJArabic,41,3190,6153
2017-05-28,AJArabic,41,4882,7411
2017-05-29,AJArabic,43,4510,6306
2017-05-30,AJArabic,43,3249,5714
2017-05-31,AJArabic,40,6807,8734
2017-06-01,AJArabic,33,19001,13217
2017-06-02,AJArabic,30,6927,7977
2017-06-03,AJArabic,47,13247,15513
2017-06-04,AJArabic,43,7337,10040
