"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","1,789.25","1,788.25","1,807.50","1,785.00","-","-1.01%"
"Dec 30, 2019","1,807.50","1,808.25","1,810.25","1,806.47","-","-0.82%"
"Dec 27, 2019","1,822.50","1,814.50","1,824.75","1,806.25","-","0.25%"
"Dec 24, 2019","1,818.00","1,805.75","1,818.75","1,805.00","-","1.78%"
"Dec 23, 2019","1,786.25","1,789.50","1,790.25","1,782.00","-","-0.85%"
"Dec 20, 2019","1,801.50","1,802.00","1,804.75","1,792.75","-","0.07%"
"Dec 19, 2019","1,800.25","1,780.50","1,802.25","1,776.75","-","2.36%"
"Dec 18, 2019","1,758.75","1,749.20","1,764.88","1,745.63","0.48K","0.72%"
"Dec 17, 2019","1,746.25","1,749.20","1,761.00","1,746.75","-","-0.81%"
"Dec 16, 2019","1,760.50","1,759.50","1,762.25","1,750.00","-","0.60%"
"Dec 13, 2019","1,750.00","1,753.75","1,763.93","1,753.25","-","-0.74%"
"Dec 12, 2019","1,763.00","1,765.25","1,770.75","1,753.50","-","0.54%"
"Dec 11, 2019","1,753.50","1,758.50","1,759.51","1,751.75","-","0.10%"
"Dec 10, 2019","1,751.75","1,751.75","1,755.00","1,750.25","-","-0.19%"
"Dec 09, 2019","1,755.00","1,758.00","1,766.93","1,755.75","-","-0.38%"
"Dec 06, 2019","1,761.75","1,748.00","1,764.25","1,735.25","-","0.86%"
"Dec 05, 2019","1,746.75","1,751.75","1,763.00","1,748.50","0.19K","-0.92%"
"Dec 04, 2019","1,763.00","1,765.17","1,771.88","1,759.25","0.63K","-0.42%"
"Dec 03, 2019","1,770.50","1,777.75","1,801.25","1,776.91","-","-1.71%"
"Dec 02, 2019","1,801.25","1,799.75","1,802.00","1,780.00","0.22K","1.19%"
"Nov 29, 2019","1,780.00","1,767.75","1,775.00","1,757.25","-","1.27%"
"Nov 28, 2019","1,757.75","1,771.50","1,771.50","1,752.75","-","-0.69%"
"Nov 27, 2019","1,770.00","1,768.25","1,780.50","1,758.00","-","0.61%"
"Nov 26, 2019","1,759.25","1,738.75","1,759.75","1,735.75","-","1.03%"
"Nov 25, 2019","1,741.25","1,746.75","1,749.75","1,743.50","-","0.14%"
"Nov 22, 2019","1,738.75","1,743.00","1,745.50","1,735.75","-","-0.16%"
"Nov 21, 2019","1,741.50","1,749.75","1,751.75","1,741.50","-","-0.37%"
"Nov 20, 2019","1,748.00","1,749.50","1,751.50","1,736.75","-","0.65%"
"Nov 19, 2019","1,736.75","1,742.75","1,743.75","1,736.25","0.65K","-0.39%"
"Nov 18, 2019","1,743.50","1,748.50","1,763.00","1,744.50","-","-1.11%"
"Nov 15, 2019","1,763.00","1,754.50","1,754.75","1,738.50","-","1.41%"
"Nov 14, 2019","1,738.50","1,748.75","1,767.50","1,743.00","-","-1.64%"
"Nov 13, 2019","1,767.50","1,769.00","1,780.50","1,767.18","-","-0.73%"
"Nov 12, 2019","1,780.50","1,786.00","1,789.00","1,783.00","-","-0.24%"
"Nov 11, 2019","1,784.75","1,792.50","1,820.25","1,790.75","-","-1.95%"
"Nov 08, 2019","1,820.25","1,821.50","1,827.84","1,820.50","-","0.55%"
"Nov 07, 2019","1,810.25","1,803.50","1,818.75","1,796.75","-","-0.63%"
"Nov 06, 2019","1,821.75","1,817.00","1,823.00","1,815.25","-","-0.07%"
"Nov 05, 2019","1,823.00","1,821.00","1,828.27","1,820.70","-","-0.26%"
"Nov 04, 2019","1,827.75","1,824.75","1,826.75","1,798.00","-","2.14%"
"Nov 01, 2019","1,789.50","1,759.75","1,789.75","1,752.75","-","1.59%"
"Oct 31, 2019","1,761.50","1,761.75","1,766.00","1,751.00","-","-0.25%"
"Oct 30, 2019","1,766.00","1,760.85","1,768.00","1,758.60","-","0.24%"
"Oct 29, 2019","1,761.75","1,757.25","1,757.88","1,740.75","-","1.21%"
"Oct 28, 2019","1,740.75","1,743.00","1,743.63","1,733.50","-","0.42%"
"Oct 25, 2019","1,733.50","1,736.75","1,737.25","1,725.65","-","0.35%"
"Oct 24, 2019","1,727.50","1,733.50","1,733.50","1,724.75","-","-0.35%"
"Oct 23, 2019","1,733.50","1,731.00","1,734.50","1,723.25","-","0.59%"
"Oct 22, 2019","1,723.25","1,723.75","1,734.00","1,723.75","-","-0.62%"
"Oct 21, 2019","1,734.00","1,733.75","1,746.50","1,733.50","-","-0.72%"
"Oct 18, 2019","1,746.50","1,745.50","1,747.50","1,736.25","-","0.59%"
"Oct 17, 2019","1,736.25","1,734.25","1,735.50","1,734.25","-","0.04%"
"Oct 16, 2019","1,735.50","1,728.75","1,730.75","1,723.93","-","0.29%"
"Oct 15, 2019","1,730.50","1,729.25","1,732.13","1,720.58","-","0.51%"
"Oct 14, 2019","1,721.75","1,723.50","1,727.25","1,723.08","-","0.45%"
"Oct 11, 2019","1,714.00","1,714.50","1,745.75","1,714.00","-","-1.82%"
"Oct 10, 2019","1,745.75","1,746.75","1,747.05","1,737.50","-","0.47%"
"Oct 09, 2019","1,737.50","1,718.75","1,744.75","1,718.75","-","-0.42%"
"Oct 08, 2019","1,744.75","1,746.75","1,746.75","1,736.70","-","0.20%"
"Oct 07, 2019","1,741.25","1,739.00","1,739.75","1,708.25","-","1.93%"
"Oct 04, 2019","1,708.25","1,705.75","1,707.38","1,705.25","-","0.18%"
"Oct 03, 2019","1,705.25","1,702.50","1,702.75","1,689.75","-","0.92%"
"Oct 02, 2019","1,689.75","1,697.75","1,726.25","1,691.75","-","-2.11%"
"Oct 01, 2019","1,726.25","1,725.75","1,725.75","1,707.50","-","1.10%"
"Sep 30, 2019","1,707.50","1,706.50","1,722.75","1,706.00","-","-0.89%"
"Sep 27, 2019","1,722.75","1,729.13","1,729.38","1,719.92","-","-0.13%"
"Sep 26, 2019","1,725.00","1,725.25","1,738.75","1,723.90","-","-0.79%"
"Sep 25, 2019","1,738.75","1,741.25","1,751.00","1,740.25","-","-0.70%"
"Sep 24, 2019","1,751.00","1,754.00","1,776.25","1,754.00","-","-1.42%"
"Sep 23, 2019","1,776.25","1,768.00","1,785.50","1,768.00","-","-0.52%"
"Sep 20, 2019","1,785.50","1,775.25","1,788.00","1,775.25","-","-0.14%"
"Sep 19, 2019","1,788.00","1,781.50","1,781.50","1,767.25","-","1.17%"
"Sep 18, 2019","1,767.25","1,774.50","1,776.87","1,767.75","-","-0.41%"
"Sep 17, 2019","1,774.50","1,769.00","1,793.25","1,759.75","0.19K","-0.74%"
"Sep 16, 2019","1,787.75","1,809.50","1,817.75","1,787.50","-","-0.20%"
"Sep 13, 2019","1,791.25","1,782.25","1,782.25","1,772.50","-","1.06%"
"Sep 12, 2019","1,772.50","1,768.75","1,800.00","1,768.75","-","-1.53%"
"Sep 11, 2019","1,800.00","1,796.00","1,805.45","1,794.75","-","0.06%"
"Sep 10, 2019","1,799.00","1,798.50","1,799.93","1,777.75","-","1.20%"
"Sep 09, 2019","1,777.75","1,778.75","1,778.75","1,769.25","-","0.48%"
"Sep 06, 2019","1,769.25","1,762.50","1,770.25","1,762.00","-","0.35%"
"Sep 05, 2019","1,763.00","1,762.75","1,767.43","1,754.00","-","0.51%"
"Sep 04, 2019","1,754.00","1,749.50","1,754.25","1,732.25","-","1.26%"
"Sep 03, 2019","1,732.25","1,734.25","1,734.25","1,727.58","0.07K","0.19%"
"Sep 02, 2019","1,729.00","1,729.25","1,732.50","1,728.50","-","-0.20%"
"Aug 30, 2019","1,732.50","1,731.25","1,732.05","1,730.55","-","0.07%"
"Aug 29, 2019","1,731.25","1,733.25","1,733.25","1,724.88","-","0.36%"
"Aug 28, 2019","1,725.00","1,730.25","1,742.75","1,728.00","-","-1.02%"
"Aug 27, 2019","1,742.75","1,742.50","1,754.25","1,742.50","-","-0.66%"
"Aug 23, 2019","1,754.25","1,752.75","1,753.75","1,750.00","-","0.24%"
"Aug 22, 2019","1,750.00","1,751.75","1,763.25","1,747.00","-","-0.75%"
"Aug 21, 2019","1,763.25","1,764.75","1,776.75","1,758.00","0.05K","-0.11%"
"Aug 20, 2019","1,765.25","1,764.75","1,776.75","1,764.50","-","-0.65%"
"Aug 19, 2019","1,776.75","1,760.00","1,789.50","1,760.00","0.25K","0.95%"
"Aug 16, 2019","1,760.00","1,761.50","1,761.88","1,751.75","-","0.47%"
"Aug 15, 2019","1,751.75","1,756.25","1,756.25","1,746.75","-","0.29%"
"Aug 14, 2019","1,746.75","1,758.00","1,758.00","1,748.00","-","-0.63%"
"Aug 13, 2019","1,757.75","1,745.75","1,764.88","1,734.25","0.21K","0.85%"
"Aug 12, 2019","1,743.00","1,745.75","1,749.16","1,745.75","-","-0.26%"
"Aug 09, 2019","1,747.50","1,751.25","1,754.75","1,747.25","-","-0.41%"
"Aug 08, 2019","1,754.75","1,756.00","1,756.25","1,722.75","-","1.86%"
"Aug 07, 2019","1,722.75","1,739.50","1,739.50","1,734.78","-","-0.89%"
"Aug 06, 2019","1,738.25","1,743.00","1,746.82","1,739.50","-","-0.29%"
"Aug 05, 2019","1,743.25","1,746.25","1,750.50","1,743.13","-","-0.41%"
"Aug 02, 2019","1,750.50","1,756.00","1,762.50","1,752.75","-","-0.68%"
"Aug 01, 2019","1,762.50","1,759.50","1,782.25","1,759.50","-","-1.11%"
"Jul 31, 2019","1,782.25","1,788.00","1,799.00","1,780.25","0.06K","-0.25%"
"Jul 30, 2019","1,786.75","1,788.00","1,788.58","1,788.00","-","-0.54%"
"Jul 29, 2019","1,796.50","1,790.00","1,801.00","1,780.25","0.02K","0.55%"
"Jul 26, 2019","1,786.75","1,784.25","1,808.25","1,783.89","-","-1.19%"
"Jul 25, 2019","1,808.25","1,808.50","1,808.50","1,808.00","-","-0.01%"
"Jul 24, 2019","1,808.50","1,808.25","1,809.00","1,798.75","-","0.54%"
"Jul 23, 2019","1,798.75","1,805.00","1,805.00","1,799.75","-","-0.06%"
