Date,Handle,Total Posts,Favorites,Retweets
1/1/2016,Alwafa_Party,19,102,45
1/2/2016,Alwafa_Party,54,916,349
1/3/2016,Alwafa_Party,60,631,305
1/4/2016,Alwafa_Party,45,295,124
1/5/2016,Alwafa_Party,48,277,157
1/6/2016,Alwafa_Party,24,112,36
1/7/2016,Alwafa_Party,28,157,67
1/8/2016,Alwafa_Party,50,303,101
1/9/2016,Alwafa_Party,16,49,24
1/10/2016,Alwafa_Party,17,115,33
1/11/2016,Alwafa_Party,9,73,26
1/12/2016,Alwafa_Party,16,63,45
1/13/2016,Alwafa_Party,5,18,10
1/14/2016,Alwafa_Party,15,58,32
1/15/2016,Alwafa_Party,31,173,84
1/16/2016,Alwafa_Party,23,110,33
1/17/2016,Alwafa_Party,17,88,43
1/18/2016,Alwafa_Party,23,108,46
1/19/2016,Alwafa_Party,33,159,70
1/20/2016,Alwafa_Party,19,133,51
1/21/2016,Alwafa_Party,47,159,50
1/22/2016,Alwafa_Party,58,215,69
1/23/2016,Alwafa_Party,29,164,63
1/24/2016,Alwafa_Party,16,87,19
1/25/2016,Alwafa_Party,13,77,28
1/26/2016,Alwafa_Party,14,67,30
1/27/2016,Alwafa_Party,14,48,22
1/28/2016,Alwafa_Party,23,94,54
1/29/2016,Alwafa_Party,52,268,111
1/30/2016,Alwafa_Party,19,77,53
1/31/2016,Alwafa_Party,9,45,25
2/1/2016,Alwafa_Party,20,142,61
2/2/2016,Alwafa_Party,27,107,63
2/3/2016,Alwafa_Party,9,21,11
2/4/2016,Alwafa_Party,29,51,12
2/5/2016,Alwafa_Party,31,143,42
2/6/2016,Alwafa_Party,26,102,43
2/7/2016,Alwafa_Party,19,67,31
2/8/2016,Alwafa_Party,44,109,59
2/9/2016,Alwafa_Party,22,100,37
2/10/2016,Alwafa_Party,32,89,39
2/11/2016,Alwafa_Party,41,190,102
2/12/2016,Alwafa_Party,90,456,192
2/13/2016,Alwafa_Party,117,637,247
2/14/2016,Alwafa_Party,98,601,281
2/15/2016,Alwafa_Party,16,77,31
2/16/2016,Alwafa_Party,22,137,44
2/17/2016,Alwafa_Party,37,217,86
2/18/2016,Alwafa_Party,56,320,128
2/19/2016,Alwafa_Party,29,139,49
2/20/2016,Alwafa_Party,22,150,53
2/21/2016,Alwafa_Party,14,63,26
2/22/2016,Alwafa_Party,14,121,43
2/23/2016,Alwafa_Party,44,287,127
2/24/2016,Alwafa_Party,22,125,43
2/25/2016,Alwafa_Party,39,162,72
2/26/2016,Alwafa_Party,52,504,278
2/27/2016,Alwafa_Party,22,315,211
2/28/2016,Alwafa_Party,22,337,180
2/29/2016,Alwafa_Party,23,359,204
3/1/2016,Alwafa_Party,21,292,175
3/2/2016,Alwafa_Party,33,682,424
3/3/2016,Alwafa_Party,39,482,510
3/4/2016,Alwafa_Party,57,471,331
3/5/2016,Alwafa_Party,24,431,309
3/6/2016,Alwafa_Party,22,534,308
3/7/2016,Alwafa_Party,32,784,411
3/8/2016,Alwafa_Party,19,68,240
3/9/2016,Alwafa_Party,16,254,200
3/10/2016,Alwafa_Party,29,564,379
3/11/2016,Alwafa_Party,48,1034,623
3/12/2016,Alwafa_Party,41,616,567
3/13/2016,Alwafa_Party,49,294,114
3/14/2016,Alwafa_Party,117,544,184
3/15/2016,Alwafa_Party,31,127,55
3/16/2016,Alwafa_Party,31,111,75
3/17/2016,Alwafa_Party,33,138,64
3/18/2016,Alwafa_Party,30,249,57
3/19/2016,Alwafa_Party,27,145,67
3/20/2016,Alwafa_Party,18,78,41
3/21/2016,Alwafa_Party,19,309,264
3/22/2016,Alwafa_Party,24,507,361
3/23/2016,Alwafa_Party,11,225,161
3/24/2016,Alwafa_Party,32,317,402
3/25/2016,Alwafa_Party,60,293,158
3/26/2016,Alwafa_Party,33,98,40
3/27/2016,Alwafa_Party,17,95,30
3/28/2016,Alwafa_Party,8,21,14
3/29/2016,Alwafa_Party,5,23,14
3/30/2016,Alwafa_Party,21,92,20
3/31/2016,Alwafa_Party,29,180,85
4/1/2016,Alwafa_Party,44,524,487
4/2/2016,Alwafa_Party,35,240,158
4/3/2016,Alwafa_Party,40,249,184
4/4/2016,Alwafa_Party,51,414,127
4/5/2016,Alwafa_Party,51,582,90
4/6/2016,Alwafa_Party,37,201,41
4/7/2016,Alwafa_Party,74,465,104
4/8/2016,Alwafa_Party,79,621,350
4/9/2016,Alwafa_Party,22,380,321
4/10/2016,Alwafa_Party,16,210,163
4/11/2016,Alwafa_Party,21,269,291
4/12/2016,Alwafa_Party,29,186,134
4/13/2016,Alwafa_Party,35,347,226
4/14/2016,Alwafa_Party,38,410,251
4/15/2016,Alwafa_Party,56,586,487
4/16/2016,Alwafa_Party,35,671,501
4/17/2016,Alwafa_Party,22,383,287
4/18/2016,Alwafa_Party,22,387,269
4/19/2016,Alwafa_Party,25,108,56
4/20/2016,Alwafa_Party,12,118,53
4/21/2016,Alwafa_Party,31,297,210
4/22/2016,Alwafa_Party,31,452,390
4/23/2016,Alwafa_Party,31,449,390
4/24/2016,Alwafa_Party,23,165,68
4/25/2016,Alwafa_Party,36,254,78
4/26/2016,Alwafa_Party,24,108,28
4/27/2016,Alwafa_Party,21,138,54
4/28/2016,Alwafa_Party,24,90,28
4/29/2016,Alwafa_Party,56,185,107
4/30/2016,Alwafa_Party,28,271,105
5/1/2016,Alwafa_Party,25,100,37
5/2/2016,Alwafa_Party,8,59,31
5/3/2016,Alwafa_Party,10,35,30
5/4/2016,Alwafa_Party,13,86,72
5/5/2016,Alwafa_Party,31,358,234
5/6/2016,Alwafa_Party,21,131,91
5/7/2016,Alwafa_Party,14,83,44
5/8/2016,Alwafa_Party,37,138,38
5/9/2016,Alwafa_Party,7,28,13
5/10/2016,Alwafa_Party,8,50,9
5/11/2016,Alwafa_Party,11,71,15
5/12/2016,Alwafa_Party,25,153,62
5/13/2016,Alwafa_Party,33,513,426
5/14/2016,Alwafa_Party,12,218,168
5/15/2016,Alwafa_Party,21,386,292
5/16/2016,Alwafa_Party,20,322,260
5/17/2016,Alwafa_Party,7,70,32
5/18/2016,Alwafa_Party,15,89,57
5/19/2016,Alwafa_Party,18,142,89
5/20/2016,Alwafa_Party,16,69,16
5/21/2016,Alwafa_Party,15,124,23
5/22/2016,Alwafa_Party,13,257,188
5/23/2016,Alwafa_Party,8,61,46
5/24/2016,Alwafa_Party,27,236,57
5/25/2016,Alwafa_Party,18,151,26
5/26/2016,Alwafa_Party,29,315,151
5/27/2016,Alwafa_Party,27,146,29
5/28/2016,Alwafa_Party,10,107,23
5/29/2016,Alwafa_Party,24,202,54
5/30/2016,Alwafa_Party,24,154,62
5/31/2016,Alwafa_Party,16,109,35
6/1/2016,Alwafa_Party,7,115,65
6/2/2016,Alwafa_Party,25,159,94
6/3/2016,Alwafa_Party,32,174,105
6/4/2016,Alwafa_Party,20,308,170
6/5/2016,Alwafa_Party,12,193,165
6/6/2016,Alwafa_Party,11,208,114
6/7/2016,Alwafa_Party,11,109,46
6/8/2016,Alwafa_Party,11,49,26
6/9/2016,Alwafa_Party,33,114,73
6/10/2016,Alwafa_Party,49,253,75
6/11/2016,Alwafa_Party,38,292,89
6/12/2016,Alwafa_Party,25,357,249
6/13/2016,Alwafa_Party,23,132,49
6/14/2016,Alwafa_Party,35,169,52
6/15/2016,Alwafa_Party,15,170,20
6/16/2016,Alwafa_Party,46,470,191
6/17/2016,Alwafa_Party,54,230,75
6/18/2016,Alwafa_Party,22,113,30
6/19/2016,Alwafa_Party,24,202,49
6/20/2016,Alwafa_Party,43,838,411
6/21/2016,Alwafa_Party,54,904,568
6/22/2016,Alwafa_Party,60,816,477
6/23/2016,Alwafa_Party,37,949,653
6/24/2016,Alwafa_Party,37,854,616
6/25/2016,Alwafa_Party,18,264,199
6/26/2016,Alwafa_Party,20,390,284
6/27/2016,Alwafa_Party,33,796,545
6/28/2016,Alwafa_Party,22,373,182
6/29/2016,Alwafa_Party,20,305,201
6/30/2016,Alwafa_Party,30,490,379
7/1/2016,Alwafa_Party,60,702,392
7/2/2016,Alwafa_Party,47,993,744
7/3/2016,Alwafa_Party,23,511,377
7/4/2016,Alwafa_Party,16,321,264
7/5/2016,Alwafa_Party,22,456,315
7/6/2016,Alwafa_Party,35,739,553
7/7/2016,Alwafa_Party,29,638,447
7/8/2016,Alwafa_Party,70,757,315
7/9/2016,Alwafa_Party,14,350,210
7/10/2016,Alwafa_Party,20,426,319
7/11/2016,Alwafa_Party,19,408,300
7/12/2016,Alwafa_Party,15,310,228
7/13/2016,Alwafa_Party,16,327,229
7/14/2016,Alwafa_Party,40,132,83
7/15/2016,Alwafa_Party,54,324,261
7/16/2016,Alwafa_Party,17,171,96
7/17/2016,Alwafa_Party,15,144,76
7/18/2016,Alwafa_Party,24,349,207
7/19/2016,Alwafa_Party,26,289,110
7/20/2016,Alwafa_Party,23,490,256
7/21/2016,Alwafa_Party,31,405,217
7/22/2016,Alwafa_Party,34,564,372
7/23/2016,Alwafa_Party,45,381,85
7/24/2016,Alwafa_Party,15,161,65
7/25/2016,Alwafa_Party,15,117,55
7/26/2016,Alwafa_Party,40,403,154
7/27/2016,Alwafa_Party,34,324,281
7/28/2016,Alwafa_Party,19,138,55
7/29/2016,Alwafa_Party,24,164,94
7/30/2016,Alwafa_Party,13,183,51
7/31/2016,Alwafa_Party,27,309,135
8/1/2016,Alwafa_Party,32,174,92
8/2/2016,Alwafa_Party,48,522,230
8/3/2016,Alwafa_Party,24,151,78
8/4/2016,Alwafa_Party,24,114,63
8/5/2016,Alwafa_Party,47,194,81
8/6/2016,Alwafa_Party,12,94,57
8/7/2016,Alwafa_Party,12,92,29
8/8/2016,Alwafa_Party,27,227,34
8/9/2016,Alwafa_Party,10,31,22
8/10/2016,Alwafa_Party,26,171,68
8/11/2016,Alwafa_Party,22,57,29
8/12/2016,Alwafa_Party,41,110,54
8/13/2016,Alwafa_Party,25,120,46
8/14/2016,Alwafa_Party,52,231,92
8/15/2016,Alwafa_Party,7,82,25
8/16/2016,Alwafa_Party,16,113,53
8/17/2016,Alwafa_Party,6,29,19
8/18/2016,Alwafa_Party,33,192,94
8/19/2016,Alwafa_Party,29,265,137
8/20/2016,Alwafa_Party,18,232,169
8/21/2016,Alwafa_Party,17,126,74
8/22/2016,Alwafa_Party,17,321,235
8/23/2016,Alwafa_Party,23,219,144
8/24/2016,Alwafa_Party,23,231,177
8/25/2016,Alwafa_Party,23,200,134
8/26/2016,Alwafa_Party,34,156,52
8/27/2016,Alwafa_Party,12,141,31
8/28/2016,Alwafa_Party,20,113,19
8/29/2016,Alwafa_Party,13,129,22
8/30/2016,Alwafa_Party,29,287,281
8/31/2016,Alwafa_Party,26,416,321
9/1/2016,Alwafa_Party,17,255,229
9/2/2016,Alwafa_Party,24,211,301
9/3/2016,Alwafa_Party,15,199,198
9/4/2016,Alwafa_Party,31,434,407
9/5/2016,Alwafa_Party,32,467,428
9/6/2016,Alwafa_Party,28,339,370
9/7/2016,Alwafa_Party,28,282,213
9/8/2016,Alwafa_Party,22,226,58
9/9/2016,Alwafa_Party,28,128,65
9/10/2016,Alwafa_Party,23,143,37
9/11/2016,Alwafa_Party,31,81,42
9/12/2016,Alwafa_Party,19,113,34
9/13/2016,Alwafa_Party,30,202,57
9/14/2016,Alwafa_Party,38,316,58
9/15/2016,Alwafa_Party,36,143,57
9/16/2016,Alwafa_Party,39,152,29
9/17/2016,Alwafa_Party,32,216,54
9/18/2016,Alwafa_Party,12,89,32
9/19/2016,Alwafa_Party,6,77,5
9/20/2016,Alwafa_Party,15,123,13
9/21/2016,Alwafa_Party,20,121,16
9/22/2016,Alwafa_Party,29,194,37
9/23/2016,Alwafa_Party,43,102,37
9/24/2016,Alwafa_Party,29,189,29
9/25/2016,Alwafa_Party,26,115,19
9/26/2016,Alwafa_Party,35,119,26
9/27/2016,Alwafa_Party,23,80,11
9/28/2016,Alwafa_Party,28,163,25
9/29/2016,Alwafa_Party,32,231,22
9/30/2016,Alwafa_Party,34,252,36
10/1/2016,Alwafa_Party,40,216,20
10/2/2016,Alwafa_Party,35,149,37
10/3/2016,Alwafa_Party,31,212,30
10/4/2016,Alwafa_Party,32,187,36
10/5/2016,Alwafa_Party,24,93,25
10/6/2016,Alwafa_Party,30,62,24
10/7/2016,Alwafa_Party,22,62,33
10/8/2016,Alwafa_Party,35,227,50
10/9/2016,Alwafa_Party,46,141,26
10/10/2016,Alwafa_Party,35,79,42
10/11/2016,Alwafa_Party,43,189,16
10/12/2016,Alwafa_Party,32,75,34
10/13/2016,Alwafa_Party,38,192,43
10/14/2016,Alwafa_Party,14,65,12
10/15/2016,Alwafa_Party,22,67,12
10/16/2016,Alwafa_Party,12,22,8
10/17/2016,Alwafa_Party,25,141,9
10/18/2016,Alwafa_Party,23,162,22
10/19/2016,Alwafa_Party,29,186,14
10/20/2016,Alwafa_Party,44,75,21
10/21/2016,Alwafa_Party,37,155,24
10/22/2016,Alwafa_Party,40,62,22
10/23/2016,Alwafa_Party,41,171,5
10/24/2016,Alwafa_Party,41,34,12
10/25/2016,Alwafa_Party,19,171,28
10/26/2016,Alwafa_Party,27,99,18
10/27/2016,Alwafa_Party,20,96,10
10/28/2016,Alwafa_Party,48,67,15
10/29/2016,Alwafa_Party,29,211,40
10/30/2016,Alwafa_Party,31,107,49
10/31/2016,Alwafa_Party,30,17,20
11/1/2016,Alwafa_Party,29,150,18
11/2/2016,Alwafa_Party,33,39,13
11/3/2016,Alwafa_Party,45,71,12
11/4/2016,Alwafa_Party,49,50,14
11/5/2016,Alwafa_Party,26,172,33
11/6/2016,Alwafa_Party,28,47,18
11/7/2016,Alwafa_Party,20,33,18
11/8/2016,Alwafa_Party,26,31,18
11/9/2016,Alwafa_Party,19,58,31
11/10/2016,Alwafa_Party,24,39,7
11/11/2016,Alwafa_Party,31,79,40
11/12/2016,Alwafa_Party,14,35,15
11/13/2016,Alwafa_Party,20,60,43
11/14/2016,Alwafa_Party,19,60,68
11/15/2016,Alwafa_Party,25,173,98
11/16/2016,Alwafa_Party,14,36,21
11/17/2016,Alwafa_Party,10,31,16
11/18/2016,Alwafa_Party,22,81,70
11/19/2016,Alwafa_Party,19,128,108
11/20/2016,Alwafa_Party,6,3,9
11/21/2016,Alwafa_Party,11,23,20
11/22/2016,Alwafa_Party,17,51,16
11/23/2016,Alwafa_Party,22,44,23
11/24/2016,Alwafa_Party,16,29,22
11/25/2016,Alwafa_Party,28,40,6
11/26/2016,Alwafa_Party,11,15,11
11/27/2016,Alwafa_Party,8,24,15
11/28/2016,Alwafa_Party,13,17,12
11/29/2016,Alwafa_Party,42,39,20
11/30/2016,Alwafa_Party,18,19,16
12/1/2016,Alwafa_Party,20,21,10
12/2/2016,Alwafa_Party,47,63,51
