Date,Handle,Total Posts,Favorites,Retweets
1/1/2016,Alwatan_Live,68,20,6
1/2/2016,Alwatan_Live,59,29,13
1/3/2016,Alwatan_Live,94,48,33
1/4/2016,Alwatan_Live,104,65,31
1/5/2016,Alwatan_Live,76,26,12
1/6/2016,Alwatan_Live,58,32,8
1/7/2016,Alwatan_Live,50,27,14
1/8/2016,Alwatan_Live,50,17,7
1/9/2016,Alwatan_Live,53,22,24
1/10/2016,Alwatan_Live,85,27,10
1/11/2016,Alwatan_Live,78,39,16
1/12/2016,Alwatan_Live,85,58,20
1/13/2016,Alwatan_Live,78,20,26
1/14/2016,Alwatan_Live,72,35,13
1/15/2016,Alwatan_Live,47,8,15
1/16/2016,Alwatan_Live,66,21,13
1/17/2016,Alwatan_Live,84,28,21
1/18/2016,Alwatan_Live,70,14,9
1/19/2016,Alwatan_Live,69,24,9
1/20/2016,Alwatan_Live,67,10,9
1/21/2016,Alwatan_Live,71,12,12
1/22/2016,Alwatan_Live,29,7,7
1/23/2016,Alwatan_Live,106,39,23
1/24/2016,Alwatan_Live,93,27,20
1/25/2016,Alwatan_Live,85,22,6
1/26/2016,Alwatan_Live,125,42,20
1/27/2016,Alwatan_Live,101,32,20
1/28/2016,Alwatan_Live,82,14,4
1/29/2016,Alwatan_Live,63,14,14
1/30/2016,Alwatan_Live,101,49,21
1/31/2016,Alwatan_Live,85,20,19
2/1/2016,Alwatan_Live,115,33,8
2/2/2016,Alwatan_Live,82,15,9
2/3/2016,Alwatan_Live,105,23,18
2/4/2016,Alwatan_Live,96,24,19
2/5/2016,Alwatan_Live,60,12,3
2/6/2016,Alwatan_Live,91,30,15
2/7/2016,Alwatan_Live,86,36,15
2/8/2016,Alwatan_Live,76,16,24
2/9/2016,Alwatan_Live,104,33,10
2/10/2016,Alwatan_Live,77,14,7
2/11/2016,Alwatan_Live,86,39,15
2/12/2016,Alwatan_Live,56,28,7
2/13/2016,Alwatan_Live,69,21,10
2/14/2016,Alwatan_Live,123,57,16
2/15/2016,Alwatan_Live,80,31,5
2/16/2016,Alwatan_Live,36,13,9
2/17/2016,Alwatan_Live,100,18,12
2/18/2016,Alwatan_Live,96,11,12
2/19/2016,Alwatan_Live,65,47,19
2/20/2016,Alwatan_Live,72,32,6
2/21/2016,Alwatan_Live,96,39,26
2/22/2016,Alwatan_Live,89,43,17
2/23/2016,Alwatan_Live,91,31,14
2/24/2016,Alwatan_Live,75,37,14
2/25/2016,Alwatan_Live,61,22,9
2/26/2016,Alwatan_Live,47,23,17
2/27/2016,Alwatan_Live,78,32,12
2/28/2016,Alwatan_Live,66,37,13
2/29/2016,Alwatan_Live,66,49,25
4/1/2016,Alwatan_Live,13,5,8
4/2/2016,Alwatan_Live,53,16,10
4/3/2016,Alwatan_Live,43,11,12
4/4/2016,Alwatan_Live,52,11,4
4/5/2016,Alwatan_Live,41,22,11
4/6/2016,Alwatan_Live,51,9,9
4/7/2016,Alwatan_Live,30,15,5
4/8/2016,Alwatan_Live,19,9,7
4/9/2016,Alwatan_Live,52,19,10
4/10/2016,Alwatan_Live,40,13,9
4/11/2016,Alwatan_Live,49,11,4
4/12/2016,Alwatan_Live,46,17,20
4/13/2016,Alwatan_Live,32,8,10
4/14/2016,Alwatan_Live,50,5,4
4/15/2016,Alwatan_Live,30,16,11
4/16/2016,Alwatan_Live,43,17,15
4/17/2016,Alwatan_Live,48,17,15
4/18/2016,Alwatan_Live,57,67,22
4/19/2016,Alwatan_Live,64,25,11
4/20/2016,Alwatan_Live,67,26,8
4/21/2016,Alwatan_Live,74,13,9
4/22/2016,Alwatan_Live,50,18,5
4/23/2016,Alwatan_Live,48,21,9
4/24/2016,Alwatan_Live,68,8,9
4/25/2016,Alwatan_Live,28,9,7
4/26/2016,Alwatan_Live,51,26,7
4/27/2016,Alwatan_Live,55,19,13
4/28/2016,Alwatan_Live,49,23,21
4/29/2016,Alwatan_Live,32,6,3
4/30/2016,Alwatan_Live,41,28,6
5/1/2016,Alwatan_Live,66,43,6
5/2/2016,Alwatan_Live,51,13,11
5/3/2016,Alwatan_Live,64,61,19
5/4/2016,Alwatan_Live,43,29,10
5/5/2016,Alwatan_Live,28,10,4
5/6/2016,Alwatan_Live,15,12,1
5/7/2016,Alwatan_Live,16,12,1
5/8/2016,Alwatan_Live,37,24,8
5/9/2016,Alwatan_Live,52,52,11
5/10/2016,Alwatan_Live,44,11,9
5/11/2016,Alwatan_Live,41,21,11
5/12/2016,Alwatan_Live,43,26,10
5/13/2016,Alwatan_Live,25,6,5
5/14/2016,Alwatan_Live,50,16,13
5/15/2016,Alwatan_Live,36,16,6
5/16/2016,Alwatan_Live,46,10,12
5/17/2016,Alwatan_Live,60,33,11
5/18/2016,Alwatan_Live,47,18,14
5/19/2016,Alwatan_Live,41,26,9
5/20/2016,Alwatan_Live,23,11,2
5/21/2016,Alwatan_Live,54,22,4
5/22/2016,Alwatan_Live,39,6,9
5/23/2016,Alwatan_Live,61,33,10
5/24/2016,Alwatan_Live,47,26,4
5/25/2016,Alwatan_Live,30,10,4
5/26/2016,Alwatan_Live,40,25,10
5/27/2016,Alwatan_Live,17,12,3
5/28/2016,Alwatan_Live,31,17,7
5/29/2016,Alwatan_Live,49,13,7
5/30/2016,Alwatan_Live,52,18,4
5/31/2016,Alwatan_Live,37,26,11
6/1/2016,Alwatan_Live,50,18,6
6/2/2016,Alwatan_Live,42,10,11
6/3/2016,Alwatan_Live,30,25,9
6/4/2016,Alwatan_Live,44,13,35
6/5/2016,Alwatan_Live,64,6,6
6/6/2016,Alwatan_Live,63,17,43
6/7/2016,Alwatan_Live,51,6,6
6/8/2016,Alwatan_Live,62,8,7
6/9/2016,Alwatan_Live,48,9,6
6/10/2016,Alwatan_Live,14,10,7
6/11/2016,Alwatan_Live,40,10,4
6/12/2016,Alwatan_Live,57,29,5
6/13/2016,Alwatan_Live,52,16,12
6/14/2016,Alwatan_Live,80,49,27
6/15/2016,Alwatan_Live,48,35,4
6/16/2016,Alwatan_Live,51,29,6
6/17/2016,Alwatan_Live,3,5,1
6/18/2016,Alwatan_Live,62,19,19
6/19/2016,Alwatan_Live,55,30,7
6/20/2016,Alwatan_Live,49,63,28
6/21/2016,Alwatan_Live,72,117,51
6/22/2016,Alwatan_Live,47,52,41
6/23/2016,Alwatan_Live,50,44,33
6/24/2016,Alwatan_Live,12,18,2
6/25/2016,Alwatan_Live,52,22,14
