Date,Handle,Total Posts,Favorites,Retweets
2016-01-01,BBCArabic,46,583,1439
2016-01-02,BBCArabic,32,681,1151
2016-01-03,BBCArabic,32,838,1324
2016-01-04,BBCArabic,50,830,1820
2016-01-05,BBCArabic,51,979,1698
2016-01-06,BBCArabic,37,508,1208
2016-01-07,BBCArabic,43,766,1359
2016-01-08,BBCArabic,43,808,1497
2016-01-09,BBCArabic,34,1063,1592
2016-01-10,BBCArabic,32,2034,2338
2016-01-11,BBCArabic,52,740,1593
2016-01-12,BBCArabic,46,730,1590
2016-01-13,BBCArabic,53,821,1608
2016-01-14,BBCArabic,60,911,1778
2016-01-15,BBCArabic,43,582,1368
2016-01-16,BBCArabic,31,354,789
2016-01-17,BBCArabic,35,450,791
2016-01-18,BBCArabic,64,916,1959
2016-01-19,BBCArabic,51,590,1266
2016-01-20,BBCArabic,57,764,1398
2016-01-21,BBCArabic,50,524,1176
2016-01-22,BBCArabic,46,656,1253
2016-01-23,BBCArabic,30,473,956
2016-01-24,BBCArabic,50,775,1458
2016-01-25,BBCArabic,60,667,1590
2016-01-26,BBCArabic,52,722,1446
2016-01-27,BBCArabic,37,679,1185
2016-01-28,BBCArabic,63,818,1598
2016-01-29,BBCArabic,42,444,1046
2016-01-30,BBCArabic,50,611,1401
2016-01-31,BBCArabic,42,795,1315
2016-02-01,BBCArabic,67,946,2058
2016-02-02,BBCArabic,80,748,1802
2016-02-03,BBCArabic,53,554,1299
2016-02-04,BBCArabic,74,1064,2085
2016-02-05,BBCArabic,58,867,1813
2016-02-06,BBCArabic,49,644,1562
2016-02-07,BBCArabic,48,483,1336
2016-02-08,BBCArabic,66,669,1637
2016-02-09,BBCArabic,54,556,1403
2016-02-10,BBCArabic,57,530,1456
2016-02-11,BBCArabic,54,567,1528
2016-02-12,BBCArabic,57,758,1658
2016-02-13,BBCArabic,50,904,1898
2016-02-14,BBCArabic,39,596,1211
2016-02-15,BBCArabic,47,726,1479
2016-02-16,BBCArabic,46,874,1619
2016-02-17,BBCArabic,54,840,1828
2016-02-18,BBCArabic,51,566,1341
2016-02-19,BBCArabic,45,812,1618
2016-02-20,BBCArabic,26,332,759
2016-02-21,BBCArabic,26,393,833
2016-02-22,BBCArabic,43,736,1616
2016-02-23,BBCArabic,54,660,1449
2016-02-24,BBCArabic,56,844,1590
2016-02-25,BBCArabic,52,698,1359
2016-02-26,BBCArabic,40,459,1174
2016-02-27,BBCArabic,34,393,984
2016-02-28,BBCArabic,23,370,854
2016-02-29,BBCArabic,62,785,1870
2016-04-01,BBCArabic,56,778,1633
2016-04-02,BBCArabic,29,372,1049
2016-04-03,BBCArabic,33,444,1058
2016-04-04,BBCArabic,52,667,1714
2016-04-05,BBCArabic,55,730,1637
2016-04-06,BBCArabic,54,708,1593
2016-04-07,BBCArabic,51,602,1402
2016-04-08,BBCArabic,34,640,1564
2016-04-09,BBCArabic,35,496,1053
2016-04-10,BBCArabic,33,495,959
2016-04-11,BBCArabic,67,728,2005
2016-04-12,BBCArabic,56,614,1356
2016-04-13,BBCArabic,61,721,1581
2016-04-14,BBCArabic,50,520,1310
2016-04-15,BBCArabic,49,2001,2735
2016-04-16,BBCArabic,39,607,1148
2016-04-17,BBCArabic,46,793,1467
2016-04-18,BBCArabic,60,793,1625
2016-04-19,BBCArabic,58,826,1507
2016-04-20,BBCArabic,57,947,1512
2016-04-21,BBCArabic,41,467,1200
2016-04-22,BBCArabic,44,560,1316
2016-04-23,BBCArabic,39,396,976
2016-04-24,BBCArabic,36,740,1279
2016-04-25,BBCArabic,62,958,2229
2016-04-26,BBCArabic,48,721,1374
2016-04-27,BBCArabic,52,744,1469
2016-04-28,BBCArabic,52,580,1356
2016-04-29,BBCArabic,48,1452,2105
2016-04-30,BBCArabic,39,854,1616
2016-05-01,BBCArabic,33,577,1248
2016-05-02,BBCArabic,38,521,1251
2016-05-03,BBCArabic,45,793,1371
2016-05-04,BBCArabic,53,568,1206
2016-05-05,BBCArabic,56,586,1387
2016-05-06,BBCArabic,58,742,1774
2016-05-07,BBCArabic,49,641,1730
2016-05-08,BBCArabic,28,294,765
2016-05-09,BBCArabic,45,605,1277
2016-05-10,BBCArabic,44,809,1277
2016-05-11,BBCArabic,57,601,1358
2016-05-12,BBCArabic,39,420,956
2016-05-13,BBCArabic,50,534,1409
2016-05-14,BBCArabic,38,476,1061
2016-05-15,BBCArabic,28,394,797
2016-05-16,BBCArabic,63,967,1738
2016-05-17,BBCArabic,52,648,1168
2016-05-18,BBCArabic,50,523,1059
2016-05-19,BBCArabic,60,1008,1972
2016-05-20,BBCArabic,39,482,1210
2016-05-21,BBCArabic,36,413,1033
2016-05-22,BBCArabic,39,366,950
2016-05-23,BBCArabic,44,657,1445
2016-05-24,BBCArabic,53,582,1499
2016-05-25,BBCArabic,41,467,1091
2016-05-26,BBCArabic,49,506,1275
2016-05-27,BBCArabic,35,442,1379
2016-05-28,BBCArabic,38,683,1540
2016-05-29,BBCArabic,31,390,968
2016-05-30,BBCArabic,39,599,1581
2016-05-31,BBCArabic,48,436,1299
2016-06-01,BBCArabic,39,474,1161
2016-06-02,BBCArabic,42,448,1214
2016-06-03,BBCArabic,44,695,1424
2016-06-04,BBCArabic,32,627,1371
2016-06-05,BBCArabic,30,443,1318
2016-06-06,BBCArabic,42,621,1172
2016-06-07,BBCArabic,46,804,1407
2016-06-08,BBCArabic,43,575,1242
2016-06-09,BBCArabic,44,448,1179
2016-06-10,BBCArabic,36,437,1041
2016-06-11,BBCArabic,39,386,1197
2016-06-12,BBCArabic,35,1121,1524
2016-06-13,BBCArabic,46,617,1323
2016-06-14,BBCArabic,44,656,1382
2016-06-15,BBCArabic,51,588,1371
2016-06-16,BBCArabic,56,552,1395
2016-06-17,BBCArabic,42,528,1157
2016-06-18,BBCArabic,36,443,1234
2016-06-19,BBCArabic,31,368,932
2016-06-20,BBCArabic,40,868,1252
2016-06-21,BBCArabic,47,824,1542
2016-06-22,BBCArabic,59,716,1603
2016-06-23,BBCArabic,56,651,1869
2016-06-24,BBCArabic,58,1608,2740
2016-06-25,BBCArabic,30,495,1177
2016-06-26,BBCArabic,33,566,1190
2016-06-27,BBCArabic,47,624,1450
2016-06-28,BBCArabic,54,913,1772
2016-06-29,BBCArabic,51,646,1725
2016-06-30,BBCArabic,47,702,1573
2016-07-01,BBCArabic,42,662,1527
2016-07-02,BBCArabic,23,278,749
2016-07-03,BBCArabic,30,862,1867
2016-07-04,BBCArabic,50,1391,2601
2016-07-05,BBCArabic,27,721,1300
2016-07-06,BBCArabic,48,1694,2642
2016-07-07,BBCArabic,19,474,857
2016-07-08,BBCArabic,17,370,833
2016-07-09,BBCArabic,25,344,1057
2016-07-10,BBCArabic,36,534,1448
2016-07-11,BBCArabic,18,407,1166
2016-07-12,BBCArabic,21,738,1116
2016-07-13,BBCArabic,13,325,744
2016-07-14,BBCArabic,18,338,809
2016-07-15,BBCArabic,30,725,1703
2016-07-16,BBCArabic,39,1505,3275
2016-07-17,BBCArabic,38,789,1911
2016-07-18,BBCArabic,29,455,1159
2016-07-19,BBCArabic,27,660,1385
2016-07-20,BBCArabic,15,146,479
2016-07-21,BBCArabic,17,622,1260
2016-07-22,BBCArabic,36,549,1545
2016-07-23,BBCArabic,23,346,883
2016-07-24,BBCArabic,36,581,1511
2016-07-25,BBCArabic,31,494,1229
2016-07-26,BBCArabic,27,545,1465
2016-07-27,BBCArabic,21,329,936
2016-07-28,BBCArabic,29,517,1480
2016-07-29,BBCArabic,46,554,1657
2016-07-30,BBCArabic,38,449,1287
2016-07-31,BBCArabic,19,558,946
2016-08-01,BBCArabic,32,468,1484
2016-08-02,BBCArabic,29,539,1374
2016-08-03,BBCArabic,39,542,1660
2016-08-04,BBCArabic,46,704,1623
2016-08-05,BBCArabic,37,505,1417
2016-08-06,BBCArabic,28,554,1314
2016-08-07,BBCArabic,23,270,863
2016-08-08,BBCArabic,30,376,1424
2016-08-09,BBCArabic,36,450,1427
2016-08-10,BBCArabic,47,701,1782
2016-08-11,BBCArabic,41,523,1369
2016-08-12,BBCArabic,29,371,1139
2016-08-13,BBCArabic,25,603,1341
2016-08-14,BBCArabic,29,511,1182
2016-08-15,BBCArabic,40,598,1272
2016-08-16,BBCArabic,40,548,1379
2016-08-17,BBCArabic,43,471,1432
