"Date","Price","Open","High","Low","Change %"
"Dec 31, 2019","2.3658","2.3698","2.3701","2.3611","-0.11%"
"Dec 30, 2019","2.3683","2.3733","2.3737","2.3636","-0.20%"
"Dec 27, 2019","2.3731","2.3914","2.3916","2.3716","-0.69%"
"Dec 26, 2019","2.3897","2.3914","2.3933","2.3874","-0.07%"
"Dec 25, 2019","2.3914","2.3907","2.3954","2.3874","-0.03%"
"Dec 24, 2019","2.3921","2.3920","2.3974","2.3916","-0.00%"
"Dec 23, 2019","2.3922","2.3947","2.3976","2.3918","-0.08%"
"Dec 20, 2019","2.3940","2.3844","2.3967","2.3836","0.39%"
"Dec 19, 2019","2.3848","2.3867","2.3883","2.3804","-0.08%"
"Dec 18, 2019","2.3867","2.3787","2.3879","2.3776","0.34%"
"Dec 17, 2019","2.3786","2.3803","2.3834","2.3735","-0.06%"
"Dec 16, 2019","2.3800","2.3851","2.3851","2.3768","-0.21%"
"Dec 13, 2019","2.3849","2.3834","2.3870","2.3676","0.08%"
"Dec 12, 2019","2.3830","2.3832","2.3885","2.3779","-0.00%"
"Dec 11, 2019","2.3831","2.3906","2.3961","2.3799","-0.31%"
"Dec 10, 2019","2.3906","2.3975","2.3981","2.3891","-0.27%"
"Dec 09, 2019","2.3971","2.3996","2.4000","2.3941","-0.05%"
"Dec 06, 2019","2.3982","2.3890","2.4026","2.3871","0.41%"
"Dec 05, 2019","2.3883","2.3939","2.3944","2.3870","-0.25%"
"Dec 04, 2019","2.3943","2.3936","2.3969","2.3857","0.04%"
"Dec 03, 2019","2.3933","2.3938","2.3973","2.3906","-0.03%"
"Dec 02, 2019","2.3940","2.4071","2.4109","2.3919","-0.56%"
"Nov 29, 2019","2.4074","2.4095","2.4154","2.4051","-0.08%"
"Nov 28, 2019","2.4093","2.4120","2.4120","2.4072","-0.09%"
"Nov 27, 2019","2.4115","2.4064","2.4130","2.4051","0.20%"
"Nov 26, 2019","2.4068","2.4082","2.4104","2.4055","-0.05%"
"Nov 25, 2019","2.4081","2.4064","2.4103","2.4038","0.09%"
"Nov 22, 2019","2.4059","2.3981","2.4080","2.3927","0.31%"
"Nov 21, 2019","2.3984","2.3948","2.3998","2.3902","0.13%"
"Nov 20, 2019","2.3952","2.3943","2.3996","2.3930","0.05%"
"Nov 19, 2019","2.3939","2.3954","2.3981","2.3916","-0.06%"
"Nov 18, 2019","2.3954","2.4000","2.4009","2.3918","-0.18%"
"Nov 15, 2019","2.3998","2.4061","2.4082","2.3986","-0.27%"
"Nov 14, 2019","2.4063","2.4096","2.4139","2.4054","-0.14%"
"Nov 13, 2019","2.4097","2.4097","2.4123","2.4070","0.02%"
"Nov 12, 2019","2.4093","2.4043","2.4110","2.4028","0.21%"
"Nov 11, 2019","2.4042","2.4062","2.4074","2.4017","-0.11%"
"Nov 08, 2019","2.4068","2.4005","2.4080","2.3992","0.26%"
