"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","1,610.18","1,608.82","1,612.57","1,608.46","8.49M","0.12%"
"Dec 30, 2019","1,608.29","1,607.01","1,608.29","1,606.16","5.70M","0.08%"
"Dec 29, 2019","1,607.01","1,604.00","1,607.44","1,604.00","2.64M","0.19%"
"Dec 26, 2019","1,604.00","1,603.00","1,605.16","1,600.91","3.41M","0.06%"
"Dec 25, 2019","1,603.00","1,600.17","1,606.42","1,599.85","4.34M","0.18%"
"Dec 24, 2019","1,600.17","1,600.70","1,601.05","1,598.83","1.81M","0.07%"
"Dec 23, 2019","1,599.12","1,593.27","1,605.03","1,593.27","3.07M","0.37%"
"Dec 22, 2019","1,593.27","1,584.06","1,597.17","1,584.06","4.30M","0.58%"
"Dec 19, 2019","1,584.06","1,583.67","1,587.35","1,583.67","2.45M","0.02%"
"Dec 18, 2019","1,583.74","1,583.65","1,584.09","1,579.01","5.16M","0.01%"
"Dec 15, 2019","1,583.65","1,573.19","1,588.69","1,573.19","3.80M","1.04%"
"Dec 12, 2019","1,567.41","1,555.16","1,567.41","1,555.16","2.13M","0.79%"
"Dec 11, 2019","1,555.16","1,552.40","1,555.59","1,552.40","5.47M","0.35%"
"Dec 10, 2019","1,549.77","1,549.43","1,552.59","1,549.21","6.43M","0.02%"
"Dec 08, 2019","1,549.43","1,547.31","1,550.55","1,547.31","6.32M","0.14%"
"Dec 05, 2019","1,547.31","1,544.12","1,547.31","1,544.12","6.47M","0.21%"
"Dec 04, 2019","1,544.12","1,540.53","1,544.42","1,540.53","5.73M","0.23%"
"Dec 03, 2019","1,540.53","1,538.37","1,540.61","1,538.37","3.38M","0.17%"
"Dec 02, 2019","1,537.85","1,536.95","1,538.20","1,535.77","2.52M","0.33%"
"Dec 01, 2019","1,532.74","1,527.47","1,535.08","1,527.47","5.20M","0.38%"
"Nov 28, 2019","1,526.95","1,519.07","1,527.08","1,519.07","5.49M","0.52%"
"Nov 27, 2019","1,518.99","1,520.32","1,521.17","1,518.99","3.52M","-0.09%"
"Nov 26, 2019","1,520.32","1,520.76","1,521.81","1,520.05","2.24M","-0.03%"
"Nov 25, 2019","1,520.76","1,505.90","1,520.76","1,505.90","8.96M","1.01%"
"Nov 24, 2019","1,505.55","1,505.65","1,508.95","1,504.91","4.39M","-0.01%"
"Nov 21, 2019","1,505.65","1,509.39","1,509.39","1,505.52","6.66M","-0.25%"
"Nov 20, 2019","1,509.39","1,506.77","1,509.61","1,506.77","2.56M","0.17%"
"Nov 19, 2019","1,506.77","1,501.22","1,506.77","1,501.16","6.78M","0.34%"
"Nov 18, 2019","1,501.66","1,499.08","1,501.66","1,497.84","3.10M","0.17%"
"Nov 17, 2019","1,499.08","1,505.11","1,505.46","1,498.90","5.59M","-0.39%"
"Nov 14, 2019","1,504.97","1,510.29","1,510.29","1,504.22","4.34M","-0.35%"
"Nov 13, 2019","1,510.29","1,510.24","1,510.77","1,508.14","695.27K","0.00%"
"Nov 12, 2019","1,510.24","1,515.91","1,515.91","1,510.15","2.26M","-0.37%"
"Nov 11, 2019","1,515.91","1,518.33","1,518.33","1,515.91","1.87M","-0.16%"
