Date,Handle,Total Posts,Favorites,Retweets
1/1/2016,BahrainRights,1,8,2
1/4/2016,BahrainRights,2,108,20
1/5/2016,BahrainRights,1,23,5
1/7/2016,BahrainRights,1,13,7
1/8/2016,BahrainRights,3,58,18
1/9/2016,BahrainRights,1,52,15
1/11/2016,BahrainRights,1,24,6
1/12/2016,BahrainRights,8,131,30
1/15/2016,BahrainRights,1,7,3
1/18/2016,BahrainRights,1,17,5
1/20/2016,BahrainRights,1,19,2
1/25/2016,BahrainRights,2,75,28
1/28/2016,BahrainRights,3,81,20
2/1/2016,BahrainRights,3,61,5
2/3/2016,BahrainRights,2,50,10
2/4/2016,BahrainRights,10,70,22
2/5/2016,BahrainRights,6,18,3
2/7/2016,BahrainRights,1,16,1
2/8/2016,BahrainRights,18,270,67
2/9/2016,BahrainRights,16,329,81
2/10/2016,BahrainRights,6,111,20
2/11/2016,BahrainRights,8,184,32
2/12/2016,BahrainRights,27,591,136
2/13/2016,BahrainRights,3,77,20
2/14/2016,BahrainRights,9,116,27
2/15/2016,BahrainRights,7,91,23
2/16/2016,BahrainRights,9,61,12
2/18/2016,BahrainRights,2,29,3
2/19/2016,BahrainRights,2,17,3
2/21/2016,BahrainRights,1,25,11
2/22/2016,BahrainRights,9,113,34
2/23/2016,BahrainRights,2,16,3
2/24/2016,BahrainRights,5,65,9
2/25/2016,BahrainRights,10,257,60
2/26/2016,BahrainRights,3,54,8
2/28/2016,BahrainRights,1,27,7
2/29/2016,BahrainRights,15,356,73
4/1/2016,BahrainRights,6,131,36
4/2/2016,BahrainRights,6,91,18
4/3/2016,BahrainRights,14,386,97
4/4/2016,BahrainRights,7,156,25
4/5/2016,BahrainRights,6,383,114
4/6/2016,BahrainRights,2,62,13
4/7/2016,BahrainRights,4,62,18
4/8/2016,BahrainRights,3,86,25
4/9/2016,BahrainRights,4,89,28
4/10/2016,BahrainRights,8,189,24
4/11/2016,BahrainRights,17,185,34
4/12/2016,BahrainRights,3,59,9
4/13/2016,BahrainRights,5,94,22
4/14/2016,BahrainRights,3,20,0
4/15/2016,BahrainRights,7,77,11
4/16/2016,BahrainRights,1,10,1
4/17/2016,BahrainRights,14,319,94
4/18/2016,BahrainRights,7,144,27
4/20/2016,BahrainRights,4,60,14
4/21/2016,BahrainRights,3,121,37
