"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","2.815","2.835","2.835","2.814","2.30K","-1.21%"
"Dec 30, 2019","2.849","2.839","2.849","2.835","2.14K","0.19%"
"Dec 27, 2019","2.843","2.862","2.862","2.829","1.81K","-0.68%"
"Dec 26, 2019","2.863","2.849","2.869","2.849","1.14K","0.88%"
"Dec 25, 2019","2.838","2.825","2.842","2.825","-","-0.09%"
"Dec 24, 2019","2.841","2.820","2.845","2.820","2.03K","0.66%"
"Dec 23, 2019","2.822","2.814","2.822","2.813","2.05K","0.07%"
"Dec 20, 2019","2.820","2.836","2.839","2.813","2.36K","-0.69%"
"Dec 19, 2019","2.839","2.818","2.841","2.815","1.99K","0.46%"
"Dec 18, 2019","2.826","2.820","2.828","2.803","2.63K","-0.12%"
"Dec 17, 2019","2.830","2.819","2.831","2.819","4.83K","0.12%"
"Dec 16, 2019","2.826","2.803","2.831","2.803","4.94K","1.00%"
"Dec 13, 2019","2.799","2.828","2.839","2.787","4.72K","-0.59%"
"Dec 12, 2019","2.815","2.810","2.829","2.783","7.66K","0.30%"
"Dec 11, 2019","2.806","2.783","2.813","2.781","7.21K","0.79%"
"Dec 10, 2019","2.784","2.778","2.786","2.772","7.31K","0.31%"
"Dec 09, 2019","2.776","2.747","2.778","2.743","6.99K","1.24%"
"Dec 06, 2019","2.742","2.687","2.766","2.685","5.03K","2.29%"
"Dec 05, 2019","2.681","2.675","2.690","2.675","3.03K","0.21%"
"Dec 04, 2019","2.675","2.645","2.681","2.639","3.82K","1.31%"
"Dec 03, 2019","2.641","2.667","2.667","2.639","3.19K","-1.07%"
"Dec 02, 2019","2.669","2.690","2.690","2.665","2.84K","-0.39%"
"Nov 29, 2019","2.680","2.691","2.696","2.672","2.00K","0.36%"
"Nov 28, 2019","2.670","2.694","2.695","2.667","-","-1.57%"
"Nov 27, 2019","2.713","2.703","2.724","2.703","2.38K","0.00%"
"Nov 26, 2019","2.713","2.675","2.713","2.670","4.72K","1.38%"
"Nov 25, 2019","2.675","2.671","2.693","2.669","1.71K","0.13%"
"Nov 22, 2019","2.672","2.657","2.674","2.645","1.82K","0.79%"
"Nov 21, 2019","2.651","2.668","2.668","2.651","1.70K","-0.92%"
"Nov 20, 2019","2.675","2.675","2.688","2.670","2.52K","-0.26%"
"Nov 19, 2019","2.682","2.651","2.688","2.648","3.18K","1.34%"
"Nov 18, 2019","2.647","2.666","2.666","2.643","3.45K","-0.66%"
"Nov 15, 2019","2.664","2.654","2.670","2.652","1.78K","0.57%"
"Nov 14, 2019","2.649","2.671","2.676","2.647","2.91K","-0.60%"
"Nov 13, 2019","2.665","2.674","2.674","2.660","1.92K","-0.21%"
"Nov 12, 2019","2.671","2.693","2.698","2.670","1.51K","-0.60%"
"Nov 11, 2019","2.687","2.696","2.696","2.678","2.89K","-0.61%"
"Nov 08, 2019","2.704","2.723","2.732","2.698","3.60K","-1.55%"
"Nov 07, 2019","2.746","2.701","2.747","2.701","4.40K","2.31%"
"Nov 06, 2019","2.684","2.711","2.715","2.680","2.19K","-1.23%"
"Nov 05, 2019","2.717","2.701","2.730","2.701","1.15K","1.04%"
"Nov 04, 2019","2.690","2.678","2.694","2.676","2.66K","0.75%"
"Nov 01, 2019","2.670","2.668","2.681","2.657","1.43K","0.47%"
"Oct 31, 2019","2.657","2.691","2.691","2.651","2.00K","-1.70%"
"Oct 30, 2019","2.703","2.704","2.710","2.691","0.38K","-0.24%"
"Oct 29, 2019","2.710","2.695","2.708","2.695","0.38K","0.28%"
"Oct 28, 2019","2.702","2.700","2.707","2.700","0.20K","0.32%"
"Oct 25, 2019","2.694","2.687","2.701","2.686","0.30K","0.28%"
"Oct 24, 2019","2.686","2.689","2.697","2.681","0.25K","-0.09%"
"Oct 23, 2019","2.688","2.657","2.685","2.645","0.75K","1.26%"
"Oct 22, 2019","2.655","2.664","2.665","2.655","1.06K","-0.36%"
"Oct 21, 2019","2.664","2.655","2.668","2.655","0.48K","0.40%"
"Oct 18, 2019","2.654","2.631","2.655","2.631","0.49K","1.39%"
"Oct 17, 2019","2.618","2.629","2.633","2.613","0.74K","0.23%"
"Oct 16, 2019","2.612","2.606","2.615","2.596","0.59K","-0.85%"
"Oct 15, 2019","2.634","2.658","2.658","2.628","0.45K","-0.72%"
"Oct 14, 2019","2.653","2.632","2.642","2.632","0.56K","0.23%"
"Oct 11, 2019","2.647","2.644","2.648","2.628","1.74K","0.61%"
"Oct 10, 2019","2.631","2.612","2.632","2.604","0.59K","1.66%"
"Oct 09, 2019","2.588","2.591","2.597","2.586","3.22K","-0.10%"
"Oct 08, 2019","2.591","2.618","2.618","2.583","1.60K","-0.27%"
"Oct 07, 2019","2.598","2.601","2.606","2.595","1.87K","0.60%"
"Oct 04, 2019","2.582","2.568","2.568","2.556","0.45K","0.29%"
"Oct 03, 2019","2.575","2.568","2.568","2.568","0.58K","-0.68%"
"Oct 02, 2019","2.592","2.589","2.594","2.571","0.97K","0.27%"
"Oct 01, 2019","2.585","2.595","2.595","2.545","0.99K","-0.73%"
"Sep 30, 2019","2.604","2.638","2.638","2.601","0.70K","-0.69%"
"Sep 27, 2019","2.622","2.618","2.636","2.616","0.30K","0.77%"
"Sep 26, 2019","2.602","2.601","2.601","2.601","0.45K","-1.21%"
"Sep 25, 2019","2.634","2.615","2.635","2.611","0.45K","0.21%"
"Sep 24, 2019","2.628","2.630","2.630","2.628","0.22K","-0.23%"
"Sep 23, 2019","2.635","2.600","2.634","2.600","0.24K","0.17%"
"Sep 20, 2019","2.630","2.636","2.641","2.615","0.38K","-0.15%"
"Sep 19, 2019","2.634","2.642","2.642","2.633","0.37K","-0.13%"
"Sep 18, 2019","2.638","2.641","2.642","2.633","0.30K","-0.57%"
"Sep 17, 2019","2.652","2.640","2.652","2.640","0.39K","-0.60%"
"Sep 16, 2019","2.668","2.685","2.685","2.668","0.57K","-2.00%"
"Sep 13, 2019","2.723","2.701","2.724","2.701","0.80K","2.20%"
"Sep 12, 2019","2.664","2.655","2.678","2.625","0.71K","0.95%"
"Sep 11, 2019","2.639","2.632","2.647","2.612","0.61K","-0.40%"
"Sep 10, 2019","2.650","2.660","2.660","2.630","0.21K","0.04%"
"Sep 09, 2019","2.649","2.641","2.649","2.641","0.16K","-0.30%"
"Sep 06, 2019","2.657","2.659","2.659","2.654","0.58K","-0.30%"
"Sep 05, 2019","2.665","2.645","2.665","2.645","0.22K","1.85%"
"Sep 04, 2019","2.616","2.577","2.617","2.577","0.39K","2.57%"
"Sep 03, 2019","2.551","2.570","2.570","2.515","0.62K","0.75%"
"Sep 02, 2019","2.532","2.552","2.567","2.528","-","-0.78%"
"Sep 01, 2019","2.552","2.557","2.557","2.547","-","-0.91%"
"Aug 30, 2019","2.576","2.596","2.596","2.575","0.39K","-0.90%"
"Aug 29, 2019","2.599","2.586","2.612","2.586","0.67K","0.44%"
"Aug 28, 2019","2.588","2.582","2.589","2.576","0.25K","0.43%"
"Aug 27, 2019","2.576","2.568","2.590","2.568","0.49K","0.06%"
"Aug 26, 2019","2.575","2.573","2.574","2.566","0.13K","0.47%"
"Aug 23, 2019","2.563","2.578","2.593","2.563","0.16K","-1.16%"
"Aug 22, 2019","2.593","2.611","2.611","2.586","0.19K","-0.90%"
"Aug 21, 2019","2.616","2.609","2.619","2.609","0.60K","0.27%"
"Aug 20, 2019","2.609","2.612","2.620","2.605","0.55K","-0.89%"
"Aug 19, 2019","2.633","2.654","2.654","2.632","0.17K","0.19%"
"Aug 16, 2019","2.628","2.621","2.625","2.621","0.34K","-0.06%"
"Aug 15, 2019","2.629","2.626","2.632","2.626","1.97K","0.15%"
"Aug 14, 2019","2.625","2.627","2.633","2.627","0.14K","-1.43%"
"Aug 13, 2019","2.664","2.638","2.669","2.610","0.32K","1.66%"
"Aug 12, 2019","2.620","2.622","2.622","2.616","0.09K","-0.15%"
"Aug 09, 2019","2.624","2.637","2.637","2.620","0.23K","-0.68%"
"Aug 08, 2019","2.642","2.632","2.641","2.632","0.20K","1.25%"
"Aug 07, 2019","2.609","2.585","2.608","2.585","0.11K","0.48%"
"Aug 06, 2019","2.597","2.586","2.605","2.581","0.29K","0.46%"
"Aug 05, 2019","2.585","2.600","2.600","2.583","0.13K","-1.03%"
"Aug 02, 2019","2.612","2.615","2.615","2.604","0.18K","-3.38%"
"Aug 01, 2019","2.704","2.684","2.696","2.684","0.08K","0.00%"
"Jul 31, 2019","2.704","2.708","2.710","2.701","0.21K","-0.39%"
"Jul 30, 2019","2.714","2.727","2.727","2.714","0.23K","-1.31%"
"Jul 29, 2019","2.750","2.744","2.753","2.744","0.09K","1.05%"
"Jul 26, 2019","2.722","2.743","2.743","2.728","0.09K","-0.60%"
"Jul 25, 2019","2.739","2.759","2.759","2.759","0.07K","-0.22%"
"Jul 24, 2019","2.744","2.717","2.736","2.717","0.04K","0.49%"
"Jul 23, 2019","2.731","2.756","2.756","2.733","0.06K","-0.91%"
"Jul 22, 2019","2.756","2.767","2.767","2.754","0.28K","-0.88%"
"Jul 19, 2019","2.780","2.768","2.780","2.768","0.34K","1.63%"
"Jul 18, 2019","2.736","2.735","2.742","2.735","0.19K","-0.22%"
"Jul 17, 2019","2.742","2.717","2.727","2.717","0.12K","0.51%"
"Jul 16, 2019","2.728","2.728","2.728","2.728","0.09K","-0.38%"
"Jul 15, 2019","2.739","2.723","2.723","2.723","0.18K","0.48%"
"Jul 12, 2019","2.726","2.708","2.708","2.708","0.11K","0.24%"
"Jul 11, 2019","2.719","2.720","2.720","2.720","0.31K","-0.11%"
"Jul 10, 2019","2.722","2.704","2.720","2.701","0.12K","2.45%"
"Jul 09, 2019","2.657","2.651","2.652","2.648","0.14K","-1.26%"
"Jul 08, 2019","2.691","2.678","2.697","2.670","0.57K","0.00%"
"Jul 05, 2019","2.691","2.691","2.693","2.659","0.18K","0.43%"
"Jul 04, 2019","2.680","2.685","2.687","2.670","-","-1.07%"
"Jul 03, 2019","2.709","2.667","2.707","2.667","0.12K","0.46%"
"Jul 02, 2019","2.697","2.698","2.698","2.698","0.47K","-0.77%"
"Jul 01, 2019","2.717","2.769","2.769","2.717","0.33K","-0.89%"
"Jun 28, 2019","2.742","2.749","2.753","2.749","0.22K","0.00%"
"Jun 27, 2019","2.742","2.746","2.746","2.734","0.11K","0.02%"
"Jun 26, 2019","2.741","2.743","2.743","2.743","0.44K","-0.58%"
"Jun 25, 2019","2.757","2.734","2.747","2.730","0.17K","1.21%"
"Jun 24, 2019","2.724","2.717","2.717","2.717","0.06K","0.09%"
"Jun 21, 2019","2.722","2.730","2.730","2.721","0.06K","-0.06%"
"Jun 20, 2019","2.724","2.734","2.734","2.734","0.06K","1.21%"
"Jun 19, 2019","2.691","2.697","2.700","2.697","0.09K","-0.66%"
"Jun 18, 2019","2.709","2.660","2.712","2.660","0.09K","1.96%"
"Jun 17, 2019","2.657","2.668","2.668","2.668","0.11K","0.30%"
"Jun 14, 2019","2.649","2.655","2.655","2.655","0.06K","-1.08%"
"Jun 13, 2019","2.678","2.656","2.667","2.642","0.03K","0.00%"
"Jun 12, 2019","2.678","2.670","2.673","2.651","0.04K","-0.65%"
"Jun 11, 2019","2.695","2.697","2.697","2.697","0.03K","0.50%"
"Jun 10, 2019","2.682","2.651","2.673","2.641","0.05K","1.21%"
"Jun 07, 2019","2.650","2.670","2.670","2.614","0.08K","-0.92%"
"Jun 06, 2019","2.674","2.658","2.658","2.638","0.05K","0.96%"
"Jun 05, 2019","2.649","2.698","2.698","2.696","0.03K","-1.69%"
"Jun 04, 2019","2.694","2.676","2.691","2.676","0.04K","0.71%"
"Jun 03, 2019","2.675","2.639","2.667","2.638","0.04K","0.49%"
"May 31, 2019","2.662","2.648","2.657","2.638","0.11K","-0.91%"
"May 30, 2019","2.687","2.673","2.675","2.660","0.05K","-0.48%"
"May 29, 2019","2.700","2.700","2.704","2.700","0.06K","-1.04%"
"May 28, 2019","2.728","2.731","2.731","2.729","0.11K","0.57%"
"May 27, 2019","2.713","2.700","2.717","2.696","-","0.44%"
"May 26, 2019","2.701","2.699","2.703","2.695","-","-1.17%"
