"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","242.13","241.24","243.93","241.13","17.36M","0.14%"
"Dec 30, 2019","241.78","243.51","243.83","241.56","16.87M","-0.88%"
"Dec 27, 2019","243.93","245.13","245.29","243.34","19.08M","-0.25%"
"Dec 26, 2019","244.55","245.34","245.89","242.29","20.79M","-0.03%"
"Dec 24, 2019","244.62","245.22","246.85","244.25","11.05M","-0.05%"
"Dec 23, 2019","244.75","244.66","245.56","243.84","20.46M","-0.08%"
"Dec 20, 2019","244.95","245.96","247.13","243.29","58.40M","-0.09%"
"Dec 19, 2019","245.17","247.53","247.99","244.90","19.59M","-0.83%"
"Dec 18, 2019","247.23","247.36","247.73","244.74","17.74M","-0.11%"
"Dec 17, 2019","247.49","243.26","247.97","243.21","21.20M","1.80%"
"Dec 16, 2019","243.11","248.37","248.80","242.86","29.13M","-1.55%"
"Dec 13, 2019","246.95","251.56","252.77","246.35","21.13M","-2.18%"
"Dec 12, 2019","252.46","250.45","254.65","246.95","23.76M","0.40%"
"Dec 11, 2019","251.46","251.38","253.56","250.86","19.68M","0.18%"
"Dec 10, 2019","251.00","250.30","253.11","250.05","17.33M","-0.16%"
"Dec 09, 2019","251.41","252.34","254.48","251.41","18.48M","0.28%"
"Dec 06, 2019","250.71","248.38","252.08","248.17","22.51M","2.11%"
"Dec 05, 2019","245.54","243.82","245.63","242.03","14.76M","0.93%"
"Dec 04, 2019","243.28","243.35","246.28","243.15","19.50M","0.59%"
"Dec 03, 2019","241.85","243.30","243.30","238.51","21.29M","-1.68%"
"Dec 02, 2019","245.98","245.00","247.76","244.55","18.93M","0.87%"
"Nov 29, 2019","243.86","245.39","245.78","243.16","28.29M","-0.96%"
"Nov 27, 2019","246.23","245.05","246.47","243.42","12.61M","0.70%"
"Nov 26, 2019","244.53","243.50","245.37","242.16","16.11M","0.68%"
"Nov 25, 2019","242.89","240.24","244.43","238.83","18.79M","1.58%"
"Nov 22, 2019","239.12","237.55","240.30","237.55","17.84M","1.50%"
"Nov 21, 2019","235.58","236.10","237.27","233.89","13.42M","0.00%"
"Nov 20, 2019","235.58","234.78","239.36","234.08","19.40M","-0.36%"
"Nov 19, 2019","236.42","241.18","241.19","236.07","14.56M","-1.17%"
"Nov 18, 2019","239.23","235.85","239.26","234.26","15.28M","1.11%"
"Nov 15, 2019","236.60","236.02","238.19","235.69","14.43M","0.98%"
"Nov 14, 2019","234.31","234.56","236.84","233.98","18.79M","-0.63%"
"Nov 13, 2019","235.79","238.12","239.10","235.77","15.84M","-1.52%"
"Nov 12, 2019","239.43","240.43","242.59","238.79","18.76M","-0.37%"
"Nov 11, 2019","240.33","238.08","240.69","236.06","17.70M","-0.02%"
"Nov 08, 2019","240.38","238.16","240.68","236.80","15.35M","0.20%"
"Nov 07, 2019","239.91","239.80","241.44","238.80","23.63M","1.23%"
"Nov 06, 2019","237.00","238.13","238.29","236.06","17.93M","-0.73%"
"Nov 05, 2019","238.74","241.52","242.32","238.42","21.05M","-0.40%"
"Nov 04, 2019","239.69","240.02","240.97","237.13","24.55M","0.97%"
"Nov 01, 2019","237.39","232.99","239.96","232.99","57.56M","3.54%"
"Oct 31, 2019","229.28","228.48","230.92","226.80","23.99M","-0.64%"
"Oct 30, 2019","230.76","231.22","231.67","228.82","17.81M","-1.19%"
"Oct 29, 2019","233.55","232.05","235.53","231.99","17.70M","0.14%"
"Oct 28, 2019","233.22","229.86","234.43","229.86","24.94M","2.01%"
"Oct 25, 2019","228.63","224.71","230.18","224.51","26.91M","2.02%"
"Oct 24, 2019","224.10","223.42","224.72","220.17","23.12M","1.98%"
"Oct 23, 2019","219.75","220.57","220.78","217.51","28.17M","-0.27%"
"Oct 22, 2019","220.35","215.83","220.83","213.85","30.31M","2.25%"
"Oct 21, 2019","215.51","220.06","221.57","215.43","22.98M","-0.26%"
"Oct 18, 2019","216.08","216.98","218.78","215.82","20.18M","-0.25%"
"Oct 17, 2019","216.62","217.93","219.16","213.94","39.87M","0.25%"
"Oct 16, 2019","216.09","219.22","222.26","214.76","46.41M","-2.42%"
"Oct 15, 2019","221.45","217.28","224.19","216.18","24.77M","1.60%"
"Oct 14, 2019","217.97","218.78","219.71","217.10","19.93M","-1.88%"
"Oct 11, 2019","222.15","216.25","223.77","216.20","42.09M","4.48%"
"Oct 10, 2019","212.62","209.15","213.17","208.62","33.14M","2.73%"
"Oct 09, 2019","206.96","208.57","209.04","204.54","39.82M","-0.03%"
"Oct 08, 2019","207.02","208.34","209.44","206.82","16.47M","-1.71%"
"Oct 07, 2019","210.62","212.16","214.38","210.04","16.80M","-0.92%"
"Oct 04, 2019","212.58","210.67","212.70","209.73","15.90M","1.11%"
