"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","145.32","145.25","145.97","145.00","2.22K","-0.08%"
"Dec 30, 2019","145.43","145.50","145.90","145.03","3.40K","-0.08%"
"Dec 27, 2019","145.55","145.55","145.82","145.00","4.16K","0.07%"
"Dec 26, 2019","145.45","143.57","145.70","143.35","3.80K","1.51%"
"Dec 25, 2019","143.28","143.28","143.28","143.28","-","-0.20%"
"Dec 24, 2019","143.57","143.53","143.90","143.12","2.08K","0.03%"
"Dec 23, 2019","143.53","143.30","143.93","143.25","3.14K","-0.52%"
"Dec 20, 2019","144.28","144.78","144.88","143.85","2.85K","-0.30%"
"Dec 19, 2019","144.72","144.47","145.45","144.30","3.74K","0.12%"
"Dec 18, 2019","144.55","144.97","145.50","144.43","4.16K","-0.41%"
"Dec 17, 2019","145.15","145.65","146.40","144.97","4.63K","-0.07%"
"Dec 16, 2019","145.25","146.00","146.55","144.90","4.95K","-0.30%"
"Dec 13, 2019","145.68","142.80","146.65","142.53","12.23K","2.20%"
"Dec 12, 2019","142.55","142.78","143.03","141.78","7.45K","-0.16%"
"Dec 11, 2019","142.78","142.05","142.97","141.53","5.01K","0.80%"
"Dec 10, 2019","141.65","141.43","142.50","140.93","5.99K","0.08%"
"Dec 09, 2019","141.53","141.00","142.15","140.47","7.36K","-0.01%"
"Dec 06, 2019","141.55","141.00","141.95","140.12","7.88K","0.71%"
"Dec 05, 2019","140.55","140.60","141.57","139.90","5.81K","-0.23%"
"Dec 04, 2019","140.88","142.38","142.90","140.35","6.33K","-1.05%"
"Dec 03, 2019","142.38","141.80","143.28","141.28","5.96K","0.16%"
"Dec 02, 2019","142.15","142.10","142.60","140.35","5.52K","-0.09%"
"Nov 29, 2019","142.28","143.47","143.70","141.82","4.01K","-0.73%"
"Nov 27, 2019","143.32","141.80","143.65","141.80","4.64K","1.20%"
"Nov 26, 2019","141.62","142.10","142.40","140.75","3.77K","-0.25%"
