"Date","Price","Open","High","Low","Change %"
"Dec 31, 2019","0.5002","0.4948","0.5012","0.4942","1.15%"
"Dec 30, 2019","0.4945","0.4926","0.4959","0.4924","0.28%"
"Dec 27, 2019","0.4931","0.4902","0.4949","0.4892","0.65%"
"Dec 26, 2019","0.4899","0.4886","0.4908","0.4881","0.27%"
"Dec 25, 2019","0.4886","0.4879","0.4896","0.4870","0.10%"
"Dec 24, 2019","0.4881","0.4877","0.4894","0.4871","0.08%"
"Dec 23, 2019","0.4877","0.4901","0.4917","0.4868","-0.53%"
"Dec 20, 2019","0.4903","0.4904","0.4933","0.4894","-0.02%"
"Dec 19, 2019","0.4904","0.4930","0.4951","0.4898","-0.53%"
"Dec 18, 2019","0.4930","0.4950","0.4953","0.4924","-0.40%"
"Dec 17, 2019","0.4950","0.5027","0.5030","0.4939","-1.51%"
"Dec 16, 2019","0.5026","0.5028","0.5061","0.5022","0.02%"
"Dec 13, 2019","0.5025","0.4965","0.5096","0.4961","1.23%"
"Dec 12, 2019","0.4964","0.4978","0.4989","0.4921","-0.22%"
"Dec 11, 2019","0.4975","0.4961","0.4982","0.4941","0.30%"
"Dec 10, 2019","0.4960","0.4960","0.4984","0.4951","0.08%"
"Dec 09, 2019","0.4956","0.4955","0.4970","0.4945","0.04%"
"Dec 06, 2019","0.4954","0.4961","0.4965","0.4940","-0.14%"
"Dec 05, 2019","0.4961","0.4941","0.4965","0.4939","0.43%"
"Dec 04, 2019","0.4940","0.4898","0.4946","0.4894","0.84%"
"Dec 03, 2019","0.4899","0.4878","0.4906","0.4873","0.43%"
"Dec 02, 2019","0.4878","0.4868","0.4883","0.4862","0.04%"
"Nov 29, 2019","0.4876","0.4868","0.4883","0.4855","0.14%"
"Nov 28, 2019","0.4869","0.4872","0.4884","0.4864","-0.06%"
"Nov 27, 2019","0.4872","0.4849","0.4873","0.4835","0.43%"
"Nov 26, 2019","0.4851","0.4864","0.4867","0.4840","-0.27%"
"Nov 25, 2019","0.4864","0.4845","0.4869","0.4840","0.54%"
"Nov 22, 2019","0.4838","0.4869","0.4874","0.4835","-0.64%"
"Nov 21, 2019","0.4869","0.4873","0.4890","0.4862","-0.08%"
"Nov 20, 2019","0.4873","0.4874","0.4877","0.4859","-0.02%"
"Nov 19, 2019","0.4874","0.4885","0.4891","0.4868","-0.20%"
"Nov 18, 2019","0.4884","0.4865","0.4896","0.4864","0.41%"
"Nov 15, 2019","0.4864","0.4858","0.4872","0.4852","0.14%"
"Nov 14, 2019","0.4857","0.4844","0.4859","0.4834","0.25%"
"Nov 13, 2019","0.4845","0.4845","0.4851","0.4834","0.04%"
"Nov 12, 2019","0.4843","0.4845","0.4853","0.4830","-0.08%"
"Nov 11, 2019","0.4847","0.4817","0.4863","0.4817","0.66%"
"Nov 08, 2019","0.4815","0.4830","0.4835","0.4814","-0.35%"
"Nov 07, 2019","0.4832","0.4845","0.4855","0.4824","-0.31%"
"Nov 06, 2019","0.4847","0.4859","0.4864","0.4843","-0.23%"
