Date,Handle,Total Posts,Favorites,Retweets
2016-01-01,GDNonline,14,0,3
2016-01-02,GDNonline,25,15,12
2016-01-03,GDNonline,23,14,5
2016-01-04,GDNonline,42,25,5
2016-01-05,GDNonline,26,7,2
2016-01-06,GDNonline,39,12,14
2016-01-07,GDNonline,31,12,5
2016-01-08,GDNonline,20,35,39
2016-01-09,GDNonline,25,12,7
2016-01-10,GDNonline,37,8,1
2016-01-11,GDNonline,40,19,3
2016-01-12,GDNonline,41,7,24
2016-01-13,GDNonline,34,8,6
2016-01-14,GDNonline,36,13,9
2016-01-15,GDNonline,23,5,3
2016-01-16,GDNonline,22,3,2
2016-01-17,GDNonline,42,23,7
2016-01-18,GDNonline,51,29,13
2016-01-19,GDNonline,38,25,11
2016-01-20,GDNonline,48,15,8
2016-01-21,GDNonline,45,33,12
2016-01-22,GDNonline,26,9,8
2016-01-23,GDNonline,39,9,11
2016-01-24,GDNonline,51,26,15
2016-01-25,GDNonline,53,13,8
2016-01-26,GDNonline,63,14,17
2016-01-27,GDNonline,48,12,7
2016-01-28,GDNonline,36,15,4
2016-01-29,GDNonline,34,12,16
2016-01-30,GDNonline,27,1,0
2016-01-31,GDNonline,50,17,22
2016-02-01,GDNonline,54,14,15
2016-02-02,GDNonline,41,29,8
2016-02-03,GDNonline,37,2,2
2016-02-04,GDNonline,33,8,3
2016-02-05,GDNonline,24,6,4
2016-02-06,GDNonline,11,3,1
2016-02-07,GDNonline,35,17,6
2016-02-08,GDNonline,42,10,5
2016-02-09,GDNonline,34,11,6
2016-02-10,GDNonline,32,15,7
2016-02-11,GDNonline,36,11,17
2016-02-12,GDNonline,35,9,30
2016-02-13,GDNonline,15,16,28
2016-02-14,GDNonline,33,6,21
2016-02-15,GDNonline,43,17,23
2016-02-16,GDNonline,42,16,15
2016-02-17,GDNonline,46,15,16
2016-02-18,GDNonline,41,9,16
2016-02-19,GDNonline,27,7,8
2016-02-20,GDNonline,11,2,8
2016-02-21,GDNonline,39,19,26
2016-02-22,GDNonline,39,18,26
2016-02-23,GDNonline,43,16,17
2016-02-24,GDNonline,44,20,39
2016-02-25,GDNonline,34,2,11
2016-02-26,GDNonline,37,16,13
2016-02-27,GDNonline,11,1,1
2016-02-28,GDNonline,32,20,21
2016-02-29,GDNonline,50,12,32
2016-04-01,GDNonline,21,11,13
2016-04-02,GDNonline,37,11,17
2016-04-03,GDNonline,67,19,36
2016-04-04,GDNonline,48,7,5
2016-04-05,GDNonline,45,15,8
2016-04-06,GDNonline,44,7,7
2016-04-07,GDNonline,54,15,11
2016-04-08,GDNonline,16,4,5
2016-04-09,GDNonline,13,1,2
2016-04-10,GDNonline,41,16,8
2016-04-11,GDNonline,42,14,9
2016-04-12,GDNonline,42,12,17
2016-04-13,GDNonline,34,4,8
2016-04-14,GDNonline,46,13,18
2016-04-15,GDNonline,25,2,7
