"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","1,535.10","1,529.60","1,539.70","1,529.60","1.33K","0.31%"
"Dec 30, 2019","1,530.30","1,527.00","1,530.70","1,525.40","1.96K","0.04%"
"Dec 27, 2019","1,529.70","1,526.50","1,530.30","1,523.80","1.09K","0.26%"
"Dec 26, 2019","1,525.70","1,514.60","1,528.30","1,513.90","0.71K","1.44%"
"Dec 25, 2019","1,504.05","1,504.40","1,504.40","1,502.15","-","-0.79%"
"Dec 24, 2019","1,516.00","1,499.50","1,516.20","1,499.50","2.13K","1.07%"
"Dec 23, 2019","1,499.90","1,492.50","1,500.40","1,492.50","1.07K","0.53%"
"Dec 20, 2019","1,492.00","1,494.60","1,495.60","1,491.00","0.22K","-0.23%"
"Dec 19, 2019","1,495.50","1,490.90","1,496.70","1,488.60","1.52K","0.38%"
"Dec 18, 2019","1,489.90","1,491.60","1,494.80","1,486.00","3.25K","-0.13%"
"Dec 17, 2019","1,491.90","1,491.60","1,495.80","1,490.00","1.38K","0.02%"
"Dec 16, 2019","1,491.60","1,491.40","1,494.70","1,488.70","3.09K","-0.05%"
"Dec 13, 2019","1,492.30","1,481.80","1,493.20","1,476.50","3.48K","0.62%"
"Dec 12, 2019","1,483.10","1,490.70","1,502.20","1,479.90","3.97K","-0.18%"
"Dec 11, 2019","1,485.80","1,478.50","1,493.00","1,478.20","13.73K","0.47%"
"Dec 10, 2019","1,478.80","1,475.60","1,483.50","1,475.50","4.94K","0.22%"
"Dec 09, 2019","1,475.60","1,476.00","1,480.20","1,474.20","4.77K","-0.01%"
"Dec 06, 2019","1,475.80","1,491.30","1,495.40","1,474.10","5.04K","-1.19%"
"Dec 05, 2019","1,493.60","1,492.20","1,495.90","1,488.40","2.35K","0.20%"
"Dec 04, 2019","1,490.60","1,494.00","1,500.20","1,487.30","2.70K","-0.28%"
"Dec 03, 2019","1,494.80","1,477.90","1,498.00","1,476.00","7.54K","1.04%"
"Dec 02, 2019","1,479.40","1,478.20","1,481.80","1,470.30","9.94K","-0.26%"
"Nov 29, 2019","1,483.20","1,473.40","1,483.30","1,469.60","2.65K","1.43%"
"Nov 28, 2019","1,462.25","1,463.25","1,464.55","1,460.75","-","-0.60%"
"Nov 27, 2019","1,471.10","1,477.50","1,477.60","1,469.50","3.62K","-0.45%"
"Nov 26, 2019","1,477.80","1,470.90","1,479.90","1,467.30","9.64K","0.21%"
"Nov 25, 2019","1,474.70","1,477.60","1,479.40","1,471.70","5.60K","-0.44%"
"Nov 22, 2019","1,481.20","1,482.20","1,490.40","1,479.10","11.90K","0.01%"
"Nov 21, 2019","1,481.10","1,492.00","1,492.90","1,480.00","3.14K","-0.70%"
"Nov 20, 2019","1,491.50","1,492.50","1,496.10","1,484.10","1.83K","-0.01%"
"Nov 19, 2019","1,491.70","1,491.70","1,492.70","1,482.90","2.41K","0.17%"
"Nov 18, 2019","1,489.20","1,484.00","1,490.80","1,474.10","2.75K","0.24%"
"Nov 15, 2019","1,485.70","1,485.40","1,486.80","1,480.00","0.76K","-0.32%"
"Nov 14, 2019","1,490.50","1,481.00","1,492.20","1,479.00","2.30K","0.68%"
"Nov 13, 2019","1,480.40","1,474.70","1,484.50","1,474.70","2.62K","0.66%"
"Nov 12, 2019","1,470.70","1,473.30","1,477.90","1,463.50","2.49K","-0.24%"
"Nov 11, 2019","1,474.20","1,478.30","1,483.90","1,466.00","4.32K","-0.39%"
"Nov 08, 2019","1,480.00","1,486.30","1,490.50","1,473.90","2.09K","-0.24%"
"Nov 07, 2019","1,483.60","1,509.90","1,509.90","1,478.70","6.12K","-1.78%"
"Nov 06, 2019","1,510.50","1,502.20","1,513.00","1,501.70","2.28K","0.64%"
"Nov 05, 2019","1,500.90","1,525.00","1,526.70","1,497.80","4.23K","-1.80%"
"Nov 04, 2019","1,528.40","1,532.70","1,533.00","1,524.90","2.35K","0.00%"
"Nov 01, 2019","1,528.40","1,531.30","1,535.00","1,522.50","1.60K","-0.19%"
"Oct 31, 2019","1,531.30","1,514.40","1,533.30","1,513.20","2.92K","1.17%"
"Oct 30, 2019","1,513.60","1,508.30","1,515.50","1,500.60","2.84K","0.40%"
"Oct 29, 2019","1,507.50","1,511.50","1,513.70","1,502.60","1.81K","-0.35%"
"Oct 28, 2019","1,512.80","1,524.80","1,527.10","1,509.70","0.87K","-0.62%"
"Oct 25, 2019","1,522.20","1,521.80","1,537.10","1,520.10","2.13K","0.06%"
"Oct 24, 2019","1,521.30","1,512.30","1,522.40","1,507.50","1.83K","0.60%"
"Oct 23, 2019","1,512.20","1,508.10","1,515.20","1,507.50","0.71K","0.55%"
"Oct 22, 2019","1,503.90","1,503.40","1,507.90","1,501.00","0.52K","-0.05%"
"Oct 21, 2019","1,504.60","1,511.00","1,514.90","1,501.50","2.72K","-0.38%"
"Oct 18, 2019","1,510.40","1,512.20","1,513.40","1,504.90","2.48K","-0.31%"
"Oct 17, 2019","1,515.10","1,510.90","1,517.00","1,505.50","2.39K","0.28%"
