Date,Handle,Total Posts,Favorites,Retweets
1/1/2016,HassanRouhani,1,326,556
1/3/2016,HassanRouhani,7,1702,1737
1/5/2016,HassanRouhani,6,878,1294
1/6/2016,HassanRouhani,12,1976,2560
1/12/2016,HassanRouhani,4,254,811
1/16/2016,HassanRouhani,1,1329,2581
1/17/2016,HassanRouhani,5,964,2093
1/19/2016,HassanRouhani,2,209,559
1/20/2016,HassanRouhani,2,164,579
1/25/2016,HassanRouhani,3,440,1149
1/26/2016,HassanRouhani,2,462,1020
1/27/2016,HassanRouhani,5,515,1312
1/28/2016,HassanRouhani,5,711,1849
2/2/2016,HassanRouhani,9,800,2269
2/18/2016,HassanRouhani,1,136,410
2/21/2016,HassanRouhani,1,136,388
2/26/2016,HassanRouhani,1,147,634
2/29/2016,HassanRouhani,1,333,1210
3/6/2016,HassanRouhani,2,131,654
3/15/2016,HassanRouhani,1,136,490
3/20/2016,HassanRouhani,1,468,1902
3/22/2016,HassanRouhani,1,552,1118
3/25/2016,HassanRouhani,1,480,1852
3/28/2016,HassanRouhani,3,495,2000
4/6/2016,HassanRouhani,1,135,491
4/11/2016,HassanRouhani,1,86,371
4/12/2016,HassanRouhani,1,127,499
4/14/2016,HassanRouhani,10,1840,4053
4/19/2016,HassanRouhani,1,201,896
5/23/2016,HassanRouhani,3,596,1546
5/28/2016,HassanRouhani,3,305,1027
5/30/2016,HassanRouhani,1,155,874
6/6/2016,HassanRouhani,1,214,763
6/15/2016,HassanRouhani,1,184,641
7/5/2016,HassanRouhani,1,353,1028
7/18/2016,HassanRouhani,1,174,493
8/14/2016,HassanRouhani,2,180,776
9/15/2016,HassanRouhani,1,183,1186
9/17/2016,HassanRouhani,4,237,1011
9/21/2016,HassanRouhani,2,282,899
9/22/2016,HassanRouhani,10,542,2109
9/26/2016,HassanRouhani,1,67,337
9/29/2016,HassanRouhani,1,136,497
10/1/2016,HassanRouhani,1,160,922
10/7/2016,HassanRouhani,1,52,355
10/10/2016,HassanRouhani,12,531,2455
10/26/2016,HassanRouhani,2,222,1271
10/29/2016,HassanRouhani,1,285,1034
11/16/2016,HassanRouhani,2,290,1305
11/22/2016,HassanRouhani,1,125,818
12/6/2016,HassanRouhani,1,120,491
12/17/2016,HassanRouhani,1,231,1229
12/21/2016,HassanRouhani,1,171,1241
1/28/2017,HassanRouhani,1,1157,3408
2/11/2017,HassanRouhani,1,159,1408
2/17/2017,HassanRouhani,1,184,1821
3/1/2017,HassanRouhani,1,164,1209
3/20/2017,HassanRouhani,1,357,2866
4/7/2017,HassanRouhani,3,806,5771
6/25/2017,HassanRouhani,1,256,2853
6/30/2017,HassanRouhani,1,284,2340
8/5/2017,HassanRouhani,1,145,1387
8/8/2017,HassanRouhani,1,125,1364
9/1/2017,HassanRouhani,1,262,1882
9/20/2017,HassanRouhani,11,2538,12300
11/25/2017,HassanRouhani,1,215,1227
12/13/2017,HassanRouhani,1,525,1731
2/1/2018,HassanRouhani,1,140,990
2/17/2018,HassanRouhani,1,422,2319
7/3/2018,HassanRouhani,1,104,648
7/4/2018,HassanRouhani,1,133,1001
9/24/2018,HassanRouhani,1,852,3474
9/25/2018,HassanRouhani,11,2772,11245
5/8/2019,HassanRouhani,1,563,1900
8/1/2019,HassanRouhani,1,229,1181
9/25/2019,HassanRouhani,11,1873,7968
11/6/2019,HassanRouhani,1,284,1139
12/18/2019,HassanRouhani,2,782,6116
12/20/2019,HassanRouhani,1,400,3771
