Date,Handle,Total Posts,Favorites,Retweets
2016-01-12,IranNW,11,86,7
2016-01-13,IranNW,8,97,19
2016-01-15,IranNW,2,22,1
2016-01-25,IranNW,1,14,3
2016-01-27,IranNW,37,60,20
2016-01-28,IranNW,112,301,97
2016-02-01,IranNW,5,43,6
2016-02-02,IranNW,17,96,22
2016-02-03,IranNW,1,10,0
2016-02-09,IranNW,43,40,9
2016-02-13,IranNW,6,49,9
2016-02-15,IranNW,3,7,1
2016-02-16,IranNW,4,58,18
2016-02-21,IranNW,7,24,0
2016-02-23,IranNW,8,32,8
2016-02-24,IranNW,1,1,0
2016-02-25,IranNW,9,42,2
2016-02-26,IranNW,16,54,7
2016-02-27,IranNW,40,122,18
2016-04-07,IranNW,1,28,9
2016-04-10,IranNW,1,6,0
2016-04-11,IranNW,10,22,0
2016-04-17,IranNW,2,14,3
2016-04-20,IranNW,5,41,2
2016-04-24,IranNW,7,22,0
2016-04-25,IranNW,21,76,21
2016-05-01,IranNW,9,20,10
2016-05-02,IranNW,7,32,24
2016-05-08,IranNW,8,71,23
2016-05-15,IranNW,14,20,15
2016-05-17,IranNW,7,12,4
2016-05-18,IranNW,58,348,130
2016-05-19,IranNW,11,58,26
2016-05-23,IranNW,4,13,5
2016-05-25,IranNW,17,41,30
2016-05-27,IranNW,7,54,26
2016-05-28,IranNW,2,1,1
2016-05-30,IranNW,2,0,0
2016-05-31,IranNW,2,2,2
2016-06-03,IranNW,12,18,14
2016-06-11,IranNW,18,19,6
2016-06-14,IranNW,2,2,1
2016-06-18,IranNW,6,6,7
2016-06-28,IranNW,3,3,0
2016-06-29,IranNW,126,221,88
2016-06-30,IranNW,22,58,39
2016-07-02,IranNW,18,52,41
2016-07-03,IranNW,10,27,17
2016-07-04,IranNW,25,280,138
2016-07-07,IranNW,14,2,5
2016-07-09,IranNW,115,387,265
2016-07-10,IranNW,5,101,62
2016-07-12,IranNW,1,3,2
2016-08-03,IranNW,4,12,8
2016-08-07,IranNW,5,14,10
2016-08-10,IranNW,2,7,3
2016-09-27,IranNW,1,2,1
2016-09-29,IranNW,1,1,1
2016-10-26,IranNW,1,1,1
2016-11-18,IranNW,11,23,18
2016-11-19,IranNW,2,2,0
2016-11-26,IranNW,4,4,2
2016-11-27,IranNW,2,5,5
2016-11-28,IranNW,1,0,0
2016-11-29,IranNW,1,2,2
2016-11-30,IranNW,1,0,0
2016-12-03,IranNW,1,0,0
2016-12-04,IranNW,1,6,2
2016-12-09,IranNW,1,2,2
2016-12-21,IranNW,3,4,3
2016-12-31,IranNW,1,3,1
2017-01-01,IranNW,1,10,7
2017-01-10,IranNW,1,4,2
2017-01-25,IranNW,1,0,0
2017-02-01,IranNW,1,0,0
2017-02-07,IranNW,2,2,0
2017-02-08,IranNW,1,1,1
2017-02-17,IranNW,3,5,4
2017-03-09,IranNW,1,1,0
2017-03-10,IranNW,1,0,1
2017-03-17,IranNW,3,6,6
2017-03-20,IranNW,1,4,2
2017-04-07,IranNW,1,1,0
2017-04-08,IranNW,11,41,38
2017-04-21,IranNW,1,1,1
2017-05-08,IranNW,2,4,3
2017-05-09,IranNW,2,0,0
2017-05-10,IranNW,2,0,0
2017-05-12,IranNW,1,5,3
2017-05-17,IranNW,1,4,2
2017-06-13,IranNW,1,5,6
2017-06-22,IranNW,3,4,3
2017-06-28,IranNW,1,0,0
2017-07-01,IranNW,9,15,14
2017-07-08,IranNW,1,2,1
2017-07-12,IranNW,2,0,0
2017-07-13,IranNW,2,1,0
2017-08-02,IranNW,4,0,0
2017-08-07,IranNW,3,4,3
2017-08-13,IranNW,1,0,0
2017-08-14,IranNW,1,1,2
2017-08-19,IranNW,1,1,2
2017-09-12,IranNW,3,0,0
2017-09-17,IranNW,2,0,0
2017-10-06,IranNW,2,0,1
2017-11-01,IranNW,2,0,0
2017-11-02,IranNW,1,5,2
2017-11-05,IranNW,2,0,1
2017-11-06,IranNW,1,0,0
2017-11-07,IranNW,3,0,0
2017-11-09,IranNW,1,2,0
2017-11-10,IranNW,1,0,0
2017-11-12,IranNW,1,0,0
2017-11-13,IranNW,1,2,3
2017-11-14,IranNW,1,0,1
2017-11-16,IranNW,3,0,0
