Date,Handle,Total Posts,Favorites,Retweets
2016-01-01,Iran,32,198,207
2016-01-02,Iran,47,536,464
2016-01-03,Iran,77,544,591
2016-01-04,Iran,73,446,361
2016-01-05,Iran,70,345,426
2016-01-06,Iran,69,352,438
2016-01-07,Iran,66,342,401
2016-01-08,Iran,30,238,296
2016-01-09,Iran,39,223,271
2016-01-10,Iran,63,295,405
2016-01-11,Iran,65,215,303
2016-01-12,Iran,71,344,324
2016-01-13,Iran,72,421,483
2016-01-14,Iran,63,267,327
2016-01-15,Iran,29,178,260
2016-01-16,Iran,87,786,1066
2016-01-17,Iran,91,490,779
2016-01-18,Iran,78,333,522
2016-01-19,Iran,83,406,488
2016-01-20,Iran,72,294,409
2016-01-21,Iran,67,245,333
2016-01-22,Iran,27,121,178
2016-01-23,Iran,46,244,294
2016-01-24,Iran,53,268,314
2016-01-25,Iran,55,230,303
2016-01-26,Iran,52,235,411
2016-01-27,Iran,82,367,514
2016-01-28,Iran,71,322,420
2016-01-29,Iran,27,138,210
2016-01-30,Iran,48,207,315
2016-01-31,Iran,78,384,496
2016-02-01,Iran,72,284,397
2016-02-02,Iran,86,315,460
2016-02-03,Iran,72,273,297
2016-02-04,Iran,72,319,366
2016-02-05,Iran,27,151,200
2016-02-06,Iran,38,177,270
2016-02-07,Iran,70,292,382
2016-02-08,Iran,70,317,351
2016-02-09,Iran,77,298,340
2016-02-10,Iran,75,306,306
2016-02-11,Iran,41,243,372
2016-02-12,Iran,24,139,156
2016-02-13,Iran,42,196,230
2016-02-14,Iran,70,328,297
2016-02-15,Iran,72,267,266
2016-02-16,Iran,63,253,273
2016-02-17,Iran,68,204,309
2016-02-18,Iran,77,276,300
2016-02-19,Iran,27,144,128
2016-02-20,Iran,40,231,237
2016-02-21,Iran,58,216,252
2016-02-22,Iran,70,200,217
2016-02-23,Iran,70,190,330
2016-02-24,Iran,66,190,222
2016-02-25,Iran,69,293,305
2016-02-26,Iran,32,169,213
2016-02-27,Iran,43,185,262
2016-02-28,Iran,64,276,324
2016-02-29,Iran,72,218,284
2016-04-01,Iran,6,64,88
2016-04-02,Iran,36,194,235
2016-04-03,Iran,62,312,409
2016-04-04,Iran,68,209,334
