Date,Handle,Total Posts,Favorites,Retweets
2/2/2016,KUhp2222,1,474,429
5/18/2016,KUhp2222,3,511,507
5/19/2016,KUhp2222,1,595,454
5/28/2016,KUhp2222,1,359,198
5/31/2016,KUhp2222,1,329,182
6/2/2016,KUhp2222,2,619,356
6/6/2016,KUhp2222,1,525,253
6/10/2016,KUhp2222,1,759,334
6/15/2016,KUhp2222,1,455,301
6/16/2016,KUhp2222,1,357,238
7/14/2016,KUhp2222,1,443,278
8/4/2016,KUhp2222,1,576,334
8/8/2016,KUhp2222,1,765,370
9/3/2016,KUhp2222,1,578,422
9/23/2016,KUhp2222,1,548,313
10/26/2016,KUhp2222,1,235,179
11/13/2016,KUhp2222,1,266,200
12/3/2016,KUhp2222,1,368,283
1/13/2017,KUhp2222,1,282,192
6/8/2017,KUhp2222,1,1148,546
6/21/2017,KUhp2222,1,495,261
7/5/2017,KUhp2222,1,924,436
7/11/2017,KUhp2222,1,425,463
7/15/2017,KUhp2222,1,280,172
8/18/2017,KUhp2222,1,812,512
8/25/2017,KUhp2222,1,589,900
9/1/2017,KUhp2222,1,581,326
9/14/2017,KUhp2222,1,1372,519
10/24/2017,KUhp2222,1,510,659
11/6/2017,KUhp2222,1,667,499
12/11/2017,KUhp2222,1,412,278
12/18/2017,KUhp2222,1,412,283
12/21/2017,KUhp2222,1,453,278
12/25/2017,KUhp2222,1,588,417
1/15/2018,KUhp2222,2,671,500
2/20/2018,KUhp2222,1,344,426
3/27/2018,KUhp2222,1,329,532
4/1/2018,KUhp2222,1,336,471
4/14/2018,KUhp2222,1,403,293
4/21/2018,KUhp2222,1,626,758
4/23/2018,KUhp2222,1,628,456
5/17/2018,KUhp2222,1,606,483
6/11/2018,KUhp2222,1,393,270
7/4/2018,KUhp2222,1,482,732
7/8/2018,KUhp2222,1,514,578
9/17/2018,KUhp2222,1,499,440
9/21/2018,KUhp2222,1,346,334
10/14/2018,KUhp2222,2,3825,4112
10/16/2018,KUhp2222,1,560,616
10/18/2018,KUhp2222,1,405,401
10/23/2018,KUhp2222,1,10583,5389
11/8/2018,KUhp2222,1,8361,7777
11/16/2018,KUhp2222,1,7241,8318
11/23/2018,KUhp2222,1,1322,1282
12/5/2018,KUhp2222,1,56,110
12/22/2018,KUhp2222,1,629,587
12/26/2018,KUhp2222,1,2512,2358
1/21/2019,KUhp2222,1,688,776
1/30/2019,KUhp2222,1,893,999
2/1/2019,KUhp2222,3,2015,3121
2/18/2019,KUhp2222,1,1176,1235
3/27/2019,KUhp2222,2,1686,2880
3/31/2019,KUhp2222,1,334,418
4/2/2019,KUhp2222,1,585,713
4/3/2019,KUhp2222,1,314,393
4/4/2019,KUhp2222,1,766,1126
4/9/2019,KUhp2222,3,932,1159
4/15/2019,KUhp2222,1,404,839
4/18/2019,KUhp2222,1,460,1114
4/22/2019,KUhp2222,2,720,1083
4/24/2019,KUhp2222,2,885,1524
4/28/2019,KUhp2222,1,15,11
5/1/2019,KUhp2222,1,556,1316
5/6/2019,KUhp2222,1,973,1236
5/11/2019,KUhp2222,1,900,939
5/29/2019,KUhp2222,1,327,416
6/2/2019,KUhp2222,1,470,497
6/11/2019,KUhp2222,1,678,1120
6/12/2019,KUhp2222,1,356,554
6/16/2019,KUhp2222,1,320,481
6/25/2019,KUhp2222,1,315,418
6/28/2019,KUhp2222,2,1073,1192
7/1/2019,KUhp2222,1,233,393
7/2/2019,KUhp2222,1,35,43
7/11/2019,KUhp2222,1,496,1126
7/19/2019,KUhp2222,1,1266,2099
7/29/2019,KUhp2222,1,273,389
9/12/2019,KUhp2222,1,348,486
9/16/2019,KUhp2222,1,238,321
9/18/2019,KUhp2222,1,558,998
9/19/2019,KUhp2222,2,476,743
9/20/2019,KUhp2222,2,492,856
9/21/2019,KUhp2222,2,920,1581
9/23/2019,KUhp2222,1,176,325
9/29/2019,KUhp2222,1,773,934
10/4/2019,KUhp2222,1,299,824
10/15/2019,KUhp2222,1,162,236
10/18/2019,KUhp2222,1,62,131
10/26/2019,KUhp2222,2,1009,2049
10/29/2019,KUhp2222,1,326,438
11/2/2019,KUhp2222,1,274,659
11/6/2019,KUhp2222,1,544,827
11/7/2019,KUhp2222,1,961,2042
11/17/2019,KUhp2222,1,1365,3381
11/19/2019,KUhp2222,4,455,636
11/25/2019,KUhp2222,4,911,1815
11/26/2019,KUhp2222,1,59,139
11/30/2019,KUhp2222,1,371,441
12/2/2019,KUhp2222,1,262,366
12/3/2019,KUhp2222,1,160,286
12/4/2019,KUhp2222,1,146,221
12/9/2019,KUhp2222,1,45,60
12/12/2019,KUhp2222,1,217,424
12/13/2019,KUhp2222,1,69,125
12/14/2019,KUhp2222,3,89,120
