"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2015","3.170","3.190","3.210","3.140","0.34K","-0.63%"
"Jan 01, 2016","3.230","3.170","3.230","3.170","0.72K","1.89%"
"Jan 02, 2016","3.230","3.230","3.230","3.200","0.35K","0.00%"
"Jan 03, 2016","3.200","3.230","3.230","3.170","1.73K","-0.93%"
"Jan 04, 2016","3.220","3.200","3.220","3.170","1.67K","0.62%"
"Jan 05, 2016","3.220","3.220","3.220","3.200","1.39K","0.00%"
"Jan 06, 2016","3.210","3.220","3.250","3.180","1.00K","-0.31%"
"Jan 07, 2016","3.270","3.210","3.330","3.200","2.90K","1.87%"
"Jan 08, 2016","3.310","3.270","3.320","3.230","2.53K","1.22%"
"Jan 09, 2016","3.260","3.310","3.310","3.250","1.70K","-1.51%"
"Jan 10, 2016","3.250","3.260","3.260","3.240","1.48K","-0.31%"
"Jan 11, 2016","3.300","3.250","3.300","3.250","0.72K","1.54%"
"Jan 12, 2016","3.250","3.300","3.300","3.250","1.43K","-1.52%"
"Jan 13, 2016","3.230","3.250","3.280","3.190","4.58K","-0.62%"
"Jan 14, 2016","3.200","3.230","3.240","3.200","1.39K","-0.93%"
"Jan 15, 2016","2.900","3.200","3.200","2.840","15.64K","-9.37%"
"Jan 16, 2016","2.840","2.900","2.900","2.500","7.26K","-2.07%"
"Jan 17, 2016","2.790","2.840","2.890","2.780","1.62K","-1.76%"
"Jan 18, 2016","2.790","2.790","2.800","2.710","5.26K","0.00%"
"Jan 19, 2016","2.800","2.790","2.820","2.740","1.47K","0.36%"
"Jan 20, 2016","3.200","2.800","3.300","2.650","11.54K","14.29%"
"Jan 21, 2016","2.980","3.200","3.200","2.940","1.35K","-6.88%"
"Jan 22, 2016","2.800","2.980","3.000","2.800","5.70K","-6.04%"
"Jan 23, 2016","2.840","2.800","2.940","2.800","2.66K","1.43%"
"Jan 24, 2016","2.950","2.840","2.980","2.830","2.99K","3.87%"
"Jan 25, 2016","2.860","2.950","2.950","2.840","2.22K","-3.05%"
"Jan 26, 2016","2.930","2.860","2.930","2.800","2.73K","2.45%"
"Jan 27, 2016","3.020","2.930","3.100","2.860","10.73K","3.07%"
"Jan 28, 2016","2.850","3.020","3.030","2.800","7.52K","-5.63%"
"Jan 29, 2016","2.870","2.850","2.890","2.800","4.81K","0.70%"
"Jan 30, 2016","2.860","2.870","2.870","2.810","2.31K","-0.35%"
"Jan 31, 2016","2.820","2.860","2.880","2.810","2.30K","-1.40%"
"Feb 01, 2016","2.800","2.820","2.880","2.720","1.77K","-0.71%"
"Feb 02, 2016","2.780","2.800","2.820","2.720","5.52K","-0.71%"
"Feb 03, 2016","2.730","2.780","2.830","2.720","2.30K","-1.80%"
"Feb 04, 2016","2.820","2.730","2.870","2.730","2.11K","3.30%"
"Feb 05, 2016","2.790","2.820","2.840","2.760","1.16K","-1.06%"
"Feb 06, 2016","2.780","2.790","2.850","2.720","6.30K","-0.36%"
"Feb 07, 2016","2.720","2.780","2.960","2.700","5.14K","-2.16%"
"Feb 08, 2016","2.720","2.720","2.760","2.650","6.73K","0.00%"
"Feb 09, 2016","2.700","2.720","2.720","2.630","6.54K","-0.74%"
"Feb 10, 2016","2.720","2.700","2.820","2.600","9.60K","0.74%"
"Feb 11, 2016","2.460","2.720","2.720","2.450","7.97K","-9.56%"
"Feb 12, 2016","2.670","2.460","2.740","2.460","5.27K","8.54%"
"Feb 13, 2016","2.750","2.670","2.750","2.670","2.87K","3.00%"
"Feb 14, 2016","2.780","2.750","2.810","2.710","5.26K","1.09%"
"Feb 15, 2016","2.820","2.780","2.850","2.750","2.61K","1.44%"
"Feb 16, 2016","2.850","2.820","2.880","2.760","3.42K","1.06%"
"Feb 17, 2016","2.840","2.850","2.920","2.830","2.25K","-0.35%"
"Feb 18, 2016","2.880","2.840","2.930","2.840","0.86K","1.41%"
"Feb 19, 2016","2.870","2.880","2.920","2.810","1.63K","-0.35%"
"Feb 20, 2016","3.070","2.870","3.170","2.850","9.83K","6.97%"
"Feb 21, 2016","3.040","3.070","3.190","3.010","10.48K","-0.98%"
