"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","1,921.75","1,930.50","1,944.50","1,916.25","-","-0.63%"
"Dec 30, 2019","1,934.00","1,938.00","1,949.00","1,931.25","-","-0.15%"
"Dec 27, 2019","1,937.00","1,941.75","1,942.75","1,922.00","-","0.19%"
"Dec 24, 2019","1,933.25","1,922.50","1,946.75","1,918.00","-","0.78%"
"Dec 23, 2019","1,918.25","1,937.25","1,938.50","1,907.75","-","-0.85%"
"Dec 20, 2019","1,934.75","1,915.25","1,941.50","1,914.00","-","0.98%"
"Dec 19, 2019","1,916.00","1,922.00","1,939.75","1,908.50","-","-0.56%"
"Dec 18, 2019","1,926.75","1,892.50","1,931.25","1,882.25","-","1.77%"
"Dec 17, 2019","1,893.25","1,884.75","1,903.25","1,884.75","-","0.46%"
"Dec 16, 2019","1,884.50","1,906.25","1,912.75","1,882.75","-","-1.21%"
"Dec 13, 2019","1,907.50","1,935.50","1,959.50","1,902.50","-","-1.06%"
"Dec 12, 2019","1,928.00","1,924.00","1,944.25","1,921.50","-","-0.31%"
"Dec 11, 2019","1,934.00","1,911.50","1,937.25","1,911.50","-","1.01%"
"Dec 10, 2019","1,914.75","1,895.00","1,915.50","1,890.75","-","1.00%"
"Dec 09, 2019","1,895.75","1,888.50","1,897.75","1,865.50","-","0.30%"
"Dec 06, 2019","1,890.00","1,904.25","1,916.75","1,881.25","-","-0.85%"
"Dec 05, 2019","1,906.25","1,914.75","1,921.00","1,901.25","-","-0.43%"
"Dec 04, 2019","1,914.50","1,899.50","1,923.25","1,896.00","-","0.95%"
"Dec 03, 2019","1,896.50","1,904.25","1,921.00","1,890.25","-","-0.43%"
"Dec 02, 2019","1,904.75","1,945.25","1,946.75","1,898.00","-","-2.03%"
"Nov 29, 2019","1,944.25","1,946.25","1,970.00","1,939.25","-","0.00%"
"Nov 28, 2019","1,944.25","1,943.25","1,962.25","1,926.50","-","0.06%"
"Nov 27, 2019","1,943.00","1,942.50","1,966.25","1,940.25","-","-0.14%"
"Nov 26, 2019","1,945.75","1,936.50","1,952.00","1,907.50","-","0.76%"
"Nov 25, 2019","1,931.00","1,968.00","1,977.00","1,930.50","-","-1.82%"
"Nov 22, 2019","1,966.75","1,960.50","1,986.00","1,959.50","-","0.36%"
"Nov 21, 2019","1,959.75","1,987.50","1,987.75","1,955.50","-","-1.28%"
"Nov 20, 2019","1,985.25","1,995.00","2,012.00","1,973.00","-","-0.48%"
"Nov 19, 2019","1,994.75","1,958.25","1,999.75","1,958.25","-","1.55%"
"Nov 18, 2019","1,964.25","2,007.25","2,025.50","1,952.00","-","-2.17%"
"Nov 15, 2019","2,007.75","2,022.50","2,027.75","1,997.50","-","-0.79%"
"Nov 14, 2019","2,023.75","2,037.25","2,048.75","2,016.25","-","-0.70%"
"Nov 13, 2019","2,038.00","2,062.00","2,064.75","2,028.25","-","-1.07%"
"Nov 12, 2019","2,060.00","2,092.00","2,111.75","2,052.50","-","-1.48%"
"Nov 11, 2019","2,091.00","2,110.75","2,122.50","2,085.25","-","-1.02%"
"Nov 08, 2019","2,112.50","2,114.00","2,115.25","2,088.25","-","0.04%"
"Nov 07, 2019","2,111.75","2,108.00","2,117.25","2,092.00","-","0.37%"
"Nov 06, 2019","2,104.00","2,153.00","2,153.75","2,102.25","-","-2.19%"
"Nov 05, 2019","2,151.00","2,166.75","2,174.00","2,142.25","-","-0.73%"
"Nov 04, 2019","2,166.75","2,162.00","2,179.25","2,157.00","-","0.09%"
"Nov 01, 2019","2,164.75","2,163.50","2,174.50","2,153.50","-","0.31%"
"Oct 31, 2019","2,158.00","2,194.50","2,204.75","2,155.25","-","-1.65%"
"Oct 30, 2019","2,194.25","2,255.75","2,256.75","2,189.50","-","-2.78%"
"Oct 29, 2019","2,257.00","2,225.50","2,263.25","2,225.50","-","1.34%"
"Oct 28, 2019","2,227.25","2,213.50","2,240.50","2,199.25","-","0.42%"
"Oct 25, 2019","2,218.00","2,223.00","2,246.00","2,212.25","-","-0.21%"
"Oct 24, 2019","2,222.75","2,220.50","2,231.75","2,208.75","-","0.28%"
"Oct 23, 2019","2,216.50","2,208.75","2,224.75","2,195.25","-","0.78%"
"Oct 22, 2019","2,199.25","2,208.50","2,227.75","2,197.25","-","-0.51%"
"Oct 21, 2019","2,210.50","2,177.25","2,212.25","2,170.00","-","1.67%"
"Oct 18, 2019","2,174.25","2,187.00","2,214.00","2,171.00","-","-0.56%"
"Oct 17, 2019","2,186.50","2,169.00","2,188.75","2,159.50","-","0.83%"
"Oct 16, 2019","2,168.50","2,151.25","2,175.75","2,140.25","-","0.87%"
"Oct 15, 2019","2,149.75","2,144.50","2,161.25","2,127.25","-","0.62%"
"Oct 14, 2019","2,136.50","2,175.00","2,179.25","2,129.75","-","-1.92%"
"Oct 11, 2019","2,178.25","2,154.75","2,194.75","2,151.25","-","1.06%"
"Oct 10, 2019","2,155.50","2,138.50","2,168.00","2,134.50","-","0.77%"
"Oct 09, 2019","2,139.00","2,140.00","2,142.50","2,117.25","-","0.12%"
