Date,Handle,Total Posts,Favorites,Retweets
1/7/2016,NABEELRAJAB,1,122,58
1/9/2016,NABEELRAJAB,3,106,34
1/13/2016,NABEELRAJAB,3,74,40
1/15/2016,NABEELRAJAB,1,16,4
1/16/2016,NABEELRAJAB,2,267,120
1/18/2016,NABEELRAJAB,2,100,31
1/19/2016,NABEELRAJAB,1,38,9
1/20/2016,NABEELRAJAB,4,293,114
1/21/2016,NABEELRAJAB,1,18,6
1/22/2016,NABEELRAJAB,1,22,4
1/23/2016,NABEELRAJAB,2,132,67
1/27/2016,NABEELRAJAB,2,88,45
1/29/2016,NABEELRAJAB,4,142,46
1/30/2016,NABEELRAJAB,1,146,38
1/31/2016,NABEELRAJAB,3,274,65
2/1/2016,NABEELRAJAB,1,153,43
2/2/2016,NABEELRAJAB,3,237,69
2/3/2016,NABEELRAJAB,3,132,48
2/4/2016,NABEELRAJAB,1,35,9
2/5/2016,NABEELRAJAB,2,77,28
2/6/2016,NABEELRAJAB,2,334,127
2/7/2016,NABEELRAJAB,3,295,118
2/8/2016,NABEELRAJAB,1,56,13
2/9/2016,NABEELRAJAB,5,319,100
2/10/2016,NABEELRAJAB,2,46,23
2/11/2016,NABEELRAJAB,3,291,73
2/12/2016,NABEELRAJAB,2,252,67
2/13/2016,NABEELRAJAB,2,268,58
2/14/2016,NABEELRAJAB,3,467,142
2/15/2016,NABEELRAJAB,2,243,60
2/16/2016,NABEELRAJAB,2,196,46
2/17/2016,NABEELRAJAB,3,110,46
2/18/2016,NABEELRAJAB,2,146,55
2/21/2016,NABEELRAJAB,1,140,50
2/22/2016,NABEELRAJAB,1,25,2
2/23/2016,NABEELRAJAB,5,209,68
2/24/2016,NABEELRAJAB,4,80,31
2/25/2016,NABEELRAJAB,2,218,88
2/26/2016,NABEELRAJAB,1,93,17
2/27/2016,NABEELRAJAB,1,91,43
2/28/2016,NABEELRAJAB,1,25,5
2/29/2016,NABEELRAJAB,2,199,70
4/1/2016,NABEELRAJAB,1,69,20
4/2/2016,NABEELRAJAB,1,123,52
4/3/2016,NABEELRAJAB,1,214,103
4/4/2016,NABEELRAJAB,3,220,71
4/5/2016,NABEELRAJAB,2,71,45
4/6/2016,NABEELRAJAB,1,35,13
4/7/2016,NABEELRAJAB,1,100,60
4/10/2016,NABEELRAJAB,1,134,58
4/11/2016,NABEELRAJAB,2,44,22
4/12/2016,NABEELRAJAB,2,26,19
4/14/2016,NABEELRAJAB,2,108,29
4/15/2016,NABEELRAJAB,4,119,47
4/16/2016,NABEELRAJAB,1,23,8
4/17/2016,NABEELRAJAB,1,122,70
4/18/2016,NABEELRAJAB,1,123,42
4/20/2016,NABEELRAJAB,4,554,265
4/24/2016,NABEELRAJAB,2,246,171
4/25/2016,NABEELRAJAB,2,204,96
5/1/2016,NABEELRAJAB,1,52,36
5/3/2016,NABEELRAJAB,5,381,145
5/6/2016,NABEELRAJAB,2,100,37
5/7/2016,NABEELRAJAB,1,161,96
5/9/2016,NABEELRAJAB,2,317,95
5/10/2016,NABEELRAJAB,1,0,1
5/11/2016,NABEELRAJAB,1,205,181
5/12/2016,NABEELRAJAB,1,10,5
5/14/2016,NABEELRAJAB,1,188,98
5/16/2016,NABEELRAJAB,2,142,47
5/25/2016,NABEELRAJAB,1,1,3
5/26/2016,NABEELRAJAB,2,132,56
5/27/2016,NABEELRAJAB,1,69,58
5/28/2016,NABEELRAJAB,1,221,126
6/1/2016,NABEELRAJAB,1,182,90
6/2/2016,NABEELRAJAB,3,111,40
6/4/2016,NABEELRAJAB,1,98,137
6/5/2016,NABEELRAJAB,1,118,39
6/6/2016,NABEELRAJAB,1,12,9
6/7/2016,NABEELRAJAB,1,80,25
6/8/2016,NABEELRAJAB,1,1,1
6/13/2016,NABEELRAJAB,25,1345,432
6/14/2016,NABEELRAJAB,14,676,217
6/15/2016,NABEELRAJAB,9,628,226
6/16/2016,NABEELRAJAB,13,358,118
6/17/2016,NABEELRAJAB,6,197,74
6/18/2016,NABEELRAJAB,9,220,64
6/19/2016,NABEELRAJAB,3,278,103
6/20/2016,NABEELRAJAB,22,1385,525
6/21/2016,NABEELRAJAB,15,1178,517
6/22/2016,NABEELRAJAB,19,880,375
6/23/2016,NABEELRAJAB,16,1072,482
6/24/2016,NABEELRAJAB,7,327,141
6/25/2016,NABEELRAJAB,6,504,318
6/26/2016,NABEELRAJAB,12,800,346
6/27/2016,NABEELRAJAB,4,254,83
6/28/2016,NABEELRAJAB,20,1127,354
6/29/2016,NABEELRAJAB,12,376,129
6/30/2016,NABEELRAJAB,15,462,150
7/1/2016,NABEELRAJAB,11,451,189
7/2/2016,NABEELRAJAB,12,645,267
7/3/2016,NABEELRAJAB,6,215,100
7/4/2016,NABEELRAJAB,19,1169,349
