Date,Handle,Total Posts,Favorites,Retweets
1/3/2016,NSA_Bahrain,1,0,0
1/4/2016,NSA_Bahrain,2,0,0
1/6/2016,NSA_Bahrain,1,0,0
1/11/2016,NSA_Bahrain,3,0,0
1/12/2016,NSA_Bahrain,2,0,0
1/13/2016,NSA_Bahrain,1,0,0
1/16/2016,NSA_Bahrain,1,0,1
1/20/2016,NSA_Bahrain,1,0,0
1/21/2016,NSA_Bahrain,1,0,0
1/27/2016,NSA_Bahrain,1,0,0
1/28/2016,NSA_Bahrain,2,0,0
2/2/2016,NSA_Bahrain,3,0,0
2/4/2016,NSA_Bahrain,4,0,0
2/5/2016,NSA_Bahrain,1,0,0
2/6/2016,NSA_Bahrain,1,0,0
2/8/2016,NSA_Bahrain,5,0,2
2/10/2016,NSA_Bahrain,5,0,0
2/11/2016,NSA_Bahrain,5,0,0
2/15/2016,NSA_Bahrain,1,0,0
2/17/2016,NSA_Bahrain,1,0,0
2/18/2016,NSA_Bahrain,2,0,0
2/21/2016,NSA_Bahrain,2,0,0
2/23/2016,NSA_Bahrain,3,0,0
2/24/2016,NSA_Bahrain,1,0,0
2/28/2016,NSA_Bahrain,1,0,0
4/3/2016,NSA_Bahrain,3,0,0
4/5/2016,NSA_Bahrain,1,0,0
4/6/2016,NSA_Bahrain,2,0,0
4/7/2016,NSA_Bahrain,4,0,0
4/11/2016,NSA_Bahrain,4,1,0
4/12/2016,NSA_Bahrain,2,0,0
4/14/2016,NSA_Bahrain,1,0,0
4/20/2016,NSA_Bahrain,2,0,0
4/21/2016,NSA_Bahrain,1,0,0
4/26/2016,NSA_Bahrain,1,0,0
4/27/2016,NSA_Bahrain,8,0,0
4/28/2016,NSA_Bahrain,3,1,1
5/1/2016,NSA_Bahrain,4,0,2
5/2/2016,NSA_Bahrain,4,0,0
5/3/2016,NSA_Bahrain,3,0,0
5/4/2016,NSA_Bahrain,2,1,0
5/5/2016,NSA_Bahrain,1,0,0
5/8/2016,NSA_Bahrain,4,0,0
5/10/2016,NSA_Bahrain,1,0,0
5/11/2016,NSA_Bahrain,5,0,0
5/12/2016,NSA_Bahrain,1,0,0
5/13/2016,NSA_Bahrain,1,0,0
5/15/2016,NSA_Bahrain,2,0,0
5/16/2016,NSA_Bahrain,3,0,0
5/17/2016,NSA_Bahrain,2,0,1
5/18/2016,NSA_Bahrain,2,0,0
5/23/2016,NSA_Bahrain,1,0,0
5/26/2016,NSA_Bahrain,3,0,0
5/30/2016,NSA_Bahrain,1,0,0
5/31/2016,NSA_Bahrain,2,0,0
6/1/2016,NSA_Bahrain,2,0,0
6/2/2016,NSA_Bahrain,1,0,0
6/6/2016,NSA_Bahrain,3,0,0
6/7/2016,NSA_Bahrain,1,0,0
6/8/2016,NSA_Bahrain,3,0,0
6/9/2016,NSA_Bahrain,5,0,1
6/10/2016,NSA_Bahrain,1,0,0
6/13/2016,NSA_Bahrain,2,0,0
6/15/2016,NSA_Bahrain,4,0,0
6/18/2016,NSA_Bahrain,1,0,0
6/19/2016,NSA_Bahrain,2,0,0
6/20/2016,NSA_Bahrain,4,0,0
6/26/2016,NSA_Bahrain,1,0,0
6/27/2016,NSA_Bahrain,1,0,0
6/28/2016,NSA_Bahrain,4,0,2
6/29/2016,NSA_Bahrain,2,0,0
6/30/2016,NSA_Bahrain,2,0,0
7/4/2016,NSA_Bahrain,1,1,0
7/5/2016,NSA_Bahrain,1,0,0
7/6/2016,NSA_Bahrain,1,0,0
7/7/2016,NSA_Bahrain,2,1,1
7/12/2016,NSA_Bahrain,2,0,0
7/13/2016,NSA_Bahrain,4,0,0
7/17/2016,NSA_Bahrain,4,0,0
7/18/2016,NSA_Bahrain,1,0,1
7/19/2016,NSA_Bahrain,4,0,0
7/21/2016,NSA_Bahrain,2,0,0
7/25/2016,NSA_Bahrain,2,0,0
7/26/2016,NSA_Bahrain,3,0,1
7/27/2016,NSA_Bahrain,1,0,0
8/1/2016,NSA_Bahrain,2,0,0
8/3/2016,NSA_Bahrain,4,0,0
8/4/2016,NSA_Bahrain,2,0,1
8/5/2016,NSA_Bahrain,1,0,1
8/9/2016,NSA_Bahrain,1,0,0
8/10/2016,NSA_Bahrain,3,0,0
8/17/2016,NSA_Bahrain,1,0,1
8/21/2016,NSA_Bahrain,1,0,0
8/23/2016,NSA_Bahrain,1,0,1
8/24/2016,NSA_Bahrain,2,0,0
8/25/2016,NSA_Bahrain,1,0,1
8/28/2016,NSA_Bahrain,1,0,0
8/29/2016,NSA_Bahrain,1,0,0
8/30/2016,NSA_Bahrain,1,0,0
9/1/2016,NSA_Bahrain,2,0,0
9/6/2016,NSA_Bahrain,1,0,0
9/8/2016,NSA_Bahrain,5,1,3
9/11/2016,NSA_Bahrain,1,0,0
9/15/2016,NSA_Bahrain,1,0,0
9/18/2016,NSA_Bahrain,1,0,0
9/19/2016,NSA_Bahrain,3,0,0
9/22/2016,NSA_Bahrain,2,0,1
9/26/2016,NSA_Bahrain,2,0,2
9/27/2016,NSA_Bahrain,1,0,0
10/1/2016,NSA_Bahrain,2,0,0
10/2/2016,NSA_Bahrain,3,0,0
10/4/2016,NSA_Bahrain,3,0,3
10/5/2016,NSA_Bahrain,3,0,0
10/6/2016,NSA_Bahrain,3,0,0
10/12/2016,NSA_Bahrain,2,0,0
10/13/2016,NSA_Bahrain,3,0,1
10/16/2016,NSA_Bahrain,1,0,0
10/18/2016,NSA_Bahrain,1,0,0
10/19/2016,NSA_Bahrain,1,0,1
10/20/2016,NSA_Bahrain,4,0,2
10/23/2016,NSA_Bahrain,2,0,0
10/25/2016,NSA_Bahrain,4,0,0
10/26/2016,NSA_Bahrain,4,0,2
10/27/2016,NSA_Bahrain,3,0,1
10/31/2016,NSA_Bahrain,1,0,0
11/1/2016,NSA_Bahrain,3,1,0
11/6/2016,NSA_Bahrain,3,0,1
11/7/2016,NSA_Bahrain,3,0,0
11/9/2016,NSA_Bahrain,1,0,0
11/15/2016,NSA_Bahrain,3,0,1
11/17/2016,NSA_Bahrain,1,3,1
11/20/2016,NSA_Bahrain,2,1,1
11/21/2016,NSA_Bahrain,2,1,0
11/22/2016,NSA_Bahrain,3,1,2
11/24/2016,NSA_Bahrain,5,2,8
11/25/2016,NSA_Bahrain,1,0,0
11/26/2016,NSA_Bahrain,1,1,0
11/27/2016,NSA_Bahrain,2,2,0
11/28/2016,NSA_Bahrain,2,2,0
11/29/2016,NSA_Bahrain,7,1,0
12/1/2016,NSA_Bahrain,1,1,1
12/5/2016,NSA_Bahrain,2,0,0
12/6/2016,NSA_Bahrain,3,0,2
12/7/2016,NSA_Bahrain,3,0,2
12/8/2016,NSA_Bahrain,3,0,3
12/12/2016,NSA_Bahrain,2,0,0
12/14/2016,NSA_Bahrain,1,0,0
12/15/2016,NSA_Bahrain,1,0,0
12/21/2016,NSA_Bahrain,2,0,1
12/22/2016,NSA_Bahrain,1,0,0
12/28/2016,NSA_Bahrain,2,0,0
12/29/2016,NSA_Bahrain,2,0,0
1/3/2017,NSA_Bahrain,1,0,1
1/5/2017,NSA_Bahrain,1,0,1
1/9/2017,NSA_Bahrain,2,1,3
1/18/2017,NSA_Bahrain,3,0,3
1/23/2017,NSA_Bahrain,1,0,1
1/27/2017,NSA_Bahrain,1,0,1
1/29/2017,NSA_Bahrain,1,0,2
1/31/2017,NSA_Bahrain,2,1,5
2/1/2017,NSA_Bahrain,1,1,1
2/2/2017,NSA_Bahrain,1,0,1
2/5/2017,NSA_Bahrain,4,1,4
2/7/2017,NSA_Bahrain,1,0,2
2/9/2017,NSA_Bahrain,2,1,2
4/25/2019,NSA_Bahrain,1,0,2
5/7/2019,NSA_Bahrain,1,0,0
5/12/2019,NSA_Bahrain,1,1,3
5/21/2019,NSA_Bahrain,1,0,1
5/22/2019,NSA_Bahrain,1,0,1
5/23/2019,NSA_Bahrain,1,0,2
6/4/2019,NSA_Bahrain,4,0,1
6/9/2019,NSA_Bahrain,2,0,2
6/13/2019,NSA_Bahrain,1,0,1
6/17/2019,NSA_Bahrain,1,0,1
6/18/2019,NSA_Bahrain,1,1,1
6/26/2019,NSA_Bahrain,1,0,0
7/1/2019,NSA_Bahrain,1,0,0
7/4/2019,NSA_Bahrain,1,0,1
7/8/2019,NSA_Bahrain,1,0,1
7/9/2019,NSA_Bahrain,2,1,1
7/10/2019,NSA_Bahrain,1,0,1
7/11/2019,NSA_Bahrain,1,0,1
7/15/2019,NSA_Bahrain,1,0,4
7/17/2019,NSA_Bahrain,1,1,1
7/18/2019,NSA_Bahrain,1,0,1
7/29/2019,NSA_Bahrain,1,0,1
7/30/2019,NSA_Bahrain,1,0,1
8/6/2019,NSA_Bahrain,1,0,0
8/11/2019,NSA_Bahrain,1,0,1
8/19/2019,NSA_Bahrain,1,0,3
8/25/2019,NSA_Bahrain,1,0,1
8/27/2019,NSA_Bahrain,1,0,2
8/29/2019,NSA_Bahrain,1,0,1
9/11/2019,NSA_Bahrain,1,0,2
9/12/2019,NSA_Bahrain,1,0,0
10/17/2019,NSA_Bahrain,1,0,1
10/23/2019,NSA_Bahrain,1,0,0
10/24/2019,NSA_Bahrain,1,0,0
10/29/2019,NSA_Bahrain,1,0,0
10/31/2019,NSA_Bahrain,1,0,0
11/4/2019,NSA_Bahrain,1,0,2
11/12/2019,NSA_Bahrain,1,0,1
11/21/2019,NSA_Bahrain,2,0,0
11/26/2019,NSA_Bahrain,1,0,1
11/28/2019,NSA_Bahrain,1,0,1
12/11/2019,NSA_Bahrain,1,0,1
12/15/2019,NSA_Bahrain,2,1,4
12/16/2019,NSA_Bahrain,1,0,0
12/17/2019,NSA_Bahrain,1,0,3
12/25/2019,NSA_Bahrain,1,0,3
12/31/2019,NSA_Bahrain,1,0,2
