"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","971.90","965.65","990.50","965.20","-","0.74%"
"Dec 30, 2019","964.75","956.90","967.90","954.50","-","0.92%"
"Dec 29, 2019","956.00","953.15","956.50","951.90","-","0.91%"
"Dec 27, 2019","947.35","950.35","956.40","943.95","-","-0.18%"
"Dec 26, 2019","949.10","944.10","963.50","941.25","-","0.65%"
"Dec 25, 2019","943.00","945.60","947.15","941.80","-","-0.27%"
"Dec 24, 2019","945.60","932.70","948.15","929.55","-","1.40%"
"Dec 23, 2019","932.50","919.00","941.20","913.55","-","1.49%"
"Dec 22, 2019","918.85","912.25","919.00","911.60","-","0.73%"
"Dec 20, 2019","912.15","936.95","939.85","910.80","-","-2.59%"
"Dec 19, 2019","936.40","936.90","941.30","928.25","-","0.06%"
"Dec 18, 2019","935.80","929.10","938.90","925.40","-","0.73%"
"Dec 17, 2019","929.05","931.25","936.80","921.30","-","-0.23%"
"Dec 16, 2019","931.15","928.90","938.20","928.05","-","0.28%"
"Dec 15, 2019","928.55","930.60","931.10","928.30","-","-0.22%"
"Dec 13, 2019","930.60","946.45","947.50","925.00","-","-1.58%"
"Dec 12, 2019","945.50","941.40","951.40","937.30","-","0.44%"
"Dec 11, 2019","941.40","919.35","947.40","917.70","-","2.48%"
"Dec 10, 2019","918.65","896.20","926.60","895.80","-","2.50%"
"Dec 09, 2019","896.25","897.55","902.60","890.05","-","-0.21%"
"Dec 08, 2019","898.10","898.45","899.10","896.40","-","0.02%"
"Dec 06, 2019","897.90","898.00","903.55","892.85","-","-0.09%"
"Dec 05, 2019","898.70","900.00","903.80","886.50","-","-0.15%"
"Dec 04, 2019","900.05","912.40","918.35","896.75","-","-1.31%"
"Dec 03, 2019","912.00","900.50","913.95","897.55","-","1.29%"
"Dec 02, 2019","900.40","899.50","906.25","892.80","-","0.13%"
"Dec 01, 2019","899.25","898.05","899.40","896.70","-","0.13%"
"Nov 29, 2019","898.10","895.20","904.20","894.15","-","0.28%"
"Nov 28, 2019","895.55","899.40","899.60","891.00","-","-0.44%"
"Nov 27, 2019","899.50","909.90","910.50","891.30","-","-1.13%"
"Nov 26, 2019","909.80","898.40","918.85","896.40","-","1.26%"
"Nov 25, 2019","898.45","894.60","903.00","892.60","-","0.44%"
"Nov 24, 2019","894.55","893.75","895.05","891.75","-","0.09%"
