"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","13.135","12.960","13.115","12.960","0.14K","1.31%"
"Dec 30, 2019","12.965","13.055","13.085","12.930","0.84K","-0.50%"
"Dec 27, 2019","13.030","12.880","13.080","12.880","0.83K","1.20%"
"Dec 26, 2019","12.875","12.830","12.920","12.830","0.16K","-0.50%"
"Dec 24, 2019","12.940","12.890","12.960","12.885","0.23K","0.19%"
"Dec 23, 2019","12.915","12.780","12.935","12.780","0.63K","0.27%"
"Dec 20, 2019","12.880","12.770","12.895","12.745","0.84K","0.66%"
"Dec 19, 2019","12.795","12.775","12.815","12.720","0.88K","0.08%"
"Dec 18, 2019","12.785","12.680","12.800","12.610","1.23K","0.83%"
"Dec 17, 2019","12.680","12.545","12.825","12.545","1.48K","0.60%"
"Dec 16, 2019","12.605","12.495","12.635","12.495","1.01K","0.72%"
"Dec 13, 2019","12.515","12.410","12.530","12.365","1.04K","0.68%"
"Dec 12, 2019","12.430","12.415","12.450","12.370","0.81K","0.00%"
"Dec 11, 2019","12.430","12.440","12.480","12.345","0.54K","-0.16%"
"Dec 10, 2019","12.450","12.435","12.490","12.415","0.50K","0.00%"
"Dec 09, 2019","12.450","12.265","12.450","12.265","0.57K","1.14%"
"Dec 06, 2019","12.310","12.280","12.310","12.235","0.60K","0.12%"
"Dec 05, 2019","12.295","12.290","12.330","12.270","0.36K","0.00%"
"Dec 04, 2019","12.295","12.330","12.330","12.275","0.48K","-0.32%"
"Dec 03, 2019","12.335","12.455","12.460","12.305","0.98K","-1.12%"
"Dec 02, 2019","12.475","12.475","12.560","12.420","1.23K","-0.08%"
"Nov 29, 2019","12.485","12.400","12.490","12.390","0.86K","0.77%"
"Nov 27, 2019","12.390","12.240","12.400","12.200","1.07K","1.23%"
"Nov 26, 2019","12.240","12.190","12.270","12.155","0.69K","0.37%"
"Nov 25, 2019","12.195","12.145","12.240","12.140","0.40K","0.12%"
"Nov 22, 2019","12.180","12.240","12.250","12.165","0.39K","-0.53%"
"Nov 21, 2019","12.245","12.110","12.250","12.110","0.85K","1.20%"
"Nov 20, 2019","12.100","12.050","12.110","12.040","0.39K","0.08%"
"Nov 19, 2019","12.090","12.070","12.095","11.995","0.63K","0.00%"
"Nov 18, 2019","12.090","11.995","12.140","11.960","0.78K","1.68%"
"Nov 15, 2019","11.890","11.820","11.910","11.715","0.90K","0.38%"
"Nov 14, 2019","11.845","11.898","11.940","11.795","-","-0.70%"
"Nov 13, 2019","11.928","11.973","11.980","11.898","-","-0.42%"
"Nov 12, 2019","11.978","12.045","12.090","11.960","-","-0.35%"
"Nov 11, 2019","12.020","12.005","12.100","11.940","-","1.86%"
"Nov 08, 2019","11.800","11.780","11.780","11.780","0.01K","-1.90%"
"Nov 07, 2019","12.028","11.975","12.050","11.933","-","2.54%"
"Nov 06, 2019","11.730","11.730","11.730","11.700","0.01K","-2.03%"
"Nov 05, 2019","11.973","11.905","11.990","11.828","-","3.35%"
"Nov 04, 2019","11.585","11.725","11.725","11.725","0.00K","-1.19%"
"Nov 01, 2019","11.725","11.820","11.825","11.820","0.00K","-2.44%"
"Oct 31, 2019","12.018","11.980","12.080","11.958","-","2.72%"
"Oct 30, 2019","11.700","11.620","11.900","11.600","0.53K","0.47%"
"Oct 29, 2019","11.645","11.505","11.785","11.495","0.80K","0.56%"
"Oct 28, 2019","11.580","11.790","11.820","11.570","0.80K","-1.86%"
"Oct 25, 2019","11.800","11.730","11.815","11.705","0.65K","0.60%"
"Oct 24, 2019","11.730","11.675","11.760","11.660","0.81K","0.51%"
"Oct 23, 2019","11.670","11.700","11.700","11.655","0.26K","-0.26%"
"Oct 22, 2019","11.700","11.800","11.900","11.690","0.55K","-0.81%"
"Oct 21, 2019","11.795","11.910","11.910","11.755","1.00K","-0.97%"
"Oct 18, 2019","11.910","11.975","11.990","11.890","0.48K","-0.67%"
"Oct 17, 2019","11.990","12.000","12.040","11.905","0.48K","0.08%"
"Oct 16, 2019","11.980","11.880","12.080","11.825","0.64K","0.80%"
"Oct 15, 2019","11.885","11.985","12.035","11.830","0.83K","-0.88%"
"Oct 14, 2019","11.990","12.060","12.060","11.875","0.57K","-0.58%"
"Oct 11, 2019","12.060","12.010","12.075","11.975","0.71K","0.17%"
"Oct 10, 2019","12.040","12.000","12.170","12.000","0.76K","0.29%"
"Oct 09, 2019","12.005","11.840","12.050","11.840","0.77K","1.39%"
"Oct 08, 2019","11.840","11.640","11.920","11.630","1.16K","1.67%"
"Oct 07, 2019","11.645","11.645","11.735","11.620","0.81K","-0.13%"
"Oct 04, 2019","11.660","11.715","11.830","11.640","0.54K","-0.47%"
"Oct 03, 2019","11.715","11.705","11.790","11.705","0.46K","0.00%"
"Oct 02, 2019","11.715","11.870","11.870","11.685","1.42K","-1.31%"
"Oct 01, 2019","11.870","11.995","12.000","11.865","0.44K","-1.21%"
"Sep 30, 2019","12.015","12.090","12.125","11.955","0.49K","-1.15%"
"Sep 27, 2019","12.155","12.080","12.260","12.050","0.53K","0.62%"
"Sep 26, 2019","12.080","11.910","12.225","11.875","1.19K","1.56%"
"Sep 25, 2019","11.895","12.000","12.000","11.870","0.60K","-0.87%"
"Sep 24, 2019","12.000","12.020","12.055","11.970","0.63K","-0.50%"
"Sep 23, 2019","12.060","12.295","12.295","12.025","0.85K","-2.07%"
"Sep 20, 2019","12.315","12.335","12.350","12.250","0.46K","-0.40%"
"Sep 19, 2019","12.365","12.305","12.385","12.295","0.68K","0.45%"
"Sep 18, 2019","12.310","12.250","12.365","12.245","0.58K","0.29%"
"Sep 17, 2019","12.275","12.210","12.320","12.210","0.65K","0.49%"
"Sep 16, 2019","12.215","12.230","12.240","12.195","0.60K","-0.15%"
"Sep 13, 2019","12.233","12.153","12.280","12.145","-","2.50%"
"Sep 12, 2019","11.935","11.855","11.855","11.855","0.00K","0.76%"
"Sep 11, 2019","11.845","11.890","11.890","11.890","0.00K","0.68%"
"Sep 10, 2019","11.765","11.695","11.705","11.675","0.01K","0.73%"
"Sep 09, 2019","11.680","11.695","11.695","11.635","0.02K","-2.37%"
"Sep 06, 2019","11.963","11.895","11.970","11.890","-","2.34%"
"Sep 05, 2019","11.690","11.605","11.605","11.600","0.02K","-2.50%"
"Sep 04, 2019","11.990","11.980","12.010","11.855","-","0.17%"
"Sep 03, 2019","11.970","11.913","12.000","11.903","-","2.57%"
"Aug 30, 2019","11.670","11.685","11.685","11.685","0.10K","0.95%"
"Aug 29, 2019","11.560","11.355","11.620","11.335","0.65K","1.99%"
"Aug 28, 2019","11.335","11.350","11.350","11.300","0.70K","1.66%"
"Aug 27, 2019","11.150","11.200","11.200","11.125","0.69K","-0.62%"
"Aug 26, 2019","11.220","10.945","11.240","10.945","0.69K","2.19%"
"Aug 23, 2019","10.980","10.870","11.000","10.870","0.86K","1.01%"
"Aug 22, 2019","10.870","10.915","10.945","10.865","0.29K","-0.37%"
"Aug 21, 2019","10.910","10.930","10.995","10.895","0.67K","-0.64%"
"Aug 20, 2019","10.980","11.035","11.080","10.970","0.67K","-0.45%"
"Aug 19, 2019","11.030","11.205","11.225","11.025","0.53K","-1.52%"
"Aug 16, 2019","11.200","11.305","11.420","11.195","0.67K","-1.06%"
"Aug 15, 2019","11.320","11.500","11.500","11.290","0.44K","-1.57%"
"Aug 14, 2019","11.500","11.545","11.650","11.480","0.57K","0.39%"
"Aug 13, 2019","11.455","11.550","11.565","11.455","0.35K","-0.99%"
"Aug 12, 2019","11.570","11.380","11.575","11.345","0.63K","1.76%"
"Aug 09, 2019","11.370","11.370","11.395","11.320","1.03K","0.13%"
"Aug 08, 2019","11.355","11.395","11.505","11.350","1.04K","-0.13%"
"Aug 07, 2019","11.370","11.370","11.520","11.300","0.73K","0.26%"
"Aug 06, 2019","11.340","11.405","11.410","11.320","1.33K","-0.79%"
"Aug 05, 2019","11.430","11.695","11.695","11.270","1.98K","-2.35%"
"Aug 02, 2019","11.705","11.935","11.950","11.620","0.72K","-2.05%"
"Aug 01, 2019","11.950","11.930","12.000","11.860","0.47K","0.04%"
"Jul 31, 2019","11.945","12.095","12.135","11.885","0.65K","-1.24%"
"Jul 30, 2019","12.095","12.295","12.335","12.080","0.82K","-1.75%"
"Jul 29, 2019","12.310","12.160","12.345","12.150","0.74K","0.94%"
"Jul 26, 2019","12.195","12.100","12.200","12.045","0.69K","0.58%"
"Jul 25, 2019","12.125","12.030","12.150","12.030","0.70K","0.75%"
"Jul 24, 2019","12.035","11.950","12.060","11.925","0.48K","0.54%"
"Jul 23, 2019","11.970","11.945","12.030","11.845","0.34K","0.42%"
"Jul 22, 2019","11.920","11.945","12.070","11.895","0.64K","-0.21%"
"Jul 19, 2019","11.945","11.870","11.970","11.805","0.38K","0.46%"
"Jul 18, 2019","11.890","11.765","11.900","11.760","0.26K","0.63%"
"Jul 17, 2019","11.815","11.800","11.825","11.735","0.20K","0.25%"
"Jul 16, 2019","11.785","11.840","11.850","11.715","0.51K","-0.84%"
"Jul 15, 2019","11.885","11.850","11.960","11.850","0.53K","1.76%"
"Jul 12, 2019","11.680","11.630","11.630","11.605","0.03K","0.13%"
"Jul 11, 2019","11.665","11.600","11.650","11.600","0.01K","0.09%"
"Jul 10, 2019","11.655","11.620","11.670","11.600","0.01K","-1.81%"
"Jul 09, 2019","11.870","11.683","11.898","11.678","-","1.41%"
"Jul 08, 2019","11.705","11.480","11.758","11.475","-","1.76%"
"Jul 05, 2019","11.503","11.403","11.530","11.368","-","3.63%"
"Jul 03, 2019","11.100","10.980","10.980","10.980","0.00K","1.19%"
"Jul 02, 2019","10.970","11.030","11.030","10.990","0.01K","-4.92%"
"Jul 01, 2019","11.538","11.573","11.630","11.495","-","2.33%"
"Jun 28, 2019","11.275","11.205","11.300","11.150","0.12K","1.21%"
"Jun 27, 2019","11.140","11.120","11.120","11.015","0.82K","1.27%"
"Jun 26, 2019","11.000","11.070","11.125","11.000","0.45K","-0.50%"
"Jun 25, 2019","11.055","11.150","11.200","11.050","0.43K","-1.12%"
"Jun 24, 2019","11.180","11.280","11.365","11.150","0.61K","-1.02%"
"Jun 21, 2019","11.295","11.190","11.390","11.190","0.61K","0.62%"
"Jun 20, 2019","11.225","11.420","11.450","11.055","0.99K","-1.23%"
"Jun 19, 2019","11.365","11.545","11.600","11.315","0.77K","-1.73%"
"Jun 18, 2019","11.565","11.625","11.625","11.540","0.84K","-0.43%"
