"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","18.089","18.200","18.335","18.065","0.77K","-0.44%"
"Dec 30, 2019","18.169","18.090","18.175","18.015","0.27K","1.63%"
"Dec 29, 2019","17.878","17.835","17.887","17.835","-","-1.28%"
"Dec 27, 2019","18.110","18.145","18.185","17.985","0.45K","-0.25%"
"Dec 26, 2019","18.156","18.185","18.300","18.020","0.92K","1.82%"
"Dec 25, 2019","17.832","17.850","17.863","17.808","-","-1.04%"
"Dec 24, 2019","18.020","17.620","18.020","17.610","1.32K","2.00%"
"Dec 23, 2019","17.666","17.415","17.675","17.415","0.78K","2.43%"
"Dec 22, 2019","17.247","17.262","17.262","17.238","-","-0.82%"
"Dec 20, 2019","17.390","17.275","17.475","17.275","0.22K","0.40%"
"Dec 19, 2019","17.320","17.220","17.320","17.140","0.14K","0.61%"
"Dec 18, 2019","17.215","17.220","17.265","17.110","0.44K","-0.14%"
"Dec 17, 2019","17.239","17.255","17.295","17.210","0.24K","-0.24%"
"Dec 16, 2019","17.280","17.205","17.275","17.205","0.34K","1.75%"
"Dec 15, 2019","16.983","17.000","17.027","16.980","-","-1.14%"
"Dec 13, 2019","17.179","17.145","17.210","17.075","0.58K","0.35%"
"Dec 12, 2019","17.119","17.100","17.335","17.000","0.25K","0.59%"
"Dec 11, 2019","17.018","16.885","17.165","16.860","0.71K","0.86%"
"Dec 10, 2019","16.873","16.835","16.925","16.835","0.83K","0.36%"
"Dec 09, 2019","16.812","16.745","16.890","16.745","0.54K","1.05%"
"Dec 08, 2019","16.637","16.602","16.637","16.598","-","-0.75%"
"Dec 06, 2019","16.763","17.175","17.270","16.745","1.16K","-2.69%"
"Dec 05, 2019","17.227","17.115","17.240","17.070","0.97K","0.81%"
"Dec 04, 2019","17.088","17.400","17.565","17.050","0.48K","-1.92%"
"Dec 03, 2019","17.422","17.160","17.445","17.160","0.52K","1.64%"
"Dec 02, 2019","17.141","17.115","17.225","17.100","0.38K","0.46%"
"Dec 01, 2019","17.062","17.098","17.102","17.052","-","-1.27%"
"Nov 29, 2019","17.281","17.255","17.280","17.125","0.49K","1.46%"
"Nov 28, 2019","17.032","17.080","17.102","17.003","-","-1.16%"
"Nov 27, 2019","17.232","17.300","17.300","17.200","1.40K","-0.70%"
"Nov 26, 2019","17.354","17.110","17.385","17.100","2.24K","0.94%"
