"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","17,147.50","16,987.50","17,167.50","16,880.00","-","1.00%"
"Dec 30, 2019","16,977.50","17,072.50","17,095.00","16,927.50","-","-0.54%"
"Dec 27, 2019","17,070.00","17,220.00","17,222.50","16,965.00","-","-0.73%"
"Dec 24, 2019","17,195.00","17,260.00","17,277.50","17,122.50","-","-0.46%"
"Dec 23, 2019","17,275.00","17,297.50","17,362.50","17,195.00","-","-0.17%"
"Dec 20, 2019","17,305.00","17,255.00","17,327.50","17,217.50","-","0.07%"
"Dec 19, 2019","17,292.50","17,250.00","17,352.50","17,225.00","-","0.22%"
"Dec 18, 2019","17,255.00","17,340.00","17,360.00","17,152.50","-","-0.50%"
"Dec 17, 2019","17,342.50","17,172.50","17,347.50","17,157.50","-","0.95%"
"Dec 16, 2019","17,180.00","17,160.00","17,302.50","17,160.00","-","-0.09%"
"Dec 13, 2019","17,195.00","17,180.00","17,260.00","17,105.00","-","0.10%"
"Dec 12, 2019","17,177.50","17,175.00","17,252.50","16,852.50","-","0.25%"
"Dec 11, 2019","17,135.00","17,375.00","17,395.00","17,132.50","-","-1.48%"
"Dec 10, 2019","17,392.50","17,112.50","17,400.00","17,110.00","-","1.70%"
"Dec 09, 2019","17,102.50","16,975.00","17,130.00","16,975.00","-","0.38%"
"Dec 06, 2019","17,037.50","16,785.00","17,082.50","16,785.00","-","1.66%"
"Dec 05, 2019","16,760.00","16,770.00","16,835.00","16,710.00","-","0.12%"
"Dec 04, 2019","16,740.00","16,685.00","16,842.50","16,637.50","-","0.22%"
"Dec 03, 2019","16,702.50","16,532.50","16,817.50","16,507.50","-","1.03%"
"Dec 02, 2019","16,532.50","16,450.00","16,607.50","16,355.00","-","0.35%"
"Nov 29, 2019","16,475.00","16,415.00","16,482.50","16,295.00","-","0.41%"
"Nov 28, 2019","16,407.50","16,450.00","16,450.00","16,347.50","-","-0.14%"
"Nov 27, 2019","16,430.00","16,392.50","16,455.00","16,317.50","-","0.38%"
"Nov 26, 2019","16,367.50","16,435.00","16,442.50","16,345.00","-","-0.46%"
"Nov 25, 2019","16,442.50","16,375.00","16,472.50","16,295.00","-","0.43%"
"Nov 22, 2019","16,372.50","16,405.00","16,472.50","16,362.50","-","-0.02%"
"Nov 21, 2019","16,375.00","16,040.00","16,462.50","16,040.00","-","1.82%"
"Nov 20, 2019","16,082.50","15,967.50","16,147.50","15,885.00","-","0.86%"
"Nov 19, 2019","15,945.00","16,077.50","16,105.00","15,927.50","-","-0.56%"
"Nov 18, 2019","16,035.00","16,112.50","16,277.50","16,022.50","-","-0.67%"
"Nov 15, 2019","16,142.50","16,292.50","16,315.00","16,080.00","-","-1.03%"
"Nov 14, 2019","16,310.00","16,105.00","16,317.50","16,050.00","-","1.49%"
"Nov 13, 2019","16,070.00","16,310.00","16,437.50","15,987.50","-","-1.43%"
"Nov 12, 2019","16,302.50","16,550.00","16,572.50","16,260.00","-","-1.44%"
"Nov 11, 2019","16,540.00","16,727.50","16,760.00","16,520.00","-","-1.18%"
"Nov 08, 2019","16,737.50","16,605.00","16,760.00","16,577.50","-","1.07%"
"Nov 07, 2019","16,560.00","16,552.50","16,755.00","16,512.50","-","0.03%"
"Nov 06, 2019","16,555.00","16,505.00","16,562.50","16,380.00","-","0.68%"
"Nov 05, 2019","16,442.50","16,452.50","16,577.50","16,410.00","-","0.27%"
"Nov 04, 2019","16,397.50","16,650.00","16,650.00","16,397.50","-","-0.70%"
"Nov 01, 2019","16,512.50","16,565.00","16,717.50","16,422.50","-","0.18%"
"Oct 31, 2019","16,482.50","16,775.00","16,832.50","16,470.00","-","-1.32%"
"Oct 30, 2019","16,702.50","16,845.00","16,862.50","16,702.50","-","-0.83%"
"Oct 29, 2019","16,842.50","16,715.00","16,882.50","16,657.50","-","0.81%"
"Oct 28, 2019","16,707.50","16,722.50","16,912.50","16,677.50","-","-0.06%"
"Oct 25, 2019","16,717.50","16,820.00","16,855.00","16,625.00","-","-0.52%"
"Oct 24, 2019","16,805.00","16,625.00","16,810.00","16,597.50","-","1.23%"
"Oct 23, 2019","16,600.00","16,792.50","16,877.50","16,565.00","-","-1.67%"
"Oct 22, 2019","16,882.50","16,750.00","16,917.50","16,675.00","-","0.78%"
"Oct 21, 2019","16,752.50","16,825.00","16,930.00","16,617.50","-","-1.09%"
"Oct 18, 2019","16,937.50","17,115.00","17,147.50","16,635.00","-","-1.02%"
"Oct 17, 2019","17,112.50","16,855.00","17,220.00","16,817.50","-","1.42%"
"Oct 16, 2019","16,872.50","16,687.50","16,910.00","16,610.00","-","1.00%"
"Oct 15, 2019","16,705.00","16,477.50","16,732.50","16,470.00","-","1.09%"
"Oct 14, 2019","16,525.00","16,677.50","16,687.50","16,460.00","-","-0.57%"
"Oct 11, 2019","16,620.00","16,450.00","16,620.00","16,385.00","-","1.13%"
"Oct 10, 2019","16,435.00","16,412.50","16,552.50","16,345.00","-","0.31%"
"Oct 09, 2019","16,385.00","16,375.00","16,535.00","16,210.00","-","-0.02%"
"Oct 08, 2019","16,387.50","16,475.00","16,480.00","16,255.00","-","-0.18%"
"Oct 07, 2019","16,417.50","16,375.00","16,570.00","16,375.00","-","-0.26%"
"Oct 04, 2019","16,460.00","16,397.50","16,492.50","16,365.00","-","0.15%"
"Oct 03, 2019","16,435.00","16,502.50","16,612.50","16,312.50","-","-0.80%"
"Oct 02, 2019","16,567.50","16,385.00","16,622.50","16,250.00","-","1.36%"
"Oct 01, 2019","16,345.00","15,950.00","16,582.50","15,950.00","-","2.86%"
"Sep 30, 2019","15,890.00","16,127.50","16,297.50","15,887.50","-","-1.63%"
"Sep 27, 2019","16,152.50","16,415.00","16,452.50","16,082.50","-","-1.63%"
"Sep 26, 2019","16,420.00","16,625.00","16,662.50","16,282.50","-","-0.74%"
"Sep 25, 2019","16,542.50","16,575.00","16,590.00","16,462.50","-","-0.26%"
"Sep 24, 2019","16,585.00","16,580.00","16,607.50","16,430.00","-","0.21%"
"Sep 23, 2019","16,550.00","16,812.50","16,850.00","16,532.50","-","-0.79%"
"Sep 20, 2019","16,682.50","16,525.00","16,755.00","16,385.00","-","0.88%"
"Sep 19, 2019","16,537.50","16,805.00","16,897.50","16,420.00","-","-1.80%"
"Sep 18, 2019","16,840.00","16,765.00","16,927.50","16,685.00","-","0.40%"
