"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","387.75","388.25","389.75","386.25","85.10K","-0.13%"
"Dec 30, 2019","388.25","389.25","392.00","386.75","123.53K","-0.45%"
"Dec 27, 2019","390.00","388.00","391.00","388.00","85.21K","0.39%"
"Dec 26, 2019","388.50","388.00","389.00","386.50","49.93K","0.06%"
"Dec 25, 2019","388.25","388.25","388.25","388.25","-","0.19%"
"Dec 24, 2019","387.50","388.50","389.00","387.00","50.42K","-0.32%"
"Dec 23, 2019","388.75","388.00","390.25","387.25","82.26K","0.26%"
"Dec 20, 2019","387.75","386.50","389.50","386.00","85.33K","0.32%"
"Dec 19, 2019","386.50","387.00","389.00","385.00","99.13K","-0.13%"
"Dec 18, 2019","387.00","389.25","390.00","385.75","125.53K","-0.77%"
"Dec 17, 2019","390.00","387.50","390.50","386.25","118.24K","0.52%"
"Dec 16, 2019","388.00","383.50","389.50","383.25","180.90K","5.94%"
"Dec 13, 2019","366.25","373.75","374.50","366.25","0.09K","-0.20%"
"Dec 12, 2019","367.00","358.25","368.75","358.25","0.66K","2.59%"
"Dec 11, 2019","357.75","363.00","363.00","357.00","0.26K","-1.51%"
"Dec 10, 2019","363.25","365.75","367.00","362.50","0.89K","-0.68%"
"Dec 09, 2019","365.75","366.50","368.00","365.00","0.64K","-0.20%"
"Dec 06, 2019","366.50","364.75","368.75","364.75","0.96K","0.27%"
"Dec 05, 2019","365.50","368.50","369.75","365.25","3.03K","-0.88%"
"Dec 04, 2019","368.75","371.75","373.50","367.75","2.99K","-0.87%"
"Dec 03, 2019","372.00","373.75","376.25","371.50","4.94K","-0.40%"
"Dec 02, 2019","373.50","371.75","375.50","370.00","6.28K","-1.90%"
"Dec 01, 2019","380.75","380.75","380.75","380.75","-","2.56%"
"Nov 29, 2019","371.25","365.75","372.25","365.00","15.51K","-0.60%"
"Nov 28, 2019","373.50","373.50","373.50","373.50","-","2.96%"
"Nov 27, 2019","362.75","367.25","368.75","362.25","163.97K","-1.29%"
"Nov 26, 2019","367.50","369.75","370.50","367.00","207.68K","-0.81%"
"Nov 25, 2019","370.50","368.75","372.75","368.25","199.30K","0.47%"
"Nov 22, 2019","368.75","368.00","370.25","367.50","228.11K","0.07%"
"Nov 21, 2019","368.50","366.75","369.75","366.25","158.70K","0.48%"
"Nov 20, 2019","366.75","369.75","370.50","365.75","297.02K","-0.88%"
"Nov 19, 2019","370.00","367.75","373.00","367.75","202.02K","0.61%"
"Nov 18, 2019","367.75","371.00","371.75","367.50","206.27K","-0.94%"
"Nov 15, 2019","371.25","375.50","376.50","370.75","140.18K","-1.20%"
"Nov 14, 2019","375.75","375.25","377.50","374.50","144.89K","0.13%"
"Nov 13, 2019","375.25","377.00","377.75","375.00","195.98K","-0.66%"
"Nov 12, 2019","377.75","373.50","378.00","372.75","220.51K","1.21%"
"Nov 11, 2019","373.25","376.00","377.00","372.50","211.22K","-1.06%"
"Nov 08, 2019","377.25","375.25","383.75","372.50","343.77K","0.53%"
"Nov 07, 2019","375.25","379.25","380.00","373.75","219.15K","-0.92%"
"Nov 06, 2019","378.75","382.25","385.00","377.50","185.34K","-0.79%"
"Nov 05, 2019","381.75","383.25","384.75","380.50","157.13K","-0.39%"
"Nov 04, 2019","383.25","386.75","387.75","383.00","145.37K","-1.54%"
"Nov 01, 2019","389.25","389.25","391.75","386.25","151.94K","-0.19%"
"Oct 31, 2019","390.00","390.25","391.00","384.75","176.19K","-0.19%"
"Oct 30, 2019","390.75","385.75","391.25","385.25","177.03K","1.17%"
"Oct 29, 2019","386.25","383.50","387.50","382.00","153.73K","0.59%"
"Oct 28, 2019","384.00","386.00","386.50","383.25","122.79K","-0.71%"
"Oct 25, 2019","386.75","387.00","390.00","385.75","131.68K","0.00%"
"Oct 24, 2019","386.75","388.50","390.75","385.25","130.66K","-0.26%"
"Oct 23, 2019","387.75","387.75","389.50","384.00","117.56K","-0.06%"
"Oct 22, 2019","388.00","387.00","392.50","385.00","136.69K","0.19%"
"Oct 21, 2019","387.25","390.00","393.75","386.50","150.19K","-0.96%"
"Oct 18, 2019","391.00","394.00","395.75","389.75","122.01K","-0.95%"
"Oct 17, 2019","394.75","391.75","397.25","391.50","141.53K","0.77%"
"Oct 16, 2019","391.75","392.00","392.75","387.50","139.68K","-0.38%"
"Oct 15, 2019","393.25","397.00","398.50","392.50","143.68K","-1.13%"
"Oct 14, 2019","397.75","401.25","402.50","393.25","170.71K","0.00%"
"Oct 11, 2019","397.75","380.75","398.75","380.50","272.44K","4.60%"
"Oct 10, 2019","380.25","392.75","395.00","378.25","297.05K","-3.55%"
"Oct 09, 2019","394.25","395.50","397.25","393.00","140.85K","-0.38%"
"Oct 08, 2019","395.75","387.50","396.50","386.00","200.46K","2.26%"
"Oct 07, 2019","387.00","387.50","387.75","385.00","100.42K","0.58%"
"Oct 04, 2019","384.75","388.00","389.00","383.75","116.34K","-1.03%"
"Oct 03, 2019","388.75","387.00","390.75","385.50","125.49K","0.26%"
"Oct 02, 2019","387.75","390.50","391.75","385.50","158.92K","-1.21%"
"Oct 01, 2019","392.50","386.75","392.75","385.25","227.07K","1.16%"
"Sep 30, 2019","388.00","372.00","388.25","371.50","337.25K","4.44%"
"Sep 27, 2019","371.50","371.25","373.00","369.75","90.80K","-0.27%"
"Sep 26, 2019","372.50","373.50","375.75","368.25","175.42K","-0.47%"
"Sep 25, 2019","374.25","375.25","377.50","372.25","119.19K","-0.13%"
"Sep 24, 2019","374.75","372.00","376.00","370.25","144.29K","0.40%"
"Sep 23, 2019","373.25","371.25","374.50","371.00","100.44K","0.67%"
"Sep 20, 2019","370.75","372.75","374.50","369.50","133.00K","-0.54%"
"Sep 19, 2019","372.75","371.50","373.75","369.50","117.07K","0.40%"
"Sep 18, 2019","371.25","367.75","372.00","365.75","126.83K","0.88%"
"Sep 17, 2019","368.00","374.00","374.25","366.00","154.63K","-1.60%"
"Sep 16, 2019","374.00","372.00","374.75","367.50","133.44K","5.20%"
"Sep 13, 2019","355.50","358.50","358.50","358.50","0.12K","0.28%"
"Sep 12, 2019","354.50","349.75","353.75","349.50","0.15K","1.79%"
"Sep 11, 2019","348.25","349.75","349.75","344.75","0.33K","-0.07%"
"Sep 10, 2019","348.50","344.00","349.50","344.00","0.31K","2.27%"
