"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","13.42","13.54","13.56","13.39","34.74K","-0.81%"
"Dec 30, 2019","13.53","13.54","13.58","13.45","36.08K","-0.07%"
"Dec 27, 2019","13.54","13.48","13.60","13.42","44.08K","0.74%"
"Dec 26, 2019","13.44","13.37","13.53","13.36","26.10K","0.52%"
"Dec 24, 2019","13.37","13.47","13.49","13.36","23.96K","-0.59%"
"Dec 23, 2019","13.45","13.54","13.57","13.41","35.56K","-0.66%"
"Dec 20, 2019","13.54","13.55","13.59","13.47","56.53K","-0.07%"
"Dec 19, 2019","13.55","13.40","13.62","13.39","50.74K","0.89%"
"Dec 18, 2019","13.43","13.27","13.50","13.26","51.75K","1.21%"
"Dec 17, 2019","13.27","13.32","13.41","13.23","57.84K","-0.15%"
"Dec 16, 2019","13.29","13.45","13.58","13.22","92.36K","-1.56%"
"Dec 13, 2019","13.50","13.52","13.67","13.47","86.79K","-0.15%"
"Dec 12, 2019","13.52","13.38","13.55","13.34","60.83K","0.75%"
"Dec 11, 2019","13.42","13.46","13.51","13.28","81.05K","-0.30%"
"Dec 10, 2019","13.46","13.38","13.49","13.31","64.27K","0.60%"
"Dec 09, 2019","13.38","13.21","13.42","13.19","78.33K","1.52%"
"Dec 06, 2019","13.18","13.08","13.21","13.07","47.32K","0.76%"
"Dec 05, 2019","13.08","13.06","13.17","13.00","69.34K","0.15%"
"Dec 04, 2019","13.06","12.89","13.10","12.88","82.99K","1.56%"
"Dec 03, 2019","12.86","12.75","12.92","12.74","60.53K","0.86%"
"Dec 02, 2019","12.75","12.97","12.97","12.73","75.48K","-1.47%"
"Nov 29, 2019","12.94","12.80","13.01","12.78","96.22K","1.17%"
"Nov 27, 2019","12.79","12.74","12.83","12.72","47.00K","0.08%"
"Nov 26, 2019","12.78","12.80","12.89","12.66","65.45K","-0.31%"
"Nov 25, 2019","12.82","12.78","12.86","12.74","43.95K","-0.08%"
"Nov 22, 2019","12.83","12.63","12.87","12.62","70.21K","1.74%"
"Nov 21, 2019","12.61","12.74","12.77","12.57","51.64K","-1.10%"
"Nov 20, 2019","12.75","12.69","12.81","12.68","43.27K","0.47%"
"Nov 19, 2019","12.69","12.68","12.75","12.66","42.57K","-0.55%"
"Nov 18, 2019","12.76","12.73","12.80","12.60","50.10K","0.24%"
"Nov 15, 2019","12.73","12.81","12.84","12.68","54.12K","-0.62%"
"Nov 14, 2019","12.81","12.83","12.89","12.77","65.13K","-0.31%"
"Nov 13, 2019","12.85","12.62","12.91","12.57","120.56K","2.07%"
"Nov 12, 2019","12.59","12.62","12.63","12.51","44.86K","0.16%"
"Nov 11, 2019","12.57","12.56","12.67","12.46","63.07K","0.00%"
"Nov 08, 2019","12.57","12.36","12.61","12.29","71.90K","1.45%"
"Nov 07, 2019","12.39","12.56","12.56","12.35","64.45K","-1.35%"
"Nov 06, 2019","12.56","12.71","12.71","12.54","55.68K","-1.18%"
"Nov 05, 2019","12.71","12.51","12.73","12.49","76.63K","1.60%"
"Nov 04, 2019","12.51","12.48","12.57","12.44","45.60K","0.24%"
"Nov 01, 2019","12.48","12.47","12.52","12.34","54.01K","0.00%"
"Oct 31, 2019","12.48","12.42","12.52","12.31","45.91K","0.56%"
"Oct 30, 2019","12.41","12.34","12.44","12.24","38.32K","0.57%"
"Oct 29, 2019","12.34","12.53","12.55","12.28","63.35K","-1.59%"
"Oct 28, 2019","12.54","12.35","12.59","12.34","49.59K","1.54%"
"Oct 25, 2019","12.35","12.25","12.39","12.23","38.67K","0.41%"
"Oct 24, 2019","12.30","12.17","12.33","12.17","44.29K","1.23%"
"Oct 23, 2019","12.15","12.13","12.25","12.05","52.33K","-0.25%"
"Oct 22, 2019","12.18","12.27","12.28","12.10","55.28K","-0.73%"
"Oct 21, 2019","12.27","12.34","12.39","12.20","38.41K","-0.41%"
"Oct 18, 2019","12.32","12.21","12.34","12.20","45.95K","0.65%"
"Oct 17, 2019","12.24","12.34","12.46","12.21","50.96K","-0.89%"
"Oct 16, 2019","12.35","12.53","12.55","12.28","61.93K","-1.91%"
"Oct 15, 2019","12.59","12.50","12.62","12.35","59.15K","0.56%"
"Oct 14, 2019","12.52","12.44","12.59","12.43","37.72K","0.89%"
"Oct 11, 2019","12.41","12.40","12.48","12.22","59.21K","0.00%"
"Oct 10, 2019","12.41","12.39","12.48","12.32","43.38K","0.00%"
"Oct 09, 2019","12.41","12.43","12.55","12.38","36.47K","-0.40%"
"Oct 08, 2019","12.46","12.59","12.59","12.36","44.39K","-0.48%"
"Oct 07, 2019","12.52","12.71","12.71","12.31","78.96K","-1.88%"
"Oct 04, 2019","12.76","12.72","12.83","12.69","41.57K","0.16%"
"Oct 03, 2019","12.74","12.87","12.89","12.59","65.36K","-1.16%"
"Oct 02, 2019","12.89","12.88","12.93","12.78","61.83K","0.08%"
"Oct 01, 2019","12.88","12.65","12.90","12.63","75.38K","8.05%"
"Sep 30, 2019","11.92","11.51","12.02","11.51","3.28K","3.38%"
"Sep 27, 2019","11.53","11.60","11.74","11.40","24.48K","-0.86%"
"Sep 26, 2019","11.63","11.84","11.86","11.56","48.44K","-1.44%"
"Sep 25, 2019","11.80","11.50","11.84","11.48","58.99K","2.61%"
"Sep 24, 2019","11.50","11.19","11.57","11.19","75.15K","2.50%"
"Sep 23, 2019","11.22","11.10","11.25","11.10","68.88K","1.17%"
"Sep 20, 2019","11.09","11.00","11.11","10.97","67.73K","0.91%"
"Sep 19, 2019","10.99","11.01","11.10","10.92","89.44K","-0.09%"
"Sep 18, 2019","11.00","10.90","11.07","10.88","100.31K","0.55%"
"Sep 17, 2019","10.94","11.08","11.23","10.91","95.62K","-1.35%"
"Sep 16, 2019","11.09","11.08","11.34","11.04","152.37K","1.84%"
"Sep 13, 2019","10.89","10.73","10.98","10.72","134.36K","1.21%"
"Sep 12, 2019","10.76","10.80","10.83","10.68","134.28K","-0.46%"
"Sep 11, 2019","10.81","10.88","10.92","10.73","133.70K","-0.64%"
"Sep 10, 2019","10.88","10.89","11.07","10.85","113.29K","-0.37%"
"Sep 09, 2019","10.92","11.05","11.10","10.90","128.41K","-0.91%"
