Date,Handle,Total Posts,Favorites,Retweets
1/6/2016,USEmbassyManama,4,2,0
1/7/2016,USEmbassyManama,3,3,1
1/10/2016,USEmbassyManama,2,0,1
1/12/2016,USEmbassyManama,2,0,0
1/13/2016,USEmbassyManama,1,0,1
1/14/2016,USEmbassyManama,3,0,0
1/18/2016,USEmbassyManama,3,2,0
1/19/2016,USEmbassyManama,1,0,0
1/20/2016,USEmbassyManama,1,5,2
1/21/2016,USEmbassyManama,4,0,0
1/26/2016,USEmbassyManama,6,0,2
1/31/2016,USEmbassyManama,5,2,2
2/1/2016,USEmbassyManama,8,6,3
2/2/2016,USEmbassyManama,1,0,0
2/3/2016,USEmbassyManama,2,0,0
2/4/2016,USEmbassyManama,1,0,0
2/7/2016,USEmbassyManama,5,0,0
2/8/2016,USEmbassyManama,4,0,0
2/9/2016,USEmbassyManama,4,0,1
2/16/2016,USEmbassyManama,5,2,0
2/17/2016,USEmbassyManama,2,0,0
2/23/2016,USEmbassyManama,10,0,3
2/24/2016,USEmbassyManama,1,0,0
2/28/2016,USEmbassyManama,3,1,1
2/29/2016,USEmbassyManama,3,0,1
4/4/2016,USEmbassyManama,2,0,1
4/21/2016,USEmbassyManama,3,1,2
4/25/2016,USEmbassyManama,3,2,5
5/11/2016,USEmbassyManama,1,0,1
5/12/2016,USEmbassyManama,1,1,2
5/17/2016,USEmbassyManama,2,0,0
5/18/2016,USEmbassyManama,3,3,2
5/19/2016,USEmbassyManama,1,0,0
5/26/2016,USEmbassyManama,2,2,3
6/2/2016,USEmbassyManama,2,1,2
6/5/2016,USEmbassyManama,1,1,0
6/7/2016,USEmbassyManama,1,1,1
6/8/2016,USEmbassyManama,1,0,0
6/9/2016,USEmbassyManama,1,0,0
6/15/2016,USEmbassyManama,1,0,0
6/21/2016,USEmbassyManama,1,2,1
6/22/2016,USEmbassyManama,1,0,0
6/23/2016,USEmbassyManama,2,9,7
6/27/2016,USEmbassyManama,1,0,3
6/28/2016,USEmbassyManama,2,5,18
7/21/2016,USEmbassyManama,1,1,1
7/24/2016,USEmbassyManama,1,0,2
7/27/2016,USEmbassyManama,3,2,7
7/28/2016,USEmbassyManama,1,1,4
8/2/2016,USEmbassyManama,1,0,2
8/3/2016,USEmbassyManama,2,1,6
8/25/2016,USEmbassyManama,1,1,7
9/21/2016,USEmbassyManama,1,7,4
9/28/2016,USEmbassyManama,1,1,1
10/17/2016,USEmbassyManama,1,1,1
10/18/2016,USEmbassyManama,4,4,9
10/31/2016,USEmbassyManama,1,1,5
11/1/2016,USEmbassyManama,1,2,0
11/3/2016,USEmbassyManama,4,3,6
11/8/2016,USEmbassyManama,2,1,7
11/13/2016,USEmbassyManama,3,2,2
11/14/2016,USEmbassyManama,1,2,2
11/16/2016,USEmbassyManama,1,0,1
11/17/2016,USEmbassyManama,1,0,0
11/20/2016,USEmbassyManama,1,1,3
11/23/2016,USEmbassyManama,1,0,1
11/27/2016,USEmbassyManama,1,3,1
12/1/2016,USEmbassyManama,2,0,5
12/28/2016,USEmbassyManama,2,4,5
1/4/2017,USEmbassyManama,1,3,2
1/18/2017,USEmbassyManama,1,0,1
1/19/2017,USEmbassyManama,1,0,1
1/22/2017,USEmbassyManama,1,0,1
1/24/2017,USEmbassyManama,3,2,0
2/1/2017,USEmbassyManama,1,0,1
2/2/2017,USEmbassyManama,2,3,1
2/7/2017,USEmbassyManama,1,0,0
2/12/2017,USEmbassyManama,1,1,4
2/16/2017,USEmbassyManama,2,1,1
3/2/2017,USEmbassyManama,2,2,3
3/9/2017,USEmbassyManama,1,0,2
3/23/2017,USEmbassyManama,2,0,4
3/29/2017,USEmbassyManama,2,7,9
4/3/2017,USEmbassyManama,2,2,2
4/26/2017,USEmbassyManama,2,0,1
5/3/2017,USEmbassyManama,1,0,1
5/22/2017,USEmbassyManama,2,2,2
5/31/2017,USEmbassyManama,1,1,1
6/18/2017,USEmbassyManama,1,3,0
6/20/2017,USEmbassyManama,2,0,0
6/21/2017,USEmbassyManama,1,0,0
6/27/2017,USEmbassyManama,2,0,3
6/29/2017,USEmbassyManama,2,2,4
7/2/2017,USEmbassyManama,1,0,0
7/3/2017,USEmbassyManama,1,0,0
7/4/2017,USEmbassyManama,3,0,4
7/5/2017,USEmbassyManama,1,1,1
7/6/2017,USEmbassyManama,1,1,0
7/10/2017,USEmbassyManama,1,0,5
7/11/2017,USEmbassyManama,1,1,2
7/17/2017,USEmbassyManama,1,0,2
7/18/2017,USEmbassyManama,2,0,1
7/23/2017,USEmbassyManama,1,1,1
8/1/2017,USEmbassyManama,2,3,4
8/2/2017,USEmbassyManama,1,1,1
8/17/2017,USEmbassyManama,2,4,9
8/31/2017,USEmbassyManama,1,3,11
9/18/2017,USEmbassyManama,1,0,1
10/16/2017,USEmbassyManama,1,1,0
10/17/2017,USEmbassyManama,4,1,0
10/18/2017,USEmbassyManama,4,1,1
10/19/2017,USEmbassyManama,2,1,2
10/23/2017,USEmbassyManama,1,0,0
10/29/2017,USEmbassyManama,1,1,0
11/1/2017,USEmbassyManama,2,3,2
11/2/2017,USEmbassyManama,1,0,0
11/5/2017,USEmbassyManama,1,0,0
11/6/2017,USEmbassyManama,1,0,1
11/7/2017,USEmbassyManama,1,0,1
11/8/2017,USEmbassyManama,1,0,1
11/9/2017,USEmbassyManama,1,0,0
11/13/2017,USEmbassyManama,3,2,2
11/21/2017,USEmbassyManama,2,1,1
11/22/2017,USEmbassyManama,2,2,1
12/1/2017,USEmbassyManama,1,0,1
12/4/2017,USEmbassyManama,3,1,5
12/5/2017,USEmbassyManama,1,1,1
12/6/2017,USEmbassyManama,1,0,1
12/7/2017,USEmbassyManama,2,1,1
12/11/2017,USEmbassyManama,1,0,1
12/13/2017,USEmbassyManama,2,2,3
12/14/2017,USEmbassyManama,2,1,2
12/15/2017,USEmbassyManama,1,1,1
12/16/2017,USEmbassyManama,1,3,3
12/19/2017,USEmbassyManama,1,0,0
12/20/2017,USEmbassyManama,1,0,1
12/21/2017,USEmbassyManama,3,1,9
12/24/2017,USEmbassyManama,1,2,5
12/26/2017,USEmbassyManama,1,0,0
12/27/2017,USEmbassyManama,1,0,1
12/28/2017,USEmbassyManama,1,0,1
1/2/2018,USEmbassyManama,2,3,6
1/3/2018,USEmbassyManama,1,1,7
1/4/2018,USEmbassyManama,2,4,6
1/6/2018,USEmbassyManama,1,0,1
1/8/2018,USEmbassyManama,1,0,0
1/9/2018,USEmbassyManama,2,0,1
1/10/2018,USEmbassyManama,2,0,5
1/11/2018,USEmbassyManama,1,0,0
1/15/2018,USEmbassyManama,1,1,1
1/17/2018,USEmbassyManama,2,1,5
1/23/2018,USEmbassyManama,2,0,2
1/24/2018,USEmbassyManama,1,0,0
1/30/2018,USEmbassyManama,1,0,1
2/4/2018,USEmbassyManama,2,0,4
2/5/2018,USEmbassyManama,5,4,21
2/6/2018,USEmbassyManama,2,0,4
2/7/2018,USEmbassyManama,1,0,0
2/8/2018,USEmbassyManama,1,0,2
2/9/2018,USEmbassyManama,1,0,1
2/10/2018,USEmbassyManama,2,0,6
2/11/2018,USEmbassyManama,4,4,5
2/12/2018,USEmbassyManama,2,0,3
2/13/2018,USEmbassyManama,5,5,7
2/14/2018,USEmbassyManama,7,0,5
2/15/2018,USEmbassyManama,1,0,3
2/19/2018,USEmbassyManama,3,3,5
2/21/2018,USEmbassyManama,1,0,0
2/22/2018,USEmbassyManama,3,2,6
2/25/2018,USEmbassyManama,2,0,2
2/27/2018,USEmbassyManama,2,0,5
3/1/2018,USEmbassyManama,2,0,3
3/2/2018,USEmbassyManama,2,5,8
3/4/2018,USEmbassyManama,2,1,2
3/7/2018,USEmbassyManama,1,0,0
3/8/2018,USEmbassyManama,3,1,1
3/12/2018,USEmbassyManama,1,0,0
3/13/2018,USEmbassyManama,1,1,2
3/14/2018,USEmbassyManama,1,47,135
3/15/2018,USEmbassyManama,5,2,3
3/20/2018,USEmbassyManama,1,0,2
3/21/2018,USEmbassyManama,1,0,1
3/22/2018,USEmbassyManama,1,0,2
3/25/2018,USEmbassyManama,1,2,4
3/26/2018,USEmbassyManama,1,0,1
3/29/2018,USEmbassyManama,1,1,1
3/30/2018,USEmbassyManama,1,3,2
4/5/2018,USEmbassyManama,1,0,0
4/12/2018,USEmbassyManama,2,0,1
