"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","2,275.50","2,303.25","2,309.75","2,267.25","-","-1.26%"
"Dec 30, 2019","2,304.50","2,310.50","2,318.50","2,297.75","-","-0.32%"
"Dec 27, 2019","2,312.00","2,264.75","2,314.75","2,264.75","-","1.64%"
"Dec 24, 2019","2,274.75","2,283.50","2,299.75","2,266.25","-","-0.43%"
"Dec 23, 2019","2,284.50","2,345.50","2,345.50","2,282.50","-","-2.65%"
"Dec 20, 2019","2,346.75","2,331.00","2,353.75","2,317.50","-","0.73%"
"Dec 19, 2019","2,329.75","2,303.25","2,333.00","2,303.25","-","0.55%"
"Dec 18, 2019","2,317.00","2,287.75","2,319.75","2,285.75","-","1.16%"
"Dec 17, 2019","2,290.50","2,283.00","2,309.75","2,281.50","-","0.23%"
"Dec 16, 2019","2,285.25","2,257.50","2,292.50","2,246.50","-","1.21%"
"Dec 13, 2019","2,258.00","2,270.50","2,310.25","2,253.75","-","-0.12%"
"Dec 12, 2019","2,260.75","2,229.50","2,277.25","2,226.25","-","1.58%"
"Dec 11, 2019","2,225.50","2,219.75","2,241.50","2,219.75","-","0.07%"
"Dec 10, 2019","2,224.00","2,234.50","2,246.00","2,213.25","-","-0.63%"
"Dec 09, 2019","2,238.00","2,241.25","2,257.50","2,223.50","-","-0.04%"
"Dec 06, 2019","2,239.00","2,238.00","2,264.75","2,234.00","-","0.06%"
"Dec 05, 2019","2,237.75","2,253.75","2,258.25","2,217.75","-","-0.72%"
"Dec 04, 2019","2,254.00","2,211.50","2,259.75","2,210.75","-","1.88%"
"Dec 03, 2019","2,212.50","2,231.50","2,248.75","2,201.50","-","-0.78%"
"Dec 02, 2019","2,230.00","2,280.50","2,285.75","2,228.75","-","-2.01%"
"Nov 29, 2019","2,275.75","2,277.00","2,293.50","2,268.75","-","-0.12%"
"Nov 28, 2019","2,278.50","2,292.25","2,308.25","2,275.75","-","-0.68%"
"Nov 27, 2019","2,294.00","2,306.00","2,318.50","2,285.50","-","-0.63%"
"Nov 26, 2019","2,308.50","2,285.00","2,311.25","2,264.75","-","1.14%"
"Nov 25, 2019","2,282.50","2,308.50","2,325.75","2,279.25","-","-1.12%"
"Nov 22, 2019","2,308.25","2,308.50","2,316.75","2,283.25","-","-0.04%"
"Nov 21, 2019","2,309.25","2,314.00","2,322.50","2,289.75","-","-0.04%"
"Nov 20, 2019","2,310.25","2,346.50","2,356.75","2,308.25","-","-1.44%"
"Nov 19, 2019","2,344.00","2,350.75","2,358.25","2,329.00","-","-0.23%"
"Nov 18, 2019","2,349.50","2,383.00","2,394.75","2,336.75","-","-1.54%"
"Nov 15, 2019","2,386.25","2,394.00","2,412.50","2,377.50","-","-0.06%"
"Nov 14, 2019","2,387.75","2,426.25","2,433.25","2,385.75","-","-1.79%"
"Nov 13, 2019","2,431.25","2,478.00","2,478.00","2,415.75","-","-1.71%"
"Nov 12, 2019","2,473.50","2,495.00","2,518.50","2,463.25","-","-0.98%"
"Nov 11, 2019","2,498.00","2,490.00","2,499.00","2,462.50","-","0.19%"
"Nov 08, 2019","2,493.25","2,491.25","2,495.00","2,461.75","-","0.05%"
"Nov 07, 2019","2,492.00","2,476.50","2,513.75","2,462.25","-","0.69%"
"Nov 06, 2019","2,475.00","2,499.00","2,512.50","2,462.25","-","-1.05%"
"Nov 05, 2019","2,501.25","2,535.50","2,559.75","2,494.50","-","-1.26%"
"Nov 04, 2019","2,533.25","2,527.50","2,547.75","2,520.25","-","0.35%"
"Nov 01, 2019","2,524.50","2,488.25","2,528.75","2,485.00","-","1.49%"
"Oct 31, 2019","2,487.50","2,516.50","2,518.50","2,466.75","-","-1.00%"
"Oct 30, 2019","2,512.50","2,548.50","2,552.25","2,508.00","-","-1.35%"
"Oct 29, 2019","2,547.00","2,533.50","2,554.50","2,532.25","-","0.47%"
"Oct 28, 2019","2,535.00","2,508.75","2,548.75","2,508.75","-","0.85%"
"Oct 25, 2019","2,513.75","2,494.00","2,526.50","2,472.25","-","0.70%"
"Oct 24, 2019","2,496.25","2,473.25","2,502.50","2,468.50","-","0.97%"
"Oct 23, 2019","2,472.25","2,464.00","2,487.25","2,445.75","-","0.51%"
"Oct 22, 2019","2,459.75","2,467.00","2,484.75","2,456.25","-","-0.24%"
"Oct 21, 2019","2,465.75","2,449.00","2,475.75","2,438.25","-","0.48%"
"Oct 18, 2019","2,454.00","2,430.00","2,474.00","2,420.50","-","0.93%"
"Oct 17, 2019","2,431.50","2,418.25","2,449.50","2,404.50","-","0.46%"
"Oct 16, 2019","2,420.25","2,428.50","2,433.75","2,407.25","-","-0.15%"
"Oct 15, 2019","2,424.00","2,417.75","2,439.75","2,409.50","-","0.29%"
"Oct 14, 2019","2,417.00","2,424.25","2,434.25","2,393.75","-","-0.24%"
"Oct 11, 2019","2,422.75","2,374.50","2,435.50","2,364.50","-","2.28%"
"Oct 10, 2019","2,368.75","2,313.00","2,387.00","2,305.75","-","2.30%"
"Oct 09, 2019","2,315.50","2,301.00","2,317.25","2,268.25","-","1.07%"
"Oct 08, 2019","2,291.00","2,290.00","2,312.25","2,270.25","-","0.05%"
"Oct 07, 2019","2,289.75","2,313.00","2,323.25","2,286.00","-","-0.92%"
"Oct 04, 2019","2,311.00","2,284.00","2,317.75","2,282.75","-","0.83%"
"Oct 03, 2019","2,292.00","2,307.00","2,309.50","2,261.25","-","-0.40%"
"Oct 02, 2019","2,301.25","2,308.50","2,327.75","2,268.25","-","-0.25%"
"Oct 01, 2019","2,307.00","2,367.25","2,370.50","2,295.75","-","-2.50%"
"Sep 30, 2019","2,366.25","2,306.25","2,383.00","2,297.75","-","2.49%"
"Sep 27, 2019","2,308.75","2,292.00","2,323.00","2,288.00","-","0.74%"
"Sep 26, 2019","2,291.75","2,285.75","2,320.50","2,280.50","-","0.17%"
"Sep 25, 2019","2,287.75","2,278.50","2,294.00","2,260.25","-","0.32%"
"Sep 24, 2019","2,280.50","2,325.00","2,326.75","2,270.75","-","-1.84%"
"Sep 23, 2019","2,323.25","2,293.50","2,330.75","2,281.50","-","1.31%"
"Sep 20, 2019","2,293.25","2,318.75","2,331.25","2,292.50","-","-1.05%"
"Sep 19, 2019","2,317.50","2,320.25","2,330.25","2,290.50","-","-0.23%"
"Sep 18, 2019","2,322.75","2,343.50","2,357.50","2,313.50","-","-0.80%"
"Sep 17, 2019","2,341.50","2,360.00","2,364.75","2,336.25","-","-0.62%"
"Sep 16, 2019","2,356.00","2,391.00","2,404.25","2,355.50","-","-1.46%"
"Sep 13, 2019","2,391.00","2,345.00","2,394.75","2,344.50","-","2.12%"
