Date,Handle,Total Posts,Favorites,Retweets
1/1/2016,moi_bahrain,5,42,52
1/2/2016,moi_bahrain,16,940,193
1/3/2016,moi_bahrain,3,59,30
1/4/2016,moi_bahrain,5,17,29
1/5/2016,moi_bahrain,18,44,67
1/6/2016,moi_bahrain,21,113,75
1/7/2016,moi_bahrain,10,70,54
1/10/2016,moi_bahrain,5,29,33
1/11/2016,moi_bahrain,3,4,12
1/12/2016,moi_bahrain,2,5,7
1/13/2016,moi_bahrain,8,42,33
1/14/2016,moi_bahrain,4,23,20
1/15/2016,moi_bahrain,4,36,36
1/16/2016,moi_bahrain,3,19,23
1/17/2016,moi_bahrain,11,20,34
1/18/2016,moi_bahrain,6,43,35
1/19/2016,moi_bahrain,11,31,36
1/20/2016,moi_bahrain,12,31,43
1/21/2016,moi_bahrain,5,15,32
1/22/2016,moi_bahrain,6,27,32
1/23/2016,moi_bahrain,6,6,25
1/24/2016,moi_bahrain,9,50,45
1/25/2016,moi_bahrain,2,12,16
1/26/2016,moi_bahrain,8,19,35
1/27/2016,moi_bahrain,12,32,35
1/28/2016,moi_bahrain,6,27,23
1/30/2016,moi_bahrain,3,7,11
1/31/2016,moi_bahrain,5,19,29
2/1/2016,moi_bahrain,4,34,16
2/2/2016,moi_bahrain,3,6,15
2/3/2016,moi_bahrain,14,48,127
2/4/2016,moi_bahrain,11,36,55
2/7/2016,moi_bahrain,6,34,29
2/8/2016,moi_bahrain,7,12,27
2/9/2016,moi_bahrain,3,8,18
2/10/2016,moi_bahrain,9,42,45
2/11/2016,moi_bahrain,3,14,22
2/12/2016,moi_bahrain,2,39,18
2/13/2016,moi_bahrain,5,65,45
2/14/2016,moi_bahrain,2,5,11
2/15/2016,moi_bahrain,11,305,84
2/16/2016,moi_bahrain,3,17,16
2/17/2016,moi_bahrain,6,9,29
2/18/2016,moi_bahrain,11,78,50
2/19/2016,moi_bahrain,1,3,12
2/20/2016,moi_bahrain,4,9,25
2/21/2016,moi_bahrain,60,1206,623
2/22/2016,moi_bahrain,5,19,20
2/23/2016,moi_bahrain,3,18,21
2/24/2016,moi_bahrain,10,46,53
2/25/2016,moi_bahrain,16,83,70
2/26/2016,moi_bahrain,9,36,30
2/27/2016,moi_bahrain,4,35,30
2/28/2016,moi_bahrain,8,42,49
2/29/2016,moi_bahrain,6,22,53
3/1/2016,moi_bahrain,6,19,44
3/2/2016,moi_bahrain,31,2048,573
3/3/2016,moi_bahrain,8,27,43
3/4/2016,moi_bahrain,2,17,18
3/5/2016,moi_bahrain,10,86,69
3/6/2016,moi_bahrain,5,18,23
3/7/2016,moi_bahrain,2,5,11
3/8/2016,moi_bahrain,10,23,57
3/9/2016,moi_bahrain,25,257,153
3/10/2016,moi_bahrain,19,80,92
3/12/2016,moi_bahrain,7,21,47
3/13/2016,moi_bahrain,5,13,36
3/14/2016,moi_bahrain,25,610,269
3/15/2016,moi_bahrain,9,35,42
3/16/2016,moi_bahrain,19,126,100
3/17/2016,moi_bahrain,37,153,148
3/18/2016,moi_bahrain,7,32,35
3/19/2016,moi_bahrain,6,14,25
3/20/2016,moi_bahrain,4,18,16
3/21/2016,moi_bahrain,11,72,57
3/22/2016,moi_bahrain,9,28,42
3/23/2016,moi_bahrain,4,15,15
3/24/2016,moi_bahrain,7,47,63
3/25/2016,moi_bahrain,2,10,10
3/26/2016,moi_bahrain,4,35,37
3/27/2016,moi_bahrain,5,27,35
3/28/2016,moi_bahrain,4,6,16
3/29/2016,moi_bahrain,11,68,89
3/30/2016,moi_bahrain,7,27,35
3/31/2016,moi_bahrain,13,77,96
4/1/2016,moi_bahrain,3,6,13
4/2/2016,moi_bahrain,3,7,17
4/3/2016,moi_bahrain,11,40,78
4/4/2016,moi_bahrain,9,36,58
4/5/2016,moi_bahrain,9,38,71
4/6/2016,moi_bahrain,11,35,71
4/8/2016,moi_bahrain,3,16,29
4/9/2016,moi_bahrain,8,38,43
4/10/2016,moi_bahrain,7,24,41
4/11/2016,moi_bahrain,4,7,18
4/12/2016,moi_bahrain,8,49,71
4/13/2016,moi_bahrain,7,17,34
4/14/2016,moi_bahrain,4,38,46
4/15/2016,moi_bahrain,2,12,16
4/16/2016,moi_bahrain,14,448,121
4/17/2016,moi_bahrain,21,391,198
4/18/2016,moi_bahrain,10,107,62
4/19/2016,moi_bahrain,10,24,37
4/20/2016,moi_bahrain,6,25,34
4/21/2016,moi_bahrain,2,6,13
4/22/2016,moi_bahrain,4,45,51
4/23/2016,moi_bahrain,5,16,23
4/24/2016,moi_bahrain,5,31,46
4/25/2016,moi_bahrain,7,37,45
4/26/2016,moi_bahrain,5,18,37
4/27/2016,moi_bahrain,16,79,101
4/28/2016,moi_bahrain,2,11,22
4/29/2016,moi_bahrain,4,74,48
5/1/2016,moi_bahrain,6,27,48
5/2/2016,moi_bahrain,2,9,34
5/3/2016,moi_bahrain,7,14,39
5/4/2016,moi_bahrain,14,30,97
5/5/2016,moi_bahrain,5,12,42
5/6/2016,moi_bahrain,4,16,38
5/8/2016,moi_bahrain,4,48,52
5/9/2016,moi_bahrain,6,21,46
5/10/2016,moi_bahrain,6,24,64
5/11/2016,moi_bahrain,6,25,54
5/12/2016,moi_bahrain,18,56,94
5/13/2016,moi_bahrain,1,4,8
5/14/2016,moi_bahrain,4,9,28
5/15/2016,moi_bahrain,5,20,38
5/16/2016,moi_bahrain,2,13,26
5/17/2016,moi_bahrain,2,7,7
5/18/2016,moi_bahrain,4,15,39
5/19/2016,moi_bahrain,7,22,52
5/20/2016,moi_bahrain,3,27,55
5/21/2016,moi_bahrain,13,64,101
5/22/2016,moi_bahrain,6,14,43
5/23/2016,moi_bahrain,4,51,46
5/24/2016,moi_bahrain,11,39,95
5/25/2016,moi_bahrain,7,42,56
5/26/2016,moi_bahrain,5,69,77
5/27/2016,moi_bahrain,2,3,13
5/28/2016,moi_bahrain,6,10,51
5/29/2016,moi_bahrain,8,32,79
5/30/2016,moi_bahrain,7,10,53
5/31/2016,moi_bahrain,2,10,20
6/1/2016,moi_bahrain,9,28,80
6/2/2016,moi_bahrain,3,15,36
6/3/2016,moi_bahrain,14,240,169
6/4/2016,moi_bahrain,11,239,151
6/5/2016,moi_bahrain,15,77,151
6/6/2016,moi_bahrain,4,6,26
6/7/2016,moi_bahrain,2,9,20
6/8/2016,moi_bahrain,12,67,85
6/9/2016,moi_bahrain,4,32,44
6/10/2016,moi_bahrain,2,83,34
6/11/2016,moi_bahrain,6,58,66
6/12/2016,moi_bahrain,4,13,28
6/13/2016,moi_bahrain,1,10,16
6/14/2016,moi_bahrain,6,21,70
6/15/2016,moi_bahrain,7,21,49
6/16/2016,moi_bahrain,5,67,89
6/17/2016,moi_bahrain,6,35,61
6/18/2016,moi_bahrain,6,24,56
6/19/2016,moi_bahrain,6,17,59
6/20/2016,moi_bahrain,10,462,247
6/21/2016,moi_bahrain,5,86,74
6/22/2016,moi_bahrain,8,14,69
6/23/2016,moi_bahrain,2,86,59
6/25/2016,moi_bahrain,7,33,109
6/26/2016,moi_bahrain,6,42,100
6/27/2016,moi_bahrain,16,153,209
6/28/2016,moi_bahrain,4,125,66
6/30/2016,moi_bahrain,10,835,233
7/1/2016,moi_bahrain,5,75,86
7/2/2016,moi_bahrain,2,22,33
7/3/2016,moi_bahrain,3,23,42
7/4/2016,moi_bahrain,9,140,127
7/5/2016,moi_bahrain,5,18,34
7/6/2016,moi_bahrain,3,37,85
7/7/2016,moi_bahrain,1,41,29
7/8/2016,moi_bahrain,2,31,38
7/9/2016,moi_bahrain,2,2,23
7/11/2016,moi_bahrain,4,55,76
7/12/2016,moi_bahrain,3,171,95
7/13/2016,moi_bahrain,7,47,112
7/14/2016,moi_bahrain,4,92,52
7/15/2016,moi_bahrain,4,34,57
7/17/2016,moi_bahrain,5,96,86
7/18/2016,moi_bahrain,7,51,84
7/20/2016,moi_bahrain,4,6,24
7/21/2016,moi_bahrain,5,173,101
7/22/2016,moi_bahrain,6,125,103
7/23/2016,moi_bahrain,8,37,112
7/24/2016,moi_bahrain,4,33,46
7/25/2016,moi_bahrain,3,29,31
7/26/2016,moi_bahrain,7,72,75
7/27/2016,moi_bahrain,2,6,20
7/28/2016,moi_bahrain,4,18,37
7/30/2016,moi_bahrain,11,63,137
7/31/2016,moi_bahrain,8,86,97
8/1/2016,moi_bahrain,11,62,83
8/2/2016,moi_bahrain,4,86,49
8/3/2016,moi_bahrain,10,375,259
8/4/2016,moi_bahrain,2,2,12
8/5/2016,moi_bahrain,5,91,85
8/6/2016,moi_bahrain,9,60,93
8/7/2016,moi_bahrain,6,13,28
8/8/2016,moi_bahrain,8,19,46
8/9/2016,moi_bahrain,14,32,87
8/10/2016,moi_bahrain,8,49,65
8/11/2016,moi_bahrain,22,138,179
8/12/2016,moi_bahrain,4,35,53
8/13/2016,moi_bahrain,8,210,138
8/14/2016,moi_bahrain,6,40,67
8/15/2016,moi_bahrain,7,64,96
8/16/2016,moi_bahrain,4,9,47
8/17/2016,moi_bahrain,6,15,39
8/18/2016,moi_bahrain,3,12,34
8/19/2016,moi_bahrain,3,81,61
8/20/2016,moi_bahrain,1,7,13
8/21/2016,moi_bahrain,5,24,66
8/22/2016,moi_bahrain,2,4,22
8/23/2016,moi_bahrain,6,18,79
8/24/2016,moi_bahrain,31,180,304
8/25/2016,moi_bahrain,1,6,19
8/27/2016,moi_bahrain,6,43,60
8/28/2016,moi_bahrain,6,36,71
8/29/2016,moi_bahrain,11,49,108
8/30/2016,moi_bahrain,10,107,112
8/31/2016,moi_bahrain,11,22,66
9/1/2016,moi_bahrain,3,14,24
9/2/2016,moi_bahrain,4,34,57
9/3/2016,moi_bahrain,4,3,19
9/4/2016,moi_bahrain,12,65,112
9/5/2016,moi_bahrain,8,34,54
