Date,Handle,Total Posts,Favorites,Retweets
1/1/2016,bh14Feb2011,22,90,18
1/2/2016,bh14Feb2011,55,562,191
1/3/2016,bh14Feb2011,34,172,65
1/4/2016,bh14Feb2011,14,56,19
1/5/2016,bh14Feb2011,8,25,13
1/6/2016,bh14Feb2011,5,45,10
1/7/2016,bh14Feb2011,8,28,9
1/8/2016,bh14Feb2011,2,30,13
1/9/2016,bh14Feb2011,16,158,51
1/10/2016,bh14Feb2011,15,40,19
1/11/2016,bh14Feb2011,9,49,9
1/12/2016,bh14Feb2011,18,30,13
1/13/2016,bh14Feb2011,35,25,11
1/14/2016,bh14Feb2011,7,3,4
1/15/2016,bh14Feb2011,2,18,4
1/16/2016,bh14Feb2011,24,67,23
1/17/2016,bh14Feb2011,9,28,8
1/18/2016,bh14Feb2011,8,26,8
1/19/2016,bh14Feb2011,2,33,9
1/20/2016,bh14Feb2011,18,23,10
1/21/2016,bh14Feb2011,3,3,1
1/22/2016,bh14Feb2011,8,49,14
1/23/2016,bh14Feb2011,11,3,0
1/24/2016,bh14Feb2011,9,19,2
1/25/2016,bh14Feb2011,6,23,2
1/26/2016,bh14Feb2011,9,38,18
1/27/2016,bh14Feb2011,1,12,2
1/28/2016,bh14Feb2011,3,6,2
1/29/2016,bh14Feb2011,9,63,15
1/30/2016,bh14Feb2011,8,20,6
1/31/2016,bh14Feb2011,10,19,5
2/1/2016,bh14Feb2011,11,6,4
2/2/2016,bh14Feb2011,13,39,11
2/3/2016,bh14Feb2011,15,62,9
2/4/2016,bh14Feb2011,13,33,11
2/5/2016,bh14Feb2011,12,47,9
2/6/2016,bh14Feb2011,39,172,55
2/7/2016,bh14Feb2011,11,7,4
2/8/2016,bh14Feb2011,5,19,2
2/9/2016,bh14Feb2011,8,7,2
2/10/2016,bh14Feb2011,22,43,16
2/11/2016,bh14Feb2011,35,260,78
2/12/2016,bh14Feb2011,82,310,104
2/13/2016,bh14Feb2011,100,166,44
2/14/2016,bh14Feb2011,107,261,89
2/15/2016,bh14Feb2011,13,48,14
2/16/2016,bh14Feb2011,15,84,22
2/17/2016,bh14Feb2011,17,60,14
2/18/2016,bh14Feb2011,8,34,7
2/19/2016,bh14Feb2011,7,35,13
2/20/2016,bh14Feb2011,6,59,11
2/21/2016,bh14Feb2011,17,70,17
2/22/2016,bh14Feb2011,6,36,12
2/23/2016,bh14Feb2011,4,11,4
2/24/2016,bh14Feb2011,9,32,2
2/25/2016,bh14Feb2011,5,4,2
2/26/2016,bh14Feb2011,30,106,28
2/27/2016,bh14Feb2011,20,62,24
2/28/2016,bh14Feb2011,9,43,10
2/29/2016,bh14Feb2011,9,13,2
3/1/2016,bh14Feb2011,14,37,10
3/2/2016,bh14Feb2011,18,40,7
3/3/2016,bh14Feb2011,2,3,0
3/4/2016,bh14Feb2011,17,83,17
3/5/2016,bh14Feb2011,7,6,2
3/6/2016,bh14Feb2011,10,26,15
3/7/2016,bh14Feb2011,19,44,13
3/8/2016,bh14Feb2011,7,17,4
