Date,Handle,Total Posts,Favorites,Retweets
1/1/2016,bna_ar,4,9,12
1/2/2016,bna_ar,9,192,52
1/3/2016,bna_ar,13,56,20
1/4/2016,bna_ar,24,860,205
1/5/2016,bna_ar,29,180,78
1/6/2016,bna_ar,31,173,79
1/7/2016,bna_ar,26,24,47
1/8/2016,bna_ar,6,13,12
1/9/2016,bna_ar,5,6,7
1/10/2016,bna_ar,21,37,34
1/11/2016,bna_ar,24,39,25
1/12/2016,bna_ar,29,31,35
1/13/2016,bna_ar,17,20,17
1/14/2016,bna_ar,20,13,16
1/15/2016,bna_ar,4,5,4
1/16/2016,bna_ar,21,12,19
1/17/2016,bna_ar,28,14,19
1/18/2016,bna_ar,21,16,16
1/19/2016,bna_ar,11,17,9
1/20/2016,bna_ar,12,10,13
1/21/2016,bna_ar,39,15,46
1/22/2016,bna_ar,16,12,13
1/23/2016,bna_ar,22,14,14
1/24/2016,bna_ar,35,18,53
1/25/2016,bna_ar,36,44,50
1/26/2016,bna_ar,42,46,56
1/27/2016,bna_ar,32,32,29
1/28/2016,bna_ar,30,9,45
1/29/2016,bna_ar,12,15,27
1/30/2016,bna_ar,29,22,21
1/31/2016,bna_ar,34,15,22
2/1/2016,bna_ar,46,27,37
2/2/2016,bna_ar,50,13,15
2/3/2016,bna_ar,51,30,20
2/4/2016,bna_ar,46,24,85
2/5/2016,bna_ar,16,145,44
2/6/2016,bna_ar,29,25,39
2/7/2016,bna_ar,35,49,55
2/8/2016,bna_ar,29,28,44
2/9/2016,bna_ar,29,82,30
2/10/2016,bna_ar,27,16,18
2/11/2016,bna_ar,21,15,21
2/12/2016,bna_ar,10,13,10
2/13/2016,bna_ar,34,26,21
2/14/2016,bna_ar,52,51,99
2/15/2016,bna_ar,31,38,75
2/16/2016,bna_ar,29,84,35
2/17/2016,bna_ar,24,18,54
2/18/2016,bna_ar,36,17,48
2/19/2016,bna_ar,15,16,14
2/20/2016,bna_ar,17,22,39
2/21/2016,bna_ar,44,39,40
2/22/2016,bna_ar,45,28,79
2/23/2016,bna_ar,49,51,65
2/24/2016,bna_ar,36,41,31
2/25/2016,bna_ar,18,11,16
2/26/2016,bna_ar,25,83,32
2/27/2016,bna_ar,22,22,22
2/28/2016,bna_ar,29,30,17
2/29/2016,bna_ar,28,35,34
3/1/2016,bna_ar,38,25,69
3/2/2016,bna_ar,35,50,18
3/3/2016,bna_ar,23,19,22
3/4/2016,bna_ar,17,59,27
3/5/2016,bna_ar,25,25,48
3/6/2016,bna_ar,25,18,23
3/7/2016,bna_ar,55,73,20
3/8/2016,bna_ar,32,25,24
3/9/2016,bna_ar,28,18,17
3/10/2016,bna_ar,44,90,68
3/11/2016,bna_ar,10,28,14
3/12/2016,bna_ar,34,41,35
3/13/2016,bna_ar,38,35,32
3/14/2016,bna_ar,36,34,39
3/15/2016,bna_ar,29,23,34
3/16/2016,bna_ar,42,26,48
3/17/2016,bna_ar,59,50,37
3/18/2016,bna_ar,14,6,8
3/19/2016,bna_ar,42,34,46
3/20/2016,bna_ar,29,20,23
3/21/2016,bna_ar,31,27,20
3/22/2016,bna_ar,34,22,57
3/23/2016,bna_ar,65,53,57
3/24/2016,bna_ar,30,23,39
3/25/2016,bna_ar,12,12,13
3/26/2016,bna_ar,35,41,22
3/27/2016,bna_ar,48,33,20
3/28/2016,bna_ar,67,30,61
3/29/2016,bna_ar,27,27,19
3/30/2016,bna_ar,27,19,12
3/31/2016,bna_ar,21,12,28
4/1/2016,bna_ar,13,9,16
4/2/2016,bna_ar,18,11,19
4/3/2016,bna_ar,60,60,67
4/4/2016,bna_ar,19,7,21
4/5/2016,bna_ar,29,39,26
4/6/2016,bna_ar,42,51,54
4/7/2016,bna_ar,35,29,29
4/8/2016,bna_ar,1,0,0
4/9/2016,bna_ar,29,23,13
4/10/2016,bna_ar,33,34,40
4/11/2016,bna_ar,25,14,21
4/12/2016,bna_ar,49,33,42
4/13/2016,bna_ar,39,27,44
4/14/2016,bna_ar,27,19,14
4/15/2016,bna_ar,8,2,5
4/16/2016,bna_ar,20,91,41
4/17/2016,bna_ar,56,26,67
4/18/2016,bna_ar,51,284,84
4/19/2016,bna_ar,40,43,49
4/20/2016,bna_ar,36,15,22
4/21/2016,bna_ar,40,29,23
4/22/2016,bna_ar,4,4,8
4/23/2016,bna_ar,16,21,24
4/24/2016,bna_ar,43,23,33
4/25/2016,bna_ar,52,51,35
4/26/2016,bna_ar,44,50,67
4/27/2016,bna_ar,49,40,30
4/28/2016,bna_ar,30,22,23
4/29/2016,bna_ar,13,28,32
4/30/2016,bna_ar,32,13,29
5/1/2016,bna_ar,26,13,31
5/2/2016,bna_ar,44,34,28
5/3/2016,bna_ar,43,14,23
5/4/2016,bna_ar,36,17,45
5/5/2016,bna_ar,29,12,34
5/6/2016,bna_ar,8,2,15
5/7/2016,bna_ar,23,23,36
5/8/2016,bna_ar,27,13,9
5/9/2016,bna_ar,50,110,46
5/10/2016,bna_ar,48,65,64
5/11/2016,bna_ar,34,26,37
5/12/2016,bna_ar,22,54,42
5/13/2016,bna_ar,5,8,10
5/14/2016,bna_ar,17,9,15
5/15/2016,bna_ar,35,16,23
5/16/2016,bna_ar,25,23,18
5/17/2016,bna_ar,34,20,19
5/18/2016,bna_ar,38,11,24
5/19/2016,bna_ar,11,8,5
5/20/2016,bna_ar,15,18,29
5/21/2016,bna_ar,23,36,37
5/22/2016,bna_ar,33,30,24
5/23/2016,bna_ar,33,20,18
5/24/2016,bna_ar,45,19,19
5/25/2016,bna_ar,42,31,22
5/26/2016,bna_ar,34,30,19
5/27/2016,bna_ar,12,13,8
5/28/2016,bna_ar,35,26,20
5/29/2016,bna_ar,28,23,29
5/30/2016,bna_ar,53,40,29
5/31/2016,bna_ar,30,74,144
6/1/2016,bna_ar,30,15,49
6/2/2016,bna_ar,20,8,40
6/3/2016,bna_ar,10,47,49
6/4/2016,bna_ar,29,39,50
6/5/2016,bna_ar,48,53,105
6/6/2016,bna_ar,17,14,50
6/7/2016,bna_ar,21,6,34
6/8/2016,bna_ar,21,12,38
6/9/2016,bna_ar,19,15,67
