Date,Handle,Total Posts,Favorites,Retweets
1/1/2016,COALITION14,86,913,182
1/2/2016,COALITION14,106,1420,491
1/3/2016,COALITION14,74,703,220
1/4/2016,COALITION14,68,741,259
1/5/2016,COALITION14,67,526,175
1/6/2016,COALITION14,51,369,102
1/7/2016,COALITION14,33,260,95
1/8/2016,COALITION14,90,625,237
1/9/2016,COALITION14,45,410,107
1/10/2016,COALITION14,22,196,56
1/11/2016,COALITION14,44,346,93
1/12/2016,COALITION14,30,240,70
1/13/2016,COALITION14,40,310,107
1/14/2016,COALITION14,34,340,88
1/15/2016,COALITION14,59,306,101
1/16/2016,COALITION14,22,196,23
1/17/2016,COALITION14,26,205,30
1/18/2016,COALITION14,34,304,70
1/19/2016,COALITION14,35,235,46
1/20/2016,COALITION14,45,287,68
1/21/2016,COALITION14,65,362,107
1/22/2016,COALITION14,70,422,95
1/23/2016,COALITION14,45,319,32
1/24/2016,COALITION14,35,217,46
1/25/2016,COALITION14,43,349,53
1/26/2016,COALITION14,40,253,51
1/27/2016,COALITION14,37,193,35
1/28/2016,COALITION14,42,225,37
1/29/2016,COALITION14,52,323,99
1/30/2016,COALITION14,37,271,59
1/31/2016,COALITION14,75,502,177
2/1/2016,COALITION14,37,249,59
2/2/2016,COALITION14,48,236,38
2/3/2016,COALITION14,42,211,49
2/4/2016,COALITION14,56,192,78
2/5/2016,COALITION14,52,252,33
2/6/2016,COALITION14,47,238,96
2/7/2016,COALITION14,42,118,46
2/8/2016,COALITION14,72,348,95
2/9/2016,COALITION14,56,240,56
2/10/2016,COALITION14,57,274,62
2/11/2016,COALITION14,114,682,170
2/12/2016,COALITION14,143,1079,226
2/13/2016,COALITION14,165,1409,365
2/14/2016,COALITION14,199,2046,692
2/15/2016,COALITION14,35,223,52
2/16/2016,COALITION14,40,178,61
2/17/2016,COALITION14,53,335,104
2/18/2016,COALITION14,36,181,49
2/19/2016,COALITION14,63,362,59
2/20/2016,COALITION14,39,216,50
2/21/2016,COALITION14,16,90,29
2/22/2016,COALITION14,40,239,57
2/23/2016,COALITION14,39,269,67
2/24/2016,COALITION14,30,160,35
2/25/2016,COALITION14,41,244,58
2/26/2016,COALITION14,59,374,95
2/27/2016,COALITION14,49,319,64
2/28/2016,COALITION14,40,263,62
2/29/2016,COALITION14,28,180,63
3/1/2016,COALITION14,48,241,69
3/2/2016,COALITION14,47,225,73
3/3/2016,COALITION14,55,268,68
3/4/2016,COALITION14,43,178,53
3/5/2016,COALITION14,36,189,39
3/6/2016,COALITION14,42,224,69
3/7/2016,COALITION14,57,379,65
3/8/2016,COALITION14,43,199,60
3/9/2016,COALITION14,35,222,62
3/10/2016,COALITION14,47,248,52
3/11/2016,COALITION14,54,221,72
3/12/2016,COALITION14,49,303,43
3/13/2016,COALITION14,72,361,61
3/14/2016,COALITION14,99,512,100
3/15/2016,COALITION14,45,182,47
3/16/2016,COALITION14,63,506,95
3/17/2016,COALITION14,53,254,77
3/18/2016,COALITION14,57,260,65
3/19/2016,COALITION14,38,255,49
3/20/2016,COALITION14,42,230,61
3/21/2016,COALITION14,32,166,45
3/22/2016,COALITION14,59,288,76
