Date,Handle,Total Posts,Favorites,Retweets
1/1/2016,DurazYouth,36,109,41
1/2/2016,DurazYouth,42,330,119
1/3/2016,DurazYouth,47,225,89
1/4/2016,DurazYouth,15,53,26
1/5/2016,DurazYouth,13,44,13
1/6/2016,DurazYouth,34,145,49
1/7/2016,DurazYouth,22,18,9
1/8/2016,DurazYouth,34,115,36
1/9/2016,DurazYouth,3,12,3
1/10/2016,DurazYouth,18,115,24
1/11/2016,DurazYouth,8,53,20
1/12/2016,DurazYouth,10,66,16
1/13/2016,DurazYouth,13,49,13
1/14/2016,DurazYouth,31,97,24
1/15/2016,DurazYouth,9,22,1
1/16/2016,DurazYouth,16,102,23
1/17/2016,DurazYouth,13,35,13
1/18/2016,DurazYouth,16,53,13
1/19/2016,DurazYouth,16,27,7
1/20/2016,DurazYouth,10,42,8
1/21/2016,DurazYouth,24,38,6
1/22/2016,DurazYouth,13,30,5
1/23/2016,DurazYouth,2,9,2
1/24/2016,DurazYouth,8,34,8
1/25/2016,DurazYouth,14,27,9
1/26/2016,DurazYouth,52,120,40
1/27/2016,DurazYouth,2,7,4
1/28/2016,DurazYouth,3,9,2
1/29/2016,DurazYouth,17,43,12
1/30/2016,DurazYouth,11,17,4
1/31/2016,DurazYouth,23,48,18
2/1/2016,DurazYouth,4,10,4
2/2/2016,DurazYouth,18,55,20
2/3/2016,DurazYouth,18,29,17
2/4/2016,DurazYouth,14,32,6
2/5/2016,DurazYouth,3,4,2
2/6/2016,DurazYouth,9,60,7
2/7/2016,DurazYouth,5,7,2
2/8/2016,DurazYouth,10,32,8
2/9/2016,DurazYouth,11,18,7
2/10/2016,DurazYouth,12,32,6
2/11/2016,DurazYouth,33,73,26
2/12/2016,DurazYouth,37,179,35
2/13/2016,DurazYouth,46,242,40
2/14/2016,DurazYouth,46,274,79
2/15/2016,DurazYouth,11,61,25
2/16/2016,DurazYouth,11,37,7
2/17/2016,DurazYouth,24,100,21
2/18/2016,DurazYouth,13,31,5
2/19/2016,DurazYouth,10,35,7
2/20/2016,DurazYouth,9,34,15
2/21/2016,DurazYouth,8,18,10
2/22/2016,DurazYouth,14,102,28
2/23/2016,DurazYouth,14,70,25
2/24/2016,DurazYouth,14,27,6
2/25/2016,DurazYouth,20,66,9
2/26/2016,DurazYouth,71,236,74
2/27/2016,DurazYouth,24,63,15
2/28/2016,DurazYouth,25,67,7
2/29/2016,DurazYouth,8,23,3
3/1/2016,DurazYouth,12,33,17
3/2/2016,DurazYouth,24,82,9
3/3/2016,DurazYouth,10,31,3
3/4/2016,DurazYouth,5,10,4
3/5/2016,DurazYouth,17,84,29
3/6/2016,DurazYouth,17,47,18
3/7/2016,DurazYouth,26,55,14
3/8/2016,DurazYouth,16,18,8
3/9/2016,DurazYouth,8,21,5
3/10/2016,DurazYouth,36,89,28
3/11/2016,DurazYouth,1,1,1
3/12/2016,DurazYouth,15,31,6
3/13/2016,DurazYouth,51,164,37
3/14/2016,DurazYouth,6,25,2
3/15/2016,DurazYouth,20,47,9
3/16/2016,DurazYouth,13,32,13
3/17/2016,DurazYouth,28,37,8
3/18/2016,DurazYouth,9,16,6
3/19/2016,DurazYouth,20,47,22
3/20/2016,DurazYouth,17,52,9
3/21/2016,DurazYouth,15,38,13
3/22/2016,DurazYouth,35,61,22
3/23/2016,DurazYouth,18,27,5
3/24/2016,DurazYouth,31,68,18
3/25/2016,DurazYouth,28,45,15
3/26/2016,DurazYouth,52,87,36
3/27/2016,DurazYouth,29,40,13
3/28/2016,DurazYouth,18,22,11
3/29/2016,DurazYouth,8,17,1
3/30/2016,DurazYouth,41,91,25
3/31/2016,DurazYouth,43,80,13
4/1/2016,DurazYouth,23,55,14
4/2/2016,DurazYouth,40,95,22
4/3/2016,DurazYouth,13,32,5
4/4/2016,DurazYouth,10,66,22
4/5/2016,DurazYouth,21,80,28
4/6/2016,DurazYouth,24,69,27
4/7/2016,DurazYouth,16,24,4
4/8/2016,DurazYouth,23,37,15
4/9/2016,DurazYouth,24,44,11
4/10/2016,DurazYouth,21,63,15
4/11/2016,DurazYouth,9,17,4
4/12/2016,DurazYouth,24,46,22
4/13/2016,DurazYouth,15,43,10
4/14/2016,DurazYouth,20,26,12
4/15/2016,DurazYouth,20,43,19
4/16/2016,DurazYouth,27,99,35
4/17/2016,DurazYouth,10,28,10
4/18/2016,DurazYouth,18,43,14
4/19/2016,DurazYouth,12,23,10
4/20/2016,DurazYouth,9,26,8
4/21/2016,DurazYouth,28,57,18
4/22/2016,DurazYouth,13,50,23
4/23/2016,DurazYouth,28,73,23
