Date,Handle,Total Posts,Favorites,Retweets
1/1/2016,khalidalkhalifa,3,487,148
1/2/2016,khalidalkhalifa,4,4097,820
1/3/2016,khalidalkhalifa,4,3420,598
1/4/2016,khalidalkhalifa,1,796,202
1/5/2016,khalidalkhalifa,2,353,187
1/15/2016,khalidalkhalifa,2,1117,277
1/19/2016,khalidalkhalifa,1,134,40
1/20/2016,khalidalkhalifa,1,43,24
1/21/2016,khalidalkhalifa,2,183,166
1/25/2016,khalidalkhalifa,1,132,58
1/26/2016,khalidalkhalifa,3,39,36
1/28/2016,khalidalkhalifa,1,61,54
1/29/2016,khalidalkhalifa,2,336,128
1/31/2016,khalidalkhalifa,1,0,5
2/2/2016,khalidalkhalifa,1,15,8
2/18/2016,khalidalkhalifa,1,31,28
2/19/2016,khalidalkhalifa,3,2638,705
2/22/2016,khalidalkhalifa,1,269,74
2/26/2016,khalidalkhalifa,4,266,130
2/28/2016,khalidalkhalifa,2,471,239
2/29/2016,khalidalkhalifa,2,125,70
4/1/2016,khalidalkhalifa,1,127,100
4/3/2016,khalidalkhalifa,1,123,76
4/5/2016,khalidalkhalifa,3,147,118
4/7/2016,khalidalkhalifa,1,54,59
4/8/2016,khalidalkhalifa,3,17,25
4/16/2016,khalidalkhalifa,1,730,237
4/17/2016,khalidalkhalifa,1,132,133
4/19/2016,khalidalkhalifa,6,746,444
4/20/2016,khalidalkhalifa,1,3,9
4/22/2016,khalidalkhalifa,1,12,20
4/23/2016,khalidalkhalifa,2,326,255
4/25/2016,khalidalkhalifa,3,1321,711
4/27/2016,khalidalkhalifa,1,88,114
5/3/2016,khalidalkhalifa,1,99,112
5/6/2016,khalidalkhalifa,1,48,63
5/15/2016,khalidalkhalifa,2,134,142
5/19/2016,khalidalkhalifa,1,101,96
5/21/2016,khalidalkhalifa,1,19,48
5/27/2016,khalidalkhalifa,1,1134,472
5/31/2016,khalidalkhalifa,2,200,134
6/1/2016,khalidalkhalifa,2,408,154
6/2/2016,khalidalkhalifa,16,493,343
6/3/2016,khalidalkhalifa,2,430,160
6/4/2016,khalidalkhalifa,2,90,87
6/5/2016,khalidalkhalifa,5,360,366
6/7/2016,khalidalkhalifa,2,228,125
6/9/2016,khalidalkhalifa,1,53,52
6/11/2016,khalidalkhalifa,1,0,5
6/12/2016,khalidalkhalifa,2,35,47
6/13/2016,khalidalkhalifa,1,415,267
6/16/2016,khalidalkhalifa,7,766,559
6/18/2016,khalidalkhalifa,1,334,209
6/23/2016,khalidalkhalifa,4,2564,867
6/25/2016,khalidalkhalifa,9,1148,814
6/28/2016,khalidalkhalifa,1,328,153
6/29/2016,khalidalkhalifa,1,124,64
6/30/2016,khalidalkhalifa,1,240,128
7/1/2016,khalidalkhalifa,2,111,112
7/2/2016,khalidalkhalifa,1,28,56
7/3/2016,khalidalkhalifa,1,79,94
7/4/2016,khalidalkhalifa,1,460,234
7/5/2016,khalidalkhalifa,1,721,271
7/6/2016,khalidalkhalifa,1,113,188
7/7/2016,khalidalkhalifa,2,1278,518
7/8/2016,khalidalkhalifa,2,212,213
7/9/2016,khalidalkhalifa,1,184,89
7/10/2016,khalidalkhalifa,3,124,143
7/11/2016,khalidalkhalifa,1,6,16
7/12/2016,khalidalkhalifa,1,91,55
7/15/2016,khalidalkhalifa,25,2656,984
7/16/2016,khalidalkhalifa,17,477,403
7/17/2016,khalidalkhalifa,1,18,31
7/18/2016,khalidalkhalifa,2,470,309
7/22/2016,khalidalkhalifa,3,140,151
7/24/2016,khalidalkhalifa,1,11,31
7/26/2016,khalidalkhalifa,2,142,198
7/31/2016,khalidalkhalifa,1,33,64
8/22/2016,khalidalkhalifa,1,17,38
9/2/2016,khalidalkhalifa,1,84,112
9/7/2016,khalidalkhalifa,2,955,424
9/9/2016,khalidalkhalifa,1,55,91
9/11/2016,khalidalkhalifa,1,94,99
9/13/2016,khalidalkhalifa,3,1618,757
9/29/2016,khalidalkhalifa,2,1287,636
9/30/2016,khalidalkhalifa,2,306,227
10/6/2016,khalidalkhalifa,2,129,219
10/11/2016,khalidalkhalifa,1,88,79
10/13/2016,khalidalkhalifa,2,43,79
10/16/2016,khalidalkhalifa,2,191,190
10/23/2016,khalidalkhalifa,1,237,164
10/24/2016,khalidalkhalifa,1,391,371
10/28/2016,khalidalkhalifa,2,1736,623
10/29/2016,khalidalkhalifa,1,29,57
10/30/2016,khalidalkhalifa,1,104,92
11/3/2016,khalidalkhalifa,1,116,113
11/8/2016,khalidalkhalifa,1,314,155
11/9/2016,khalidalkhalifa,3,170,189
11/16/2016,khalidalkhalifa,1,382,265
11/22/2016,khalidalkhalifa,2,1236,1141
11/24/2016,khalidalkhalifa,8,200,210
11/25/2016,khalidalkhalifa,10,511,464
11/26/2016,khalidalkhalifa,4,147,217
11/27/2016,khalidalkhalifa,1,57,70
11/28/2016,khalidalkhalifa,2,105,92
12/1/2016,khalidalkhalifa,3,280,261
12/3/2016,khalidalkhalifa,1,111,142
12/8/2016,khalidalkhalifa,7,921,669
12/11/2016,khalidalkhalifa,3,130,138
12/14/2016,khalidalkhalifa,3,167,214
12/15/2016,khalidalkhalifa,5,248,257
12/16/2016,khalidalkhalifa,2,271,369
12/17/2016,khalidalkhalifa,2,128,170
12/18/2016,khalidalkhalifa,1,123,97
12/25/2016,khalidalkhalifa,1,38,65
12/26/2016,khalidalkhalifa,1,428,327
12/31/2016,khalidalkhalifa,4,214,261
1/1/2017,khalidalkhalifa,2,18,31
1/2/2017,khalidalkhalifa,3,28,61
1/5/2017,khalidalkhalifa,1,40,61
1/8/2017,khalidalkhalifa,8,620,961
1/10/2017,khalidalkhalifa,2,777,505
1/11/2017,khalidalkhalifa,1,281,334
1/12/2017,khalidalkhalifa,1,30,62
1/13/2017,khalidalkhalifa,1,32,73
1/15/2017,khalidalkhalifa,2,174,175
1/16/2017,khalidalkhalifa,1,2193,980
1/17/2017,khalidalkhalifa,3,1413,724
1/18/2017,khalidalkhalifa,2,895,537
1/19/2017,khalidalkhalifa,4,56,120
1/20/2017,khalidalkhalifa,1,39,53
1/21/2017,khalidalkhalifa,6,27,58
1/22/2017,khalidalkhalifa,11,43,126
1/24/2017,khalidalkhalifa,3,29,88
1/26/2017,khalidalkhalifa,1,13,33
1/27/2017,khalidalkhalifa,1,18,36
1/28/2017,khalidalkhalifa,1,180,224
1/29/2017,khalidalkhalifa,3,663,368
2/4/2017,khalidalkhalifa,1,7,29
2/5/2017,khalidalkhalifa,3,54,96
2/6/2017,khalidalkhalifa,3,23,72
2/7/2017,khalidalkhalifa,1,1,23
2/9/2017,khalidalkhalifa,2,769,567
2/10/2017,khalidalkhalifa,1,6,27
2/12/2017,khalidalkhalifa,3,212,290
2/13/2017,khalidalkhalifa,2,218,233
2/15/2017,khalidalkhalifa,2,107,186
2/28/2017,khalidalkhalifa,1,52,93
3/2/2017,khalidalkhalifa,2,49,111
3/6/2017,khalidalkhalifa,1,114,152
3/30/2017,khalidalkhalifa,1,918,481
4/18/2017,khalidalkhalifa,1,27,60
4/21/2017,khalidalkhalifa,2,196,255
5/7/2017,khalidalkhalifa,1,34,61
5/11/2017,khalidalkhalifa,1,29,56
5/21/2017,khalidalkhalifa,2,475,313
5/22/2017,khalidalkhalifa,3,492,273
5/23/2017,khalidalkhalifa,7,3924,2209
5/24/2017,khalidalkhalifa,2,121,185
5/25/2017,khalidalkhalifa,7,2308,1244
5/26/2017,khalidalkhalifa,7,466,753
6/2/2017,khalidalkhalifa,1,7,38
