Date,Handle,Total Posts,Favorites,Retweets
1/2/2016,khamenei_ir,1,485,718
1/3/2016,khamenei_ir,7,1136,1394
1/4/2016,khamenei_ir,9,409,833
1/5/2016,khamenei_ir,7,303,809
1/9/2016,khamenei_ir,7,449,916
1/11/2016,khamenei_ir,1,41,242
1/13/2016,khamenei_ir,3,243,648
1/19/2016,khamenei_ir,6,244,528
1/20/2016,khamenei_ir,12,545,1157
1/22/2016,khamenei_ir,3,80,256
1/23/2016,khamenei_ir,12,834,1544
1/24/2016,khamenei_ir,5,437,760
1/26/2016,khamenei_ir,5,206,750
1/30/2016,khamenei_ir,3,186,615
1/31/2016,khamenei_ir,1,113,276
2/2/2016,khamenei_ir,6,162,567
2/3/2016,khamenei_ir,6,262,603
2/4/2016,khamenei_ir,1,46,135
2/5/2016,khamenei_ir,6,190,597
2/6/2016,khamenei_ir,1,61,194
2/8/2016,khamenei_ir,17,729,1528
2/10/2016,khamenei_ir,2,70,250
2/11/2016,khamenei_ir,1,48,145
2/13/2016,khamenei_ir,2,93,359
2/14/2016,khamenei_ir,10,483,745
2/15/2016,khamenei_ir,1,44,85
2/16/2016,khamenei_ir,1,20,75
2/17/2016,khamenei_ir,11,372,838
2/18/2016,khamenei_ir,1,24,79
2/19/2016,khamenei_ir,1,29,95
2/20/2016,khamenei_ir,2,65,158
2/21/2016,khamenei_ir,3,204,347
2/22/2016,khamenei_ir,1,23,57
2/23/2016,khamenei_ir,6,211,544
2/24/2016,khamenei_ir,13,426,1078
2/25/2016,khamenei_ir,1,32,89
2/26/2016,khamenei_ir,7,376,969
2/27/2016,khamenei_ir,5,214,608
2/28/2016,khamenei_ir,7,267,843
3/5/2016,khamenei_ir,2,67,322
3/7/2016,khamenei_ir,2,71,265
3/8/2016,khamenei_ir,5,387,1074
3/10/2016,khamenei_ir,19,657,1973
3/11/2016,khamenei_ir,1,46,181
3/12/2016,khamenei_ir,1,61,256
3/13/2016,khamenei_ir,1,45,181
3/14/2016,khamenei_ir,1,49,167
3/15/2016,khamenei_ir,11,319,1118
3/17/2016,khamenei_ir,3,185,465
3/20/2016,khamenei_ir,39,1827,4809
3/29/2016,khamenei_ir,1,50,249
3/30/2016,khamenei_ir,9,420,1710
3/31/2016,khamenei_ir,1,81,263
