Date,Handle,Total Posts,Favorites,Retweets
1/1/2016,malarab1,5,134,41
1/2/2016,malarab1,8,1001,220
1/3/2016,malarab1,6,557,138
1/4/2016,malarab1,23,3058,788
1/5/2016,malarab1,3,302,119
1/8/2016,malarab1,4,182,61
1/9/2016,malarab1,12,487,165
1/11/2016,malarab1,3,90,20
1/12/2016,malarab1,1,13,2
1/13/2016,malarab1,5,213,64
1/15/2016,malarab1,5,128,39
1/16/2016,malarab1,2,25,9
1/17/2016,malarab1,4,356,129
1/18/2016,malarab1,5,224,86
1/20/2016,malarab1,2,17,2
1/21/2016,malarab1,5,112,30
1/22/2016,malarab1,5,159,65
1/23/2016,malarab1,9,242,102
1/24/2016,malarab1,6,307,137
1/25/2016,malarab1,7,229,87
1/26/2016,malarab1,3,371,89
1/27/2016,malarab1,1,53,22
1/28/2016,malarab1,1,15,21
1/29/2016,malarab1,2,139,55
1/30/2016,malarab1,6,116,78
1/31/2016,malarab1,9,120,44
2/1/2016,malarab1,6,141,52
2/2/2016,malarab1,1,25,15
2/3/2016,malarab1,4,118,63
2/4/2016,malarab1,1,12,8
2/6/2016,malarab1,6,134,76
2/7/2016,malarab1,4,87,34
2/8/2016,malarab1,5,47,22
2/9/2016,malarab1,4,84,39
2/10/2016,malarab1,7,84,48
2/11/2016,malarab1,10,150,60
2/12/2016,malarab1,9,211,82
2/13/2016,malarab1,8,297,99
2/14/2016,malarab1,16,715,349
2/15/2016,malarab1,6,195,90
2/17/2016,malarab1,6,471,189
2/19/2016,malarab1,10,243,135
2/20/2016,malarab1,6,956,278
2/21/2016,malarab1,9,290,108
2/22/2016,malarab1,3,59,31
2/23/2016,malarab1,10,762,169
2/25/2016,malarab1,12,774,334
2/26/2016,malarab1,21,980,370
2/27/2016,malarab1,11,1380,761
2/28/2016,malarab1,13,1378,511
2/29/2016,malarab1,6,143,70
4/1/2016,malarab1,1,31,13
4/2/2016,malarab1,6,582,128
4/3/2016,malarab1,2,112,32
4/4/2016,malarab1,2,353,74
4/5/2016,malarab1,8,528,145
4/6/2016,malarab1,8,551,163
4/7/2016,malarab1,1,14,8
4/8/2016,malarab1,6,487,158
4/9/2016,malarab1,6,698,184
4/10/2016,malarab1,2,193,72
4/15/2016,malarab1,3,424,133
4/16/2016,malarab1,6,572,172
4/17/2016,malarab1,5,251,87
4/18/2016,malarab1,2,320,74
4/19/2016,malarab1,3,264,85
4/20/2016,malarab1,4,340,114
4/21/2016,malarab1,4,225,85
4/22/2016,malarab1,9,524,145
4/23/2016,malarab1,6,278,82
4/24/2016,malarab1,2,51,22
4/25/2016,malarab1,8,157,104
4/26/2016,malarab1,3,111,79
4/27/2016,malarab1,3,91,40
4/28/2016,malarab1,3,59,25
4/29/2016,malarab1,10,1239,393
4/30/2016,malarab1,17,1029,312
5/1/2016,malarab1,9,476,151
5/2/2016,malarab1,7,205,63
5/3/2016,malarab1,4,91,43
5/4/2016,malarab1,8,181,95
5/5/2016,malarab1,3,39,19
5/6/2016,malarab1,2,139,46
5/7/2016,malarab1,8,223,100
5/8/2016,malarab1,4,229,62
5/9/2016,malarab1,1,107,31
5/11/2016,malarab1,8,157,114
5/12/2016,malarab1,9,183,108
5/13/2016,malarab1,3,165,68
5/14/2016,malarab1,1,5,8
5/15/2016,malarab1,2,27,17
5/16/2016,malarab1,5,466,175
5/17/2016,malarab1,15,182,126
5/18/2016,malarab1,7,236,127
5/19/2016,malarab1,11,626,170
5/20/2016,malarab1,8,594,177
5/21/2016,malarab1,4,187,54
5/22/2016,malarab1,18,912,233
5/23/2016,malarab1,9,1222,270
5/24/2016,malarab1,10,379,154
5/25/2016,malarab1,9,587,245
5/26/2016,malarab1,6,151,107
5/27/2016,malarab1,11,1654,433
5/28/2016,malarab1,4,366,163
5/29/2016,malarab1,4,151,60
5/30/2016,malarab1,15,1039,357
5/31/2016,malarab1,3,54,30
6/1/2016,malarab1,5,237,108
6/2/2016,malarab1,11,100,88
6/3/2016,malarab1,4,18,35
6/4/2016,malarab1,4,195,60
6/5/2016,malarab1,4,354,159
6/6/2016,malarab1,7,766,203
6/7/2016,malarab1,8,361,177
6/8/2016,malarab1,13,868,242
6/9/2016,malarab1,12,572,175
6/10/2016,malarab1,2,81,32
6/11/2016,malarab1,3,340,93
6/12/2016,malarab1,7,387,144
6/13/2016,malarab1,3,254,112
6/14/2016,malarab1,4,441,115
6/15/2016,malarab1,9,787,288
6/16/2016,malarab1,21,407,283
6/17/2016,malarab1,31,1273,420
6/18/2016,malarab1,11,1081,316
6/19/2016,malarab1,6,533,172
6/20/2016,malarab1,12,524,268
6/21/2016,malarab1,14,813,273
6/22/2016,malarab1,7,719,247
6/23/2016,malarab1,8,355,144
6/24/2016,malarab1,15,674,241
6/25/2016,malarab1,19,1890,581
6/26/2016,malarab1,8,6584,1270
6/27/2016,malarab1,29,2950,777
6/28/2016,malarab1,14,1128,471
6/29/2016,malarab1,5,194,72
6/30/2016,malarab1,7,8463,1843
7/1/2016,malarab1,4,2989,625
7/2/2016,malarab1,17,4314,890
7/3/2016,malarab1,10,2105,785
7/4/2016,malarab1,13,4271,1035
7/5/2016,malarab1,7,1528,490
7/6/2016,malarab1,4,911,392
7/7/2016,malarab1,1,83,57
7/8/2016,malarab1,17,4459,1723
7/9/2016,malarab1,9,1501,496
7/10/2016,malarab1,4,585,173
7/11/2016,malarab1,2,838,175
7/12/2016,malarab1,3,170,70
7/13/2016,malarab1,13,1030,399
7/14/2016,malarab1,6,2056,521
7/15/2016,malarab1,22,3504,1117
7/16/2016,malarab1,16,580,303
7/17/2016,malarab1,29,3010,1164
7/18/2016,malarab1,28,1243,494
7/19/2016,malarab1,47,1423,620
7/20/2016,malarab1,16,320,319
7/21/2016,malarab1,6,198,494
7/22/2016,malarab1,17,1162,1573
7/23/2016,malarab1,4,86,116
7/24/2016,malarab1,3,189,253
7/25/2016,malarab1,5,369,323
7/26/2016,malarab1,12,436,575
7/27/2016,malarab1,2,50,139
7/28/2016,malarab1,7,141,391
7/29/2016,malarab1,25,740,1201
7/30/2016,malarab1,31,1147,1351
7/31/2016,malarab1,10,403,580
8/1/2016,malarab1,13,1763,1191
8/2/2016,malarab1,7,464,183
8/3/2016,malarab1,7,319,450
8/4/2016,malarab1,3,123,221
8/5/2016,malarab1,8,402,379
8/6/2016,malarab1,1,5,18
8/7/2016,malarab1,4,148,171
8/8/2016,malarab1,1,48,40
8/9/2016,malarab1,3,171,135
8/11/2016,malarab1,8,755,374
8/12/2016,malarab1,16,349,373
8/14/2016,malarab1,3,133,118
8/15/2016,malarab1,17,421,306
8/16/2016,malarab1,11,525,239
8/17/2016,malarab1,6,370,304
8/18/2016,malarab1,7,1146,711
8/19/2016,malarab1,42,1540,533
8/20/2016,malarab1,14,505,258
8/21/2016,malarab1,19,843,413
8/22/2016,malarab1,18,1119,526
8/23/2016,malarab1,7,2785,978
8/24/2016,malarab1,17,3534,1108
8/25/2016,malarab1,6,146,107
8/26/2016,malarab1,54,3659,1802
8/27/2016,malarab1,8,499,311
8/28/2016,malarab1,33,1292,787
8/29/2016,malarab1,15,1165,509
8/30/2016,malarab1,5,311,187
8/31/2016,malarab1,13,414,252
