Date,Handle,Total Posts,Favorites,Retweets
1/2/2016,netanyahu,1,98,245
1/3/2016,netanyahu,1,86,259
1/6/2016,netanyahu,1,62,249
1/8/2016,netanyahu,1,59,257
1/9/2016,netanyahu,2,158,533
1/12/2016,netanyahu,1,134,331
1/17/2016,netanyahu,2,127,270
1/21/2016,netanyahu,6,792,1547
1/24/2016,netanyahu,2,111,498
1/27/2016,netanyahu,5,594,1365
1/28/2016,netanyahu,3,180,470
1/31/2016,netanyahu,3,1131,1060
2/1/2016,netanyahu,3,670,1877
2/2/2016,netanyahu,1,76,249
2/4/2016,netanyahu,2,157,582
2/6/2016,netanyahu,1,285,418
2/7/2016,netanyahu,1,48,199
2/9/2016,netanyahu,1,82,255
2/11/2016,netanyahu,1,49,195
2/14/2016,netanyahu,1,74,246
2/16/2016,netanyahu,2,309,940
2/17/2016,netanyahu,2,546,1293
2/22/2016,netanyahu,1,87,264
2/25/2016,netanyahu,1,1346,1165
2/28/2016,netanyahu,1,459,686
2/29/2016,netanyahu,2,505,920
3/2/2016,netanyahu,1,337,307
3/4/2016,netanyahu,1,130,651
3/6/2016,netanyahu,1,1759,3270
3/9/2016,netanyahu,1,1133,1094
3/17/2016,netanyahu,1,60,331
3/22/2016,netanyahu,7,3748,5473
3/23/2016,netanyahu,2,479,1779
3/24/2016,netanyahu,3,279,710
3/27/2016,netanyahu,3,125,538
3/28/2016,netanyahu,1,65,334
4/4/2016,netanyahu,1,602,1661
4/6/2016,netanyahu,1,89,244
4/10/2016,netanyahu,1,278,755
4/11/2016,netanyahu,2,585,1663
4/14/2016,netanyahu,1,213,579
4/15/2016,netanyahu,1,36,188
4/17/2016,netanyahu,4,2148,3752
4/18/2016,netanyahu,3,194,558
4/19/2016,netanyahu,2,335,1158
4/21/2016,netanyahu,2,664,1621
4/22/2016,netanyahu,1,1041,1895
4/27/2016,netanyahu,1,217,399
5/3/2016,netanyahu,2,739,2019
5/4/2016,netanyahu,3,782,1680
5/6/2016,netanyahu,2,1285,1742
5/8/2016,netanyahu,2,804,1729
5/10/2016,netanyahu,2,2442,4761
5/11/2016,netanyahu,1,1792,2104
5/12/2016,netanyahu,2,169,622
5/13/2016,netanyahu,1,219,665
5/15/2016,netanyahu,1,3111,2210
5/18/2016,netanyahu,2,294,688
5/19/2016,netanyahu,2,597,1433
5/21/2016,netanyahu,1,63,343
5/22/2016,netanyahu,1,67,302
5/23/2016,netanyahu,2,255,517
5/24/2016,netanyahu,1,34,153
5/26/2016,netanyahu,1,1913,1999
5/30/2016,netanyahu,1,103,386
6/1/2016,netanyahu,1,130,441
6/2/2016,netanyahu,1,1364,2447
6/6/2016,netanyahu,2,1472,1808
6/7/2016,netanyahu,3,519,1174
6/12/2016,netanyahu,1,6075,10421
6/15/2016,netanyahu,1,1521,1521
6/16/2016,netanyahu,3,203,740
6/21/2016,netanyahu,1,553,657
6/22/2016,netanyahu,1,69,241
6/29/2016,netanyahu,2,195,645
7/4/2016,netanyahu,4,8036,15011
7/5/2016,netanyahu,3,1447,2227
7/6/2016,netanyahu,3,2006,2741
7/7/2016,netanyahu,3,1099,2899
7/8/2016,netanyahu,1,543,1597
7/10/2016,netanyahu,3,662,1857
7/12/2016,netanyahu,2,825,2925
7/19/2016,netanyahu,2,1782,1235
7/21/2016,netanyahu,2,466,701
7/25/2016,netanyahu,1,163,477
