Date,Handle,Total Posts,Favorites,Retweets
1/1/2016,realDonaldTrump,14,22207,70842
1/2/2016,realDonaldTrump,11,29509,75684
1/3/2016,realDonaldTrump,18,43168,103728
1/4/2016,realDonaldTrump,4,8570,21532
1/5/2016,realDonaldTrump,15,16174,48941
1/6/2016,realDonaldTrump,18,28714,74204
1/7/2016,realDonaldTrump,13,26190,60384
1/8/2016,realDonaldTrump,14,22246,64025
1/9/2016,realDonaldTrump,10,11314,34992
1/10/2016,realDonaldTrump,13,17204,54909
1/11/2016,realDonaldTrump,11,18242,52621
1/12/2016,realDonaldTrump,12,13285,42884
1/13/2016,realDonaldTrump,14,39013,95098
1/14/2016,realDonaldTrump,14,25062,69969
1/15/2016,realDonaldTrump,4,8401,24399
1/16/2016,realDonaldTrump,22,49712,121236
1/17/2016,realDonaldTrump,6,18215,41802
1/18/2016,realDonaldTrump,7,12259,35599
1/19/2016,realDonaldTrump,16,24091,67725
1/20/2016,realDonaldTrump,12,20386,56809
1/21/2016,realDonaldTrump,15,20450,57847
1/22/2016,realDonaldTrump,30,42052,110983
1/23/2016,realDonaldTrump,25,40853,112044
1/24/2016,realDonaldTrump,18,22113,65163
1/25/2016,realDonaldTrump,21,23635,68885
1/26/2016,realDonaldTrump,30,41318,117373
1/27/2016,realDonaldTrump,9,36541,103421
1/28/2016,realDonaldTrump,33,59060,163742
1/29/2016,realDonaldTrump,20,49338,140636
1/30/2016,realDonaldTrump,14,34836,96747
1/31/2016,realDonaldTrump,16,29857,89497
2/1/2016,realDonaldTrump,2,9042,22286
2/2/2016,realDonaldTrump,13,32347,117197
2/3/2016,realDonaldTrump,14,44966,106875
2/4/2016,realDonaldTrump,9,24095,63132
2/5/2016,realDonaldTrump,11,17403,52732
2/6/2016,realDonaldTrump,19,34455,97536
2/7/2016,realDonaldTrump,25,33050,108085
2/8/2016,realDonaldTrump,10,31509,81022
2/9/2016,realDonaldTrump,15,51780,126968
2/10/2016,realDonaldTrump,9,20844,73785
2/11/2016,realDonaldTrump,13,32361,91433
2/12/2016,realDonaldTrump,19,46067,116610
2/13/2016,realDonaldTrump,24,49349,127403
2/14/2016,realDonaldTrump,21,60175,174909
2/15/2016,realDonaldTrump,9,25880,68620
2/16/2016,realDonaldTrump,10,23490,68504
2/17/2016,realDonaldTrump,17,78699,134856
2/18/2016,realDonaldTrump,12,36712,80874
2/19/2016,realDonaldTrump,18,45116,115590
2/20/2016,realDonaldTrump,18,46191,121178
2/21/2016,realDonaldTrump,8,30090,90911
2/22/2016,realDonaldTrump,18,49014,130750
2/23/2016,realDonaldTrump,26,56029,159588
2/24/2016,realDonaldTrump,20,55902,157806
2/25/2016,realDonaldTrump,24,66885,190821
2/26/2016,realDonaldTrump,28,73950,224976
2/27/2016,realDonaldTrump,18,49365,153595
2/28/2016,realDonaldTrump,28,111640,244975
2/29/2016,realDonaldTrump,13,46264,120325
3/1/2016,realDonaldTrump,9,45970,110629
3/2/2016,realDonaldTrump,24,92206,277715
3/3/2016,realDonaldTrump,18,74997,230668
3/4/2016,realDonaldTrump,12,42764,110470
3/5/2016,realDonaldTrump,19,48160,162847
3/6/2016,realDonaldTrump,15,46043,147341
3/7/2016,realDonaldTrump,14,56230,163904
3/8/2016,realDonaldTrump,21,70859,196717
3/9/2016,realDonaldTrump,9,39901,122616
3/10/2016,realDonaldTrump,1,12528,21934
3/11/2016,realDonaldTrump,11,41478,115941
3/12/2016,realDonaldTrump,17,114122,274684
3/13/2016,realDonaldTrump,10,52771,131750
3/14/2016,realDonaldTrump,6,30442,80828
3/15/2016,realDonaldTrump,27,110836,305657
3/16/2016,realDonaldTrump,25,101135,325893
3/17/2016,realDonaldTrump,13,58309,175695
3/18/2016,realDonaldTrump,15,68156,200811
3/19/2016,realDonaldTrump,25,86758,272778
3/20/2016,realDonaldTrump,15,74296,238783
