,User,Location,DTG,Message
0,AskingHardQs,California ,2020-10-28 03:01:59,"@M_Feratovic @jimcramer #BLM will
Destroy it - they hate gentrifiers. You should donate the business to #BLM."
1,QueenlySOM,"Quarantine, CA",2020-10-28 03:01:54,"Love me like Russ do Ciara. Honor me as John does Chrissy. 
I won't entangle you like Jada. 
Know that I Will retaliate as needed just as he did. 
But for now ima hit the Big Latto with the sauce on the side. 

#realquick #HipHopAwards #BLM #BGM #BlackGirlMagic"
2,VonBuescher,,2020-10-28 03:01:05,This what #blm and #antifa do to people that document their #PeacefulProtests. When is enough a enough? https://t.co/c5FpYdKhGg
3,PGQue,,2020-10-28 03:01:03,@JackPosobiec Peaceful protests. #BLM
4,RENAIM,"Pre: 18.3399957,-65.613688",2020-10-28 03:00:51,#ThisIsUs they get it right 👏🏾EVERY👏🏾 SINGLE👏🏾 TIME👏🏾 #Covid19 #BLM #WhiteGuilt https://t.co/yDrrqDsz8O
5,pails__,"Providence, RI",2020-10-28 03:00:41,#defendDACA #BLM that’s the tweet.
6,MarkKirchmeier,Portland,2020-10-28 03:00:29,Council to consider Hardesty's plan Wednesday restricting federally deputized #Portlandpolice officers https://t.co/t37mPwZAzd     #Portlandprotests #PortlandRiots  #PDX #BLM #Oregon  #tedwheeler #sarahiannarone #koin6news
7,stand4change2,United States,2020-10-28 03:00:27,Seriously I just can't believe people can't see we are all human. I will to my death to have ALL HUMANS treated equally on what's inside of them not what's on outside. There's some good looking UGLY PEOPLE! I really judge by who you are. #dealing #Equality #wakeupcall #BLM https://t.co/kW13jxy0vF
8,Wishingnhoping_,,2020-10-28 03:00:25,"@nytpolitics He is blinded by his entitlement and deafened by his wealth. He is unworthy to judge the circumstance of Black Americans. We need Biden to end the Trump family's strangle hold on our country.
#BLM
#VoteBidenHarris"
9,AskingHardQs,California ,2020-10-28 03:00:23,"@jimcramer Would you advise Dollar tree, Walmart, Foot locker to rebuild in Philadelphia after this rioting and looting and with Biden/Harris 100% supporting it? Is the looting good for $Nike because the stolen goods will need to be restocked?

#BLM

https://t.co/i7ICwwUWM3"
10,tonebone721,"California, USA",2020-10-28 03:00:15,@Celeste05028617 @CASOSvote No you’re stabbing America in the back by supporting the same side that supports the destruction of our country #BidenCrimeFamiily #BLM #AntifaTerrorist
